powiat_nazwa,wojewodztwo_nazwa,zaszczepieni_pelna_dawka,liczba_ludnosci,proc_zaszczepieni_pelna_dawka,teryt,ludność,WOJ
aleksandrowski,kujawsko-pomorskie,32893,54891,59.92,0401,54701,4
augustowski,podlaskie,26289,57651,45.6,2001,57316,20
bartoszycki,warmińsko-mazurskie,32864,56562,58.1,2801,56077,28
bedzinski,śląskie,94132,147259,63.92,2401,146527,24
belchatowski,łódzkie,55689,112443,49.53,1001,112149,10
bialobrzeski,mazowieckie,17887,33329,53.67,1401,33232,14
bialogardzki,zachodniopomorskie,24391,47304,51.56,3201,47100,32
bialostocki,podlaskie,72574,150845,48.11,2002,151479,20
bialski,lubelskie,52005,109958,47.3,0601,109502,6
bielski,podlaskie,24204,53695,45.08,2003,53299,20
bielski,śląskie,97787,166348,58.78,2402,166405,24
bierunsko-ledzinski,śląskie,34645,59823,57.91,2414,59898,24
bieszczadzki,podkarpackie,8878,21489,41.31,1801,21382,18
bilgorajski,lubelskie,43163,100333,43.02,0602,99806,6
bochenski,małopolskie,55667,106947,52.05,1201,106826,12
boleslawiecki,dolnośląskie,47192,89762,52.57,0201,89574,2
braniewski,warmińsko-mazurskie,22796,40776,55.91,2802,40511,28
brodnicki,kujawsko-pomorskie,45219,79023,57.22,0402,78915,4
brzeski,małopolskie,42880,93035,46.09,1202,92831,12
brzeski,opolskie,46216,89282,51.76,1601,88942,16
brzezinski,łódzkie,16646,30648,54.31,1021,30589,10
brzozowski,podkarpackie,24255,65373,37.1,1802,65129,18
buski,świętokrzyskie,39684,71125,55.79,2601,70687,26
bydgoski,kujawsko-pomorskie,73958,120432,61.41,0403,121098,4
bytowski,pomorskie,41453,79114,52.4,2201,78939,22
chelminski,kujawsko-pomorskie,29928,51657,57.94,0404,51427,4
chelmski,lubelskie,35138,77502,45.34,0603,77214,6
chodzieski,wielkopolskie,28942,46824,61.81,3001,46669,30
chojnicki,pomorskie,53510,97661,54.79,2202,97536,22
choszczenski,zachodniopomorskie,28792,47970,60.02,3202,47682,32
chrzanowski,małopolskie,74309,123664,60.09,1203,123099,12
ciechanowski,mazowieckie,49721,88891,55.93,1402,88476,14
cieszynski,śląskie,94283,177536,53.11,2403,177030,24
czarnkowsko-trzcianecki,wielkopolskie,51193,86590,59.12,3002,86116,30
czestochowski,śląskie,74363,134106,55.45,2404,133650,24
czluchowski,pomorskie,31003,55835,55.53,2203,55615,22
dabrowski,małopolskie,22834,58977,38.72,1204,58852,12
debicki,podkarpackie,55395,134991,41.04,1803,134612,18
drawski,zachodniopomorskie,31067,56482,55,3203,56159,32
dzialdowski,warmińsko-mazurskie,37514,64768,57.92,2803,64415,28
dzierzoniowski,dolnośląskie,51141,99935,51.17,0202,99340,2
elblaski,warmińsko-mazurskie,31990,56986,56.14,2804,56762,28
elcki,warmińsko-mazurskie,41223,91395,45.1,2805,91216,28
garwolinski,mazowieckie,57931,108634,53.33,1403,108400,14
gdanski,pomorskie,76233,120327,63.35,2204,121406,22
gizycki,warmińsko-mazurskie,32183,56227,57.24,2806,55943,28
gliwicki,śląskie,65225,115416,56.51,2405,115207,24
glogowski,dolnośląskie,52013,88447,58.81,0203,88189,2
glubczycki,opolskie,23018,45015,51.13,1602,44723,16
gnieźnienski,wielkopolskie,88001,145068,60.66,3003,144662,30
goldapski,warmińsko-mazurskie,13665,26489,51.59,2818,26396,28
goleniowski,zachodniopomorskie,48253,82310,58.62,3204,82136,32
golubsko-dobrzynski,kujawsko-pomorskie,25449,44855,56.74,0405,44614,4
gorlicki,małopolskie,46915,108487,43.24,1205,108193,12
gorowski,dolnośląskie,17877,34552,51.74,0204,34362,2
gorzowski,lubuskie,42049,72291,58.17,0801,72429,8
gostyninski,mazowieckie,23781,44581,53.34,1404,44367,14
gostynski,wielkopolskie,40231,75732,53.12,3004,75509,30
grajewski,podlaskie,17950,46792,38.36,2004,46519,20
grodziski,mazowieckie,61513,97462,63.11,1405,98120,14
grodziski,wielkopolskie,31926,51929,61.48,3005,51819,30
grojecki,mazowieckie,55633,97979,56.78,1406,97662,14
grudziadzki,kujawsko-pomorskie,22266,40305,55.24,0406,40263,4
gryficki,zachodniopomorskie,34869,59844,58.27,3205,59609,32
gryfinski,zachodniopomorskie,47831,81289,58.84,3206,80955,32
hajnowski,podlaskie,19045,41991,45.35,2005,41612,20
hrubieszowski,lubelskie,32500,62009,52.41,0604,61444,6
ilawski,warmińsko-mazurskie,52243,92644,56.39,2807,92336,28
inowroclawski,kujawsko-pomorskie,97552,158496,61.55,0407,157521,4
janowski,lubelskie,19411,45142,43,0605,44911,6
jarocinski,wielkopolskie,43600,71425,61.04,3006,71140,30
jaroslawski,podkarpackie,53136,119727,44.38,1804,119240,18
jasielski,podkarpackie,47079,112863,41.71,1805,112352,18
jaworski,dolnośląskie,26601,49734,53.49,0205,49457,2
jedrzejowski,świętokrzyskie,50546,84908,59.53,2602,84435,26
kaliski,wielkopolskie,41422,82911,49.96,3007,82793,30
kamiennogorski,dolnośląskie,24717,42824,57.72,0207,42516,2
kamienski,zachodniopomorskie,27567,46692,59.04,3207,46495,32
karkonoski,dolnośląskie,34018,63333,53.71,0206,63004,2
kartuski,pomorskie,73804,141892,52.01,2205,143101,22
kazimierski,świętokrzyskie,17377,33340,52.12,2603,33205,26
kedzierzynsko-kozielski,opolskie,47944,93001,51.55,1603,92493,16
kepinski,wielkopolskie,32678,56298,58.04,3008,56220,30
ketrzynski,warmińsko-mazurskie,33489,61772,54.21,2808,61369,28
kielecki,świętokrzyskie,105556,210992,50.03,2604,210689,26
klobucki,śląskie,45665,84330,54.15,2406,83984,24
klodzki,dolnośląskie,82814,156283,52.99,0208,155075,2
