"","wojewodztwo_nazwa","powiat_nazwa","gmina_nazwa","zaszczepieni_pelna_dawka","przyrost_zaszczepionych_od_2021_08_01","liczba_ludnosci","zaszczepieni_pacjenci_jedna_dawka","zaszczepieni_pelna_dawka","grupa_wiekowa_12_19","grupa_wiekowa_20_39","grupa_wiekowa_40_59","grupa_wiekowa_60_69","grupa_wiekowa_70_plus"
"1","dolnośląskie","bolesławiecki","Bolesławiec (m)","21880","11.65","38486","22446","21880","1175","4861","6351","4246","4246"
"2","dolnośląskie","bolesławiecki","Bolesławiec (w)","7089","11.67","14863","7269","7089","412","1941","2513","1277","1277"
"3","dolnośląskie","bolesławiecki","Gromadka (w)","2632","12.64","5317","2693","2632","130","683","825","530","530"
"4","dolnośląskie","bolesławiecki","Nowogrodziec (m-w)","7240","13.98","15229","7426","7240","400","1956","2413","1426","1426"
"5","dolnośląskie","bolesławiecki","Osiecznica (w)","3806","17.01","7288","3925","3806","287","1148","1334","602","602"
"6","dolnośląskie","bolesławiecki","Warta Bolesławiecka (w)","4545","15.35","8579","4649","4545","259","1229","1543","859","859"
"7","dolnośląskie","dzierżoniowski","Bielawa (m)","15102","10.65","29523","15428","15102","805","3010","4437","3233","3233"
"8","dolnośląskie","dzierżoniowski","Dzierżoniów (m)","18190","10.91","32869","18579","18190","971","3682","5309","3642","3642"
"9","dolnośląskie","dzierżoniowski","Dzierżoniów (w)","4118","10.65","9013","4217","4118","218","955","1381","849","849"
"10","dolnośląskie","dzierżoniowski","Łagiewniki (w)","3911","12.26","7437","3988","3911","225","937","1241","806","806"
"11","dolnośląskie","dzierżoniowski","Niemcza (m-w)","2585","9.68","5411","2651","2585","136","540","793","564","564"
"12","dolnośląskie","dzierżoniowski","Pieszyce (m-w)","4260","10.16","9318","4373","4260","237","940","1348","851","851"
"13","dolnośląskie","dzierżoniowski","Piława Górna (m)","2975","11.56","6364","3030","2975","183","610","896","662","662"
"14","dolnośląskie","głogowski","Głogów (m)","40166","12.28","66120","40982","40166","2815","8455","12086","7906","7906"
"15","dolnośląskie","głogowski","Głogów (w)","3518","12.61","6845","3609","3518","258","898","1274","677","677"
"16","dolnośląskie","głogowski","Jerzmanowa (w)","2864","9.99","5347","2912","2864","240","706","1185","392","392"
"17","dolnośląskie","głogowski","Kotla (w)","2322","12.32","4456","2389","2322","191","560","840","411","411"
"18","dolnośląskie","głogowski","Pęcław (w)","1150","13.98","2210","1172","1150","83","284","369","243","243"
"19","dolnośląskie","głogowski","Żukowice (w)","1993","15.94","3469","2041","1993","153","530","709","338","338"
"20","dolnośląskie","górowski","Góra (m-w)","10470","12.24","19720","10687","10470","712","2370","3252","2092","2092"
"21","dolnośląskie","górowski","Jemielno (w)","1334","12.37","2967","1370","1334","73","320","406","283","283"
"22","dolnośląskie","górowski","Niechlów (w)","2206","12.16","4801","2254","2206","121","534","679","481","481"
"23","dolnośląskie","górowski","Wąsosz (m-w)","3867","13.38","7064","3933","3867","263","914","1212","787","787"
"24","dolnośląskie","jaworski","Bolków (m-w)","5214","10.72","10311","5337","5214","326","1149","1586","1155","1155"
"25","dolnośląskie","jaworski","Jawor (m)","12530","11.17","22462","12801","12530","702","2669","3672","2861","2861"
"26","dolnośląskie","jaworski","Męcinka (w)","2570","11.44","5007","2646","2570","187","612","906","475","475"
"27","dolnośląskie","jaworski","Mściwojów (w)","2094","11.34","4029","2131","2094","125","474","671","444","444"
"28","dolnośląskie","jaworski","Paszowice (w)","2103","12.81","4037","2156","2103","127","492","738","436","436"
"29","dolnośląskie","jaworski","Wądroże Wielkie (w)","2090","12.89","3888","2165","2090","137","479","708","411","411"
"30","dolnośląskie","Jelenia Góra","Jelenia Góra (m)","47399","11.5","78335","48456","47399","2570","9987","13742","9635","9635"
"31","dolnośląskie","kamiennogórski","Kamienna Góra (m)","10961","11.68","18585","11165","10961","629","2358","3381","2139","2139"
"32","dolnośląskie","kamiennogórski","Kamienna Góra (w)","5109","12.45","8997","5197","5109","372","1312","1718","996","996"
"33","dolnośląskie","kamiennogórski","Lubawka (m-w)","6323","12.36","10759","6450","6323","397","1499","1985","1251","1251"
"34","dolnośląskie","kamiennogórski","Marciszów (w)","2324","11.42","4483","2364","2324","127","554","710","508","508"
"35","dolnośląskie","karkonoski","Janowice Wielkie (w)","2083","9.83","4274","2127","2083","105","440","684","470","470"
"36","dolnośląskie","karkonoski","Jeżów Sudecki (w)","3854","10.55","7548","3933","3854","277","849","1435","717","717"
