wojewodztwo_nazwa,powiat_nazwa,zaszczepieni_pelna_dawka,liczba_ludnosci,proc_zaszczepieni_pelna_dawka
dolnoslaskie,boleslawiecki,47192,89762,52.57
dolnoslaskie,dzierzoniowski,51141,99935,51.17
dolnoslaskie,glogowski,52013,88447,58.81
dolnoslaskie,gorowski,17877,34552,51.74
dolnoslaskie,jaworski,26601,49734,53.49
dolnoslaskie,kamiennogorski,24717,42824,57.72
dolnoslaskie,karkonoski,34018,63333,53.71
dolnoslaskie,klodzki,82814,156283,52.99
dolnoslaskie,legnicki,29638,55110,53.78
dolnoslaskie,lubanski,29989,53852,55.69
dolnoslaskie,lubinski,59351,105896,56.05
dolnoslaskie,lwowecki,24581,45599,53.91
dolnoslaskie,M.Jelenia Gora,47399,78335,60.51
dolnoslaskie,M.Legnica,57111,98436,58.02
dolnoslaskie,M.Walbrzych,63361,109971,57.62
dolnoslaskie,M.Wroclaw,470328,641928,73.27
dolnoslaskie,milicki,21241,36800,57.72
dolnoslaskie,olawski,45608,76733,59.44
dolnoslaskie,olesnicki,60866,107268,56.74
dolnoslaskie,polkowicki,32567,62997,51.7
dolnoslaskie,sredzki,31537,55508,56.82
dolnoslaskie,strzelinski,24494,43221,56.67
dolnoslaskie,swidnicki,88491,156015,56.72
dolnoslaskie,trzebnicki,49878,85226,58.52
dolnoslaskie,walbrzyski,29981,55107,54.41
dolnoslaskie,wolowski,24719,46623,53.02
dolnoslaskie,wroclawski,100571,156322,64.34
dolnoslaskie,zabkowicki,33534,64080,52.33
dolnoslaskie,zgorzelecki,47278,88386,53.49
dolnoslaskie,zlotoryjski,24011,43038,55.79
kujawsko-pomorskie,aleksandrowski,32893,54891,59.92
kujawsko-pomorskie,brodnicki,45219,79023,57.22
kujawsko-pomorskie,bydgoski,73958,120432,61.41
kujawsko-pomorskie,chelminski,29928,51657,57.94
kujawsko-pomorskie,golubsko-dobrzynski,25449,44855,56.74
kujawsko-pomorskie,grudziadzki,22266,40305,55.24
kujawsko-pomorskie,inowroclawski,97552,158496,61.55
kujawsko-pomorskie,lipnowski,34493,65450,52.7
kujawsko-pomorskie,M.Bydgoszcz,224402,344091,65.22
kujawsko-pomorskie,M.Grudziadz,56924,93564,60.84
kujawsko-pomorskie,M.Torun,128904,198613,64.9
kujawsko-pomorskie,M.Wloclawek,62453,108561,57.53
kujawsko-pomorskie,mogilenski,25225,45482,55.46
kujawsko-pomorskie,nakielski,49696,86119,57.71
kujawsko-pomorskie,radziejowski,24759,40025,61.86
kujawsko-pomorskie,rypinski,24651,43390,56.81
kujawsko-pomorskie,sepolenski,23727,40826,58.12
kujawsko-pomorskie,swiecki,55727,98703,56.46
kujawsko-pomorskie,torunski,63566,109565,58.02
kujawsko-pomorskie,tucholski,26531,48322,54.9
kujawsko-pomorskie,wabrzeski,19302,34040,56.7
kujawsko-pomorskie,wloclawski,47566,85646,55.54
kujawsko-pomorskie,zninski,39917,69886,57.12
lodzkie,belchatowski,55689,112443,49.53
lodzkie,brzezinski,16646,30648,54.31
lodzkie,kutnowski,57751,95516,60.46
lodzkie,laski,26773,49736,53.83
lodzkie,leczycki,28340,49286,57.5
lodzkie,lodzki wschodni,42617,72565,58.73
lodzkie,lowicki,46229,77614,59.56
lodzkie,M.Lodz,449562,672185,66.88
lodzkie,M.Piotrkow Trybunalski,44271,72250,61.27
lodzkie,M.Skierniewice,30475,47655,63.95
lodzkie,opoczynski,40670,75524,53.85
lodzkie,pabianicki,71378,118941,60.01
lodzkie,pajeczanski,25574,50952,50.19
lodzkie,piotrkowski,48540,91208,53.22
lodzkie,poddebicki,22875,40906,55.92
lodzkie,radomszczanski,60487,111696,54.15
lodzkie,rawski,25173,48385,52.03
lodzkie,sieradzki,63499,116918,54.31
lodzkie,skierniewicki,19712,38173,51.64
lodzkie,tomaszowski,63682,115735,55.02
lodzkie,wielunski,42498,75736,56.11
lodzkie,wieruszowski,22703,41984,54.08
lodzkie,zdunskowolski,35615,66064,53.91
lodzkie,zgierski,102155,165850,61.59
lubelskie,bialski,52005,109958,47.3
lubelskie,bilgorajski,43163,100333,43.02
lubelskie,chelmski,35138,77502,45.34
lubelskie,hrubieszowski,32500,62009,52.41
lubelskie,janowski,19411,45142,43
lubelskie,krasnicki,43427,94531,45.94
lubelskie,krasnostawski,31020,62552,49.59
lubelskie,leczynski,25118,57218,43.9
lubelskie,lubartowski,37831,87850,43.06
lubelskie,lubelski,79671,156493,50.91
lubelskie,lukowski,46038,106213,43.34
lubelskie,M.Biala Podlaska,30822,56942,54.13
lubelskie,M.Chelm,33571,61135,54.91
lubelskie,M.Lublin,206686,338586,61.04
lubelskie,M.Zamosc,33492,62785,53.34
lubelskie,opolski,29253,58706,49.83
lubelskie,parczewski,16272,34372,47.34
lubelskie,pulawski,63368,112384,56.39
lubelskie,radzynski,24961,58298,42.82
lubelskie,rycki,29809,55530,53.68
lubelskie,swidnicki,37988,71432,53.18
lubelskie,tomaszowski,39511,81944,48.22
lubelskie,wlodawski,19777,37989,52.06
lubelskie,zamojski,49052,105354,46.56
lubuskie,gorzowski,42049,72291,58.17
lubuskie,krosnienski,32355,54598,59.26
lubuskie,M.Gorzow Wielkopolski,77253,122589,63.02
lubuskie,M.Zielona Gora,92766,140892,65.84
lubuskie,miedzyrzecki,34825,57100,60.99
lubuskie,nowosolski,49167,85733,57.35
lubuskie,slubicki,30262,46944,64.46
lubuskie,strzelecko-drezdenecki,28742,48621,59.11
lubuskie,sulecinski,21044,35000,60.13
lubuskie,swiebodzinski,33085,55520,59.59
lubuskie,wschowski,20280,38613,52.52
lubuskie,zaganski,44533,78148,56.99
lubuskie,zarski,56696,95423,59.42
lubuskie,zielonogorski,45461,75673,60.08
malopolskie,bochenski,55667,106947,52.05
malopolskie,brzeski,42880,93035,46.09
malopolskie,chrzanowski,74309,123664,60.09
malopolskie,dabrowski,22834,58977,38.72
malopolskie,gorlicki,46915,108487,43.24
malopolskie,krakowski,174304,281440,61.93
malopolskie,limanowski,54480,132148,41.23
malopolskie,M.Krakow,555503,779966,71.22
malopolskie,M.Nowy Sacz,42626,83558,51.01
malopolskie,M.Tarnow,59100,107498,54.98
malopolskie,miechowski,29011,48464,59.86
malopolskie,myslenicki,65803,127972,51.42
malopolskie,nowosadecki,93410,217071,43.03
malopolskie,nowotarski,74489,191646,38.87
malopolskie,olkuski,66390,110471,60.1
malopolskie,oswiecimski,91977,152687,60.24
malopolskie,proszowicki,23977,43057,55.69
malopolskie,suski,45576,83761,54.41
malopolskie,tarnowski,87786,201230,43.62
malopolskie,tatrzanski,27603,68049,40.56
malopolskie,wadowicki,86551,159662,54.21
malopolskie,wielicki,77226,130651,59.11
mazowieckie,bialobrzeski,17887,33329,53.67
mazowieckie,ciechanowski,49721,88891,55.93
mazowieckie,garwolinski,57931,108634,53.33
mazowieckie,gostyninski,23781,44581,53.34
mazowieckie,grodziski,61513,97462,63.11
mazowieckie,grojecki,55633,97979,56.78
mazowieckie,kozienicki,30981,59592,51.99
mazowieckie,legionowski,79679,119882,66.46
mazowieckie,lipski,16440,33598,48.93
mazowieckie,losicki,13787,30556,45.12
mazowieckie,M.Ostroleka,28144,51656,54.48
mazowieckie,M.Plock,74476,118268,62.97
mazowieckie,M.Radom,116695,209296,55.76
mazowieckie,M.Siedlce,40129,77813,51.57
mazowieckie,M.Warszawa,1363587,1794166,76
mazowieckie,makowski,24269,44438,54.61
mazowieckie,minski,91479,154951,59.04
mazowieckie,mlawski,39558,72269,54.74
mazowieckie,nowodworski,48777,79265,61.54
mazowieckie,ostrolecki,38202,88497,43.17
mazowieckie,ostrowski,35103,71790,48.9
mazowieckie,otwocki,78907,124283,63.49
mazowieckie,piaseczynski,134837,190606,70.74
mazowieckie,plocki,59791,110742,53.99
mazowieckie,plonski,46179,86671,53.28
mazowieckie,pruszkowski,119520,166679,71.71
mazowieckie,przasnyski,26522,52101,50.9
mazowieckie,przysuski,22626,41126,55.02
mazowieckie,pultuski,28782,51741,55.63
mazowieckie,radomski,71180,152190,46.77
mazowieckie,siedlecki,33428,81385,41.07
mazowieckie,sierpecki,27204,51534,52.79
mazowieckie,sochaczewski,49553,84804,58.43
mazowieckie,sokolowski,28576,53294,53.62
mazowieckie,szydlowiecki,18221,39340,46.32
mazowieckie,warszawski zachodni,83126,120144,69.19
mazowieckie,wegrowski,33645,65410,51.44
mazowieckie,wolominski,149066,252408,59.06
mazowieckie,wyszkowski,39867,74210,53.72
mazowieckie,zurominski,21413,38202,56.05
mazowieckie,zwolenski,16331,35875,45.52
mazowieckie,zyrardowski,42910,75370,56.93
opolskie,brzeski,46216,89282,51.76
opolskie,glubczycki,23018,45015,51.13
opolskie,kedzierzynsko-kozielski,47944,93001,51.55
opolskie,kluczborski,33408,65026,51.38
opolskie,krapkowicki,31619,63196,50.03
opolskie,M.Opole,81086,127839,63.43
opolskie,namyslowski,23264,42543,54.68
opolskie,nyski,73676,134864,54.63
opolskie,oleski,29543,63788,46.31
opolskie,opolski,60810,123532,49.23
opolskie,prudnicki,26488,54765,48.37
opolskie,strzelecki,36912,73923,49.93
podkarpackie,bieszczadzki,8878,21489,41.31
podkarpackie,brzozowski,24255,65373,37.1
podkarpackie,debicki,55395,134991,41.04
podkarpackie,jaroslawski,53136,119727,44.38
podkarpackie,jasielski,47079,112863,41.71
podkarpackie,kolbuszowski,19274,62039,31.07
podkarpackie,krosnienski,43614,111905,38.97
podkarpackie,lancucki,35799,81226,44.07
podkarpackie,leski,10715,26375,40.63
podkarpackie,lezajski,26711,68996,38.71
podkarpackie,lubaczowski,25589,54711,46.77
podkarpackie,M.Krosno,22253,45944,48.44
podkarpackie,M.Przemysl,32084,59779,53.67
podkarpackie,M.Rzeszow,107007,196638,54.42
podkarpackie,M.Tarnobrzeg,26215,46360,56.55
podkarpackie,mielecki,60003,136441,43.98
podkarpackie,nizanski,23606,66221,35.65
podkarpackie,przemyski,32027,73919,43.33
podkarpackie,przeworski,33473,77979,42.93
podkarpackie,ropczycko-sedziszowski,26353,74573,35.34
podkarpackie,rzeszowski,71595,170550,41.98
podkarpackie,sanocki,38460,93818,40.99
podkarpackie,stalowowolski,43931,105431,41.67
podkarpackie,strzyzowski,22912,61161,37.46
podkarpackie,tarnobrzeski,22204,52720,42.12
podlaskie,augustowski,26289,57651,45.6
podlaskie,bialostocki,72574,150845,48.11
podlaskie,bielski,24204,53695,45.08
podlaskie,grajewski,17950,46792,38.36
podlaskie,hajnowski,19045,41991,45.35
podlaskie,kolnenski,14413,37887,38.04
podlaskie,lomzynski,20118,50819,39.59
podlaskie,M.Bialystok,166107,296958,55.94
podlaskie,M.Lomza,30742,62573,49.13
podlaskie,M.Suwalki,34886,69639,50.1
podlaskie,moniecki,15986,40070,39.9
podlaskie,sejnenski,9338,19689,47.43
podlaskie,siemiatycki,17733,43618,40.66
podlaskie,sokolski,32305,65883,49.03
podlaskie,suwalski,15322,35577,43.07
podlaskie,wysokomazowiecki,26277,56408,46.58
podlaskie,zambrowski,20018,43191,46.35
pomorskie,bytowski,41453,79114,52.4
pomorskie,chojnicki,53510,97661,54.79
pomorskie,czluchowski,31003,55835,55.53
pomorskie,gdanski,76233,120327,63.35
pomorskie,kartuski,73804,141892,52.01
pomorskie,koscierski,40239,72923,55.18
pomorskie,kwidzynski,42852,82963,51.65
pomorskie,leborski,36547,66083,55.3
pomorskie,M.Gdansk,337198,470805,71.62
pomorskie,M.Gdynia,167833,244969,68.51
pomorskie,M.Slupsk,56840,89780,63.31
pomorskie,M.Sopot,23719,35286,67.22
pomorskie,malborski,37910,63204,59.98
pomorskie,nowodworski,20365,35438,57.47
pomorskie,pucki,52705,87568,60.19
pomorskie,slupski,54084,98832,54.72
pomorskie,starogardzki,68220,128210,53.21
pomorskie,sztumski,23563,41104,57.33
pomorskie,tczewski,68413,115220,59.38
pomorskie,wejherowski,123532,219457,56.29
slaskie,bedzinski,94132,147259,63.92
slaskie,bielski,97787,166348,58.78
slaskie,bierunsko-ledzinski,34645,59823,57.91
slaskie,cieszynski,94283,177536,53.11
slaskie,czestochowski,74363,134106,55.45
slaskie,gliwicki,65225,115416,56.51
slaskie,klobucki,45665,84330,54.15
slaskie,lubliniecki,38011,76109,49.94
slaskie,M.Bielsko-Biala,105127,169756,61.93
slaskie,M.Bytom,91590,163255,56.1
slaskie,M.Chorzow,63584,106846,59.51
slaskie,M.Czestochowa,134088,217530,61.64
slaskie,M.Dabrowa Gornicza,74957,118285,63.37
slaskie,M.Gliwice,110467,177049,62.39
slaskie,M.Jastrzebie-Zdroj,46839,88038,53.2
slaskie,M.Jaworzno,52785,90368,58.41
slaskie,M.Katowice,193188,290553,66.49
slaskie,M.Myslowice,45046,74559,60.42
slaskie,M.Piekary Slaskie,33376,54702,61.01
slaskie,M.Ruda Slaska,83930,136423,61.52
slaskie,M.Rybnik,76367,137128,55.69
slaskie,M.Siemianowice Slaskie,40563,66270,61.21
slaskie,M.Sosnowiec,127022,197586,64.29
slaskie,M.Swietochlowice,26888,49108,54.75
slaskie,M.Tychy,79952,126871,63.02
slaskie,M.Zabrze,91431,170924,53.49
slaskie,M.Zory,34705,62844,55.22
slaskie,mikolowski,59303,99202,59.78
slaskie,myszkowski,38614,70486,54.78
slaskie,pszczynski,62030,111814,55.48
slaskie,raciborski,52848,107410,49.2
slaskie,rybnicki,42571,78166,54.46
slaskie,tarnogorski,82740,140780,58.77
slaskie,wodzislawski,81668,156579,52.16
slaskie,zawiercianski,69072,116672,59.2
slaskie,zywiecki,81528,152199,53.57
swietokrzyskie,buski,39684,71125,55.79
swietokrzyskie,jedrzejowski,50546,84908,59.53
swietokrzyskie,kazimierski,17377,33340,52.12
swietokrzyskie,kielecki,105556,210992,50.03
swietokrzyskie,konecki,43353,79072,54.83
swietokrzyskie,M.Kielce,118775,193415,61.41
swietokrzyskie,opatowski,25973,51525,50.41
swietokrzyskie,ostrowiecki,57885,107711,53.74
swietokrzyskie,pinczowski,22134,38487,57.51
swietokrzyskie,sandomierski,42273,76346,55.37
swietokrzyskie,skarzyski,40756,73163,55.71
swietokrzyskie,starachowicki,47051,88549,53.14
swietokrzyskie,staszowski,38547,71250,54.1
swietokrzyskie,wloszczowski,25004,44743,55.88
warminsko-mazurskie,bartoszycki,32864,56562,58.1
warminsko-mazurskie,braniewski,22796,40776,55.91
warminsko-mazurskie,dzialdowski,37514,64768,57.92
warminsko-mazurskie,elblaski,31990,56986,56.14
warminsko-mazurskie,elcki,41223,91395,45.1
warminsko-mazurskie,gizycki,32183,56227,57.24
warminsko-mazurskie,goldapski,13665,26489,51.59
warminsko-mazurskie,ilawski,52243,92644,56.39
warminsko-mazurskie,ketrzynski,33489,61772,54.21
warminsko-mazurskie,lidzbarski,22042,40852,53.96
warminsko-mazurskie,M.Elblag,71828,118582,60.57
warminsko-mazurskie,M.Olsztyn,108332,171249,63.26
warminsko-mazurskie,mragowski,25143,49439,50.86
warminsko-mazurskie,nidzicki,17204,32638,52.71
warminsko-mazurskie,nowomiejski,24335,43721,55.66
warminsko-mazurskie,olecki,16851,33993,49.57
warminsko-mazurskie,olsztynski,70885,127544,55.58
warminsko-mazurskie,ostrodzki,55598,103492,53.72
warminsko-mazurskie,piski,27071,55833,48.49
warminsko-mazurskie,szczycienski,35950,69089,52.03
warminsko-mazurskie,wegorzewski,13101,22444,58.37
wielkopolskie,chodzieski,28942,46824,61.81
wielkopolskie,czarnkowsko-trzcianecki,51193,86590,59.12
wielkopolskie,gnieznienski,88001,145068,60.66
wielkopolskie,gostynski,40231,75732,53.12
wielkopolskie,grodziski,31926,51929,61.48
wielkopolskie,jarocinski,43600,71425,61.04
wielkopolskie,kaliski,41422,82911,49.96
wielkopolskie,kepinski,32678,56298,58.04
wielkopolskie,kolski,45090,86108,52.36
wielkopolskie,koninski,74720,129904,57.52
wielkopolskie,koscianski,49769,78866,63.11
wielkopolskie,krotoszynski,43107,76998,55.98
wielkopolskie,leszczynski,31365,57911,54.16
wielkopolskie,M.Kalisz,58310,99106,58.84
wielkopolskie,M.Konin,45711,72539,63.02
wielkopolskie,M.Leszno,39297,62854,62.52
wielkopolskie,M.Poznan,403089,532048,75.76
wielkopolskie,miedzychodzki,22749,36633,62.1
wielkopolskie,nowotomyski,46476,75576,61.5
wielkopolskie,obornicki,37433,59821,62.58
wielkopolskie,ostrowski,88371,161357,54.77
wielkopolskie,ostrzeszowski,28936,55265,52.36
wielkopolskie,pilski,82039,135477,60.56
wielkopolskie,pleszewski,36238,62763,57.74
wielkopolskie,poznanski,282195,406590,69.41
wielkopolskie,rawicki,36323,60188,60.35
wielkopolskie,slupecki,35926,58959,60.93
wielkopolskie,sredzki,37546,59149,63.48
wielkopolskie,sremski,36026,61492,58.59
wielkopolskie,szamotulski,62590,91745,68.22
wielkopolskie,turecki,45798,83599,54.78
wielkopolskie,wagrowiecki,41060,70096,58.58
wielkopolskie,wolsztynski,33867,57431,58.97
wielkopolskie,wrzesinski,48462,78037,62.1
wielkopolskie,zlotowski,37187,69161,53.77
zachodniopomorskie,bialogardzki,24391,47304,51.56
zachodniopomorskie,choszczenski,28792,47970,60.02
zachodniopomorskie,drawski,31067,56482,55
zachodniopomorskie,goleniowski,48253,82310,58.62
zachodniopomorskie,gryficki,34869,59844,58.27
zachodniopomorskie,gryfinski,47831,81289,58.84
zachodniopomorskie,kamienski,27567,46692,59.04
zachodniopomorskie,kolobrzeski,49288,79300,62.15
zachodniopomorskie,koszalinski,36278,66505,54.55
zachodniopomorskie,lobeski,20240,36486,55.47
zachodniopomorskie,M.Koszalin,64856,106235,61.05
zachodniopomorskie,M.Swinoujscie,25526,40948,62.34
zachodniopomorskie,M.Szczecin,259140,398255,65.07
zachodniopomorskie,mysliborski,34951,65373,53.46
zachodniopomorskie,policki,50221,81584,61.56
zachodniopomorskie,pyrzycki,21405,39202,54.6
zachodniopomorskie,slawienski,31183,55777,55.91
zachodniopomorskie,stargardzki,69518,120132,57.87
zachodniopomorskie,swidwinski,26637,46394,57.41
zachodniopomorskie,szczecinecki,43260,77258,55.99
zachodniopomorskie,walecki,30271,52707,57.43
