"Kod";"Nazwa";"wydatki na świadczenia wychowawcze;2021;[zł]";
0201000;"Powiat bolesławiecki";87891339;
0202000;"Powiat dzierżoniowski";84921384;
0203000;"Powiat głogowski";89918571;
0204000;"Powiat górowski";33250360;
0205000;"Powiat jaworski";45001047;
0206000;"Powiat karkonoski";53364358;
0207000;"Powiat kamiennogórski";35839326;
0208000;"Powiat kłodzki";125684330;
0209000;"Powiat legnicki";57137907;
0210000;"Powiat lubański";44242493;
0211000;"Powiat lubiński";107572580;
0212000;"Powiat lwówecki";37890865;
0213000;"Powiat milicki";39764313;
0214000;"Powiat oleśnicki";117214918;
0215000;"Powiat oławski";84798978;
0216000;"Powiat polkowicki";68537439;
0217000;"Powiat strzeliński";42794422;
0218000;"Powiat średzki";63705354;
0219000;"Powiat świdnicki";144947819;
0220000;"Powiat trzebnicki";95321740;
0221000;"Powiat wałbrzyski";45723820;
0222000;"Powiat wołowski";45215103;
0223000;"Powiat wrocławski";237223187;
0224000;"Powiat ząbkowicki";52680469;
0225000;"Powiat zgorzelecki";69031041;
0226000;"Powiat złotoryjski";37489579;
0261000;"Powiat m.Jelenia Góra";63866858;
0262000;"Powiat m.Legnica";91075786;
0264000;"Powiat m.Wrocław";642459897;
0265000;"Powiat m.Wałbrzych od 2013";83146425;
0401000;"Powiat aleksandrowski";54386401;
0402000;"Powiat brodnicki";91916224;
0403000;"Powiat bydgoski";147837052;
0404000;"Powiat chełmiński";52568337;
0405000;"Powiat golubsko-dobrzyński";48843371;
0406000;"Powiat grudziądzki";45797443;
0407000;"Powiat inowrocławski";148605205;
0408000;"Powiat lipnowski";70725849;
0409000;"Powiat mogileński";46008827;
0410000;"Powiat nakielski";92510391;
0411000;"Powiat radziejowski";38516870;
0412000;"Powiat rypiński";45879602;
0413000;"Powiat sępoleński";42317372;
0414000;"Powiat świecki";105905650;
0415000;"Powiat toruński";137196990;
0416000;"Powiat tucholski";53369218;
0417000;"Powiat wąbrzeski";34845564;
0418000;"Powiat włocławski";84562218;
0419000;"Powiat żniński";72851003;
0461000;"Powiat m.Bydgoszcz";314183097;
0462000;"Powiat m.Grudziądz";87913470;
0463000;"Powiat m.Toruń";188511790;
0464000;"Powiat m.Włocławek";89535069;
0601000;"Powiat bialski";114997055;
0602000;"Powiat biłgorajski";97126878;
0603000;"Powiat chełmski";74110745;
0604000;"Powiat hrubieszowski";51308688;
0605000;"Powiat janowski";42429882;
0606000;"Powiat krasnostawski";52196085;
0607000;"Powiat kraśnicki";83132751;
0608000;"Powiat lubartowski";91239308;
0609000;"Powiat lubelski";183527952;
0610000;"Powiat łęczyński";64634112;
0611000;"Powiat łukowski";125607703;
0612000;"Powiat opolski";57404309;
0613000;"Powiat parczewski";33789211;
0614000;"Powiat puławski";104933761;
0615000;"Powiat radzyński";62651161;
0616000;"Powiat rycki";56109433;
0617000;"Powiat świdnicki";70796013;
0618000;"Powiat tomaszowski";72650540;
0619000;"Powiat włodawski";35565070;
0620000;"Powiat zamojski";96678892;
0661000;"Powiat m.Biała Podlaska";58220664;
0662000;"Powiat m.Chełm";51871466;
0663000;"Powiat m.Lublin";335837525;
0664000;"Powiat m.Zamość";56236775;
0801000;"Powiat gorzowski";79498483;
0802000;"Powiat krośnieński";49050395;
0803000;"Powiat międzyrzecki";56190018;
0804000;"Powiat nowosolski";83325594;
0805000;"Powiat słubicki";45192921;
0806000;"Powiat strzelecko-drezdenecki";49200039;
0807000;"Powiat sulęciński";35263032;
0808000;"Powiat świebodziński";58466410;
0809000;"Powiat zielonogórski";78772125;
0810000;"Powiat żagański";71490953;
0811000;"Powiat żarski";87108056;
0812000;"Powiat wschowski";40618787;
0861000;"Powiat m.Gorzów Wielkopolski";119605712;
0862000;"Powiat m.Zielona Góra";145757300;
1001000;"Powiat bełchatowski";122031336;
1002000;"Powiat kutnowski";86070285;
1003000;"Powiat łaski";49711203;
1004000;"Powiat łęczycki";47463139;
1005000;"Powiat łowicki";79578511;
1006000;"Powiat łódzki wschodni";82411081;
1007000;"Powiat opoczyński";81768846;
1008000;"Powiat pabianicki";118424028;
1009000;"Powiat pajęczański";50736208;
1010000;"Powiat piotrkowski";102242353;
1011000;"Powiat poddębicki";41498760;
1012000;"Powiat radomszczański";106165788;
1013000;"Powiat rawski";53039860;
1014000;"Powiat sieradzki";118664560;
1015000;"Powiat skierniewicki";46806469;
1016000;"Powiat tomaszowski";119784643;
1017000;"Powiat wieluński";76913833;
1018000;"Powiat wieruszowski";45367835;
1019000;"Powiat zduńskowolski";67582425;
1020000;"Powiat zgierski";172362426;
1021000;"Powiat brzeziński";32585177;
1061000;"Powiat m.Łódź";583365157;
1062000;"Powiat m.Piotrków Trybunalski";68044226;
1063000;"Powiat m.Skierniewice";50328949;
1201000;"Powiat bocheński";130756093;
1202000;"Powiat brzeski";102974811;
1203000;"Powiat chrzanowski";116963313;
1204000;"Powiat dąbrowski";58595502;
1205000;"Powiat gorlicki";118243990;
1206000;"Powiat krakowski";349149772;
1207000;"Powiat limanowski";176287833;
1208000;"Powiat miechowski";48404860;
1209000;"Powiat myślenicki";164035037;
1210000;"Powiat nowosądecki";279065883;
1211000;"Powiat nowotarski";217750239;
1212000;"Powiat olkuski";107143835;
1213000;"Powiat oświęcimski";157496501;
1214000;"Powiat proszowicki";44939129;
1215000;"Powiat suski";95097031;
1216000;"Powiat tarnowski";219242138;
1217000;"Powiat tatrzański";73207001;
1218000;"Powiat wadowicki";185796936;
1219000;"Powiat wielicki";176185935;
1261000;"Powiat m.Kraków";785976802;
1262000;"Powiat m.Nowy Sącz";88604546;
1263000;"Powiat m.Tarnów";93953900;
1401000;"Powiat białobrzeski";40520457;
1402000;"Powiat ciechanowski";93092220;
1403000;"Powiat garwoliński";136948237;
1404000;"Powiat gostyniński";42139572;
1405000;"Powiat grodziski";130046224;
1406000;"Powiat grójecki";112842366;
1407000;"Powiat kozienicki";59076430;
1408000;"Powiat legionowski";160408260;
1409000;"Powiat lipski";31082564;
1410000;"Powiat łosicki";31672308;
1411000;"Powiat makowski";47505780;
1412000;"Powiat miński";199419775;
1413000;"Powiat mławski";77806698;
1414000;"Powiat nowodworski";90467639;
1415000;"Powiat ostrołęcki";104259994;
1416000;"Powiat ostrowski";73760183;
1417000;"Powiat otwocki";153452764;
1418000;"Powiat piaseczyński";274506197;
1419000;"Powiat płocki";120641981;
1420000;"Powiat płoński";93601952;
1421000;"Powiat pruszkowski";216769904;
1422000;"Powiat przasnyski";58997339;
1423000;"Powiat przysuski";40348955;
1424000;"Powiat pułtuski";59282101;
1425000;"Powiat radomski";177977793;
1426000;"Powiat siedlecki";96837278;
1427000;"Powiat sierpecki";52595655;
1428000;"Powiat sochaczewski";95989485;
1429000;"Powiat sokołowski";53326708;
1430000;"Powiat szydłowiecki";39605356;
1432000;"Powiat warszawski zachodni";160238886;
1433000;"Powiat węgrowski";71596276;
1434000;"Powiat wołomiński";362939996;
1435000;"Powiat wyszkowski";89852464;
1436000;"Powiat zwoleński";37364879;
1437000;"Powiat żuromiński";39269071;
1438000;"Powiat żyrardowski";86033320;
1461000;"Powiat m.Ostrołęka";53031379;
1462000;"Powiat m.Płock";112371979;
1463000;"Powiat m.Radom";201553030;
1464000;"Powiat m.Siedlce";91440651;
1465000;"Powiat m. st. Warszawa";2000028366;
1601000;"Powiat brzeski";84935155;
1602000;"Powiat głubczycki";37830784;
1603000;"Powiat kędzierzyńsko-kozielski";77128540;
1604000;"Powiat kluczborski";54653370;
1605000;"Powiat krapkowicki";54157162;
1606000;"Powiat namysłowski";42427343;
1607000;"Powiat nyski";111571276;
1608000;"Powiat oleski";57103984;
1609000;"Powiat opolski";112191521;
1610000;"Powiat prudnicki";48274251;
1611000;"Powiat strzelecki";67095898;
1661000;"Powiat m.Opole";121703877;
1801000;"Powiat bieszczadzki";19240900;
1802000;"Powiat brzozowski";69455917;
1803000;"Powiat dębicki";146237697;
1804000;"Powiat jarosławski";118120203;
1805000;"Powiat jasielski";107394319;
1806000;"Powiat kolbuszowski";62106017;
1807000;"Powiat krośnieński";116530572;
1808000;"Powiat leżajski";68652349;
1809000;"Powiat lubaczowski";50305595;
1810000;"Powiat łańcucki";94113764;
1811000;"Powiat mielecki";145763388;
1812000;"Powiat niżański";60477905;
1813000;"Powiat przemyski";74993539;
1814000;"Powiat przeworski";82202253;
1815000;"Powiat ropczycko-sędziszowski";87523682;
1816000;"Powiat rzeszowski";204016689;
1817000;"Powiat sanocki";90397538;
1818000;"Powiat stalowowolski";97068107;
1819000;"Powiat strzyżowski";61976123;
1820000;"Powiat tarnobrzeski";48853053;
1821000;"Powiat leski";23013908;
1861000;"Powiat m.Krosno";43223715;
1862000;"Powiat m.Przemyśl";51983199;
1863000;"Powiat m.Rzeszów";219489187;
1864000;"Powiat m.Tarnobrzeg";38807402;
2001000;"Powiat augustowski";54528405;
2002000;"Powiat białostocki";164668504;
2003000;"Powiat bielski";49883975;
2004000;"Powiat grajewski";46328337;
2005000;"Powiat hajnowski";32707586;
2006000;"Powiat kolneński";37671436;
2007000;"Powiat łomżyński";53288257;
2008000;"Powiat moniecki";35233498;
2009000;"Powiat sejneński";17811129;
2010000;"Powiat siemiatycki";34540057;
2011000;"Powiat sokólski";57522346;
2012000;"Powiat suwalski";38031305;
2013000;"Powiat wysokomazowiecki";57967729;
2014000;"Powiat zambrowski";43306940;
2061000;"Powiat m.Białystok";308967308;
2062000;"Powiat m.Łomża";61484894;
2063000;"Powiat m.Suwałki";75984571;
2201000;"Powiat bytowski";90016730;
2202000;"Powiat chojnicki";115829953;
2203000;"Powiat człuchowski";55963909;
2204000;"Powiat gdański";167788419;
2205000;"Powiat kartuski";227703943;
2206000;"Powiat kościerski";93521657;
2207000;"Powiat kwidzyński";89934029;
2208000;"Powiat lęborski";72515619;
2209000;"Powiat malborski";63652018;
2210000;"Powiat nowodworski";34761221;
2211000;"Powiat pucki";111311648;
2212000;"Powiat słupski";102555536;
2213000;"Powiat starogardzki";148783879;
2214000;"Powiat tczewski";128295925;
2215000;"Powiat wejherowski";292658595;
2216000;"Powiat sztumski";39852866;
2261000;"Powiat m.Gdańsk";485449537;
2262000;"Powiat m.Gdynia";233943619;
2263000;"Powiat m.Słupsk";80293150;
2264000;"Powiat m.Sopot";25174092;
2401000;"Powiat będziński";138734452;
2402000;"Powiat bielski";193684360;
2403000;"Powiat cieszyński";198208493;
2404000;"Powiat częstochowski";130765544;
2405000;"Powiat gliwicki";122008672;
2406000;"Powiat kłobucki";82749907;
2407000;"Powiat lubliniecki";79209016;
2408000;"Powiat mikołowski";117039466;
2409000;"Powiat myszkowski";66622361;
2410000;"Powiat pszczyński";138732833;
2411000;"Powiat raciborski";94298379;
2412000;"Powiat rybnicki";91215351;
2413000;"Powiat tarnogórski";142976469;
2414000;"Powiat bieruńsko-lędziński";70931091;
2415000;"Powiat wodzisławski";163483768;
2416000;"Powiat zawierciański";106535509;
2417000;"Powiat żywiecki";166285323;
2461000;"Powiat m.Bielsko-Biała";170227203;
2462000;"Powiat m.Bytom";142973102;
2463000;"Powiat m.Chorzów";102667958;
2464000;"Powiat m.Częstochowa";185632758;
2465000;"Powiat m.Dąbrowa Górnicza";106750923;
2466000;"Powiat m.Gliwice";164063993;
2467000;"Powiat m.Jastrzębie-Zdrój";84531681;
2468000;"Powiat m.Jaworzno";85326942;
2469000;"Powiat m.Katowice";247745583;
2470000;"Powiat m.Mysłowice";77069680;
2471000;"Powiat m.Piekary Śląskie";50626906;
2472000;"Powiat m.Ruda Śląska";137970297;
2473000;"Powiat m.Rybnik";141798717;
2474000;"Powiat m.Siemianowice Śląskie";62937150;
2475000;"Powiat m.Sosnowiec";163465322;
2476000;"Powiat m.Świętochłowice";46435244;
2477000;"Powiat m.Tychy";128881655;
2478000;"Powiat m.Zabrze";148428371;
2479000;"Powiat m.Żory";69841225;
2601000;"Powiat buski";64522812;
2602000;"Powiat jędrzejowski";84029208;
2603000;"Powiat kazimierski";28012336;
2604000;"Powiat kielecki";234251852;
2605000;"Powiat konecki";66935749;
2606000;"Powiat opatowski";45176304;
2607000;"Powiat ostrowiecki";84373020;
2608000;"Powiat pińczowski";33843820;
2609000;"Powiat sandomierski";67719776;
2610000;"Powiat skarżyski";56992216;
2611000;"Powiat starachowicki";78625817;
2612000;"Powiat staszowski";70211377;
2613000;"Powiat włoszczowski";43764594;
2661000;"Powiat m.Kielce";174542197;
2801000;"Powiat bartoszycki";52148683;
2802000;"Powiat braniewski";37022473;
2803000;"Powiat działdowski";68117564;
2804000;"Powiat elbląski";56672945;
2805000;"Powiat ełcki";94357491;
2806000;"Powiat giżycki";59239416;
2807000;"Powiat iławski";103328092;
2808000;"Powiat kętrzyński";55103828;
2809000;"Powiat lidzbarski";38089743;
2810000;"Powiat mrągowski";47106267;
2811000;"Powiat nidzicki";31788331;
2812000;"Powiat nowomiejski";51274473;
2813000;"Powiat olecki";34933825;
2814000;"Powiat olsztyński";140406245;
2815000;"Powiat ostródzki";106907715;
2816000;"Powiat piski";53451032;
2817000;"Powiat szczycieński";70861362;
2818000;"Powiat gołdapski";27014738;
2819000;"Powiat węgorzewski";19724821;
2861000;"Powiat m.Elbląg";104847899;
2862000;"Powiat m.Olsztyn";170048598;
3001000;"Powiat chodzieski";49845298;
3002000;"Powiat czarnkowsko-trzcianecki";94537192;
3003000;"Powiat gnieźnieński";166294175;
3004000;"Powiat gostyński";88381228;
3005000;"Powiat grodziski";66763091;
3006000;"Powiat jarociński";82021060;
3007000;"Powiat kaliski";93592975;
3008000;"Powiat kępiński";66313361;
3009000;"Powiat kolski";86666533;
3010000;"Powiat koniński";143819472;
3011000;"Powiat kościański";90786936;
3012000;"Powiat krotoszyński";88111266;
3013000;"Powiat leszczyński";74918008;
3014000;"Powiat międzychodzki";40021865;
3015000;"Powiat nowotomyski";94022436;
3016000;"Powiat obornicki";72292144;
3017000;"Powiat ostrowski";175737638;
3018000;"Powiat ostrzeszowski";61858688;
3019000;"Powiat pilski";140614770;
3020000;"Powiat pleszewski";70219785;
3021000;"Powiat poznański";586623227;
3022000;"Powiat rawicki";70208747;
3023000;"Powiat słupecki";62868127;
3024000;"Powiat szamotulski";109665317;
3025000;"Powiat średzki";74658041;
