"Kod";"Nazwa";"ludność na 1 km2;2021;[osoba]";
0000000;"POLSKA";122;
0200000;"DOLNOŚLĄSKIE";144;
0201000;"Powiat bolesławiecki";69;
0201011;"Bolesławiec (1)";1627;
0201022;"Bolesławiec (2)";52;
0201032;"Gromadka (2)";20;
0201043;"Nowogrodziec (3)";86;
0201044;"Nowogrodziec - miasto (4)";262;
0201045;"Nowogrodziec - obszar wiejski (5)";68;
0201052;"Osiecznica (2)";17;
0201062;"Warta Bolesławiecka (2)";77;
0202000;"Powiat dzierżoniowski";207;
0202011;"Bielawa (1)";807;
0202021;"Dzierżoniów (1)";1612;
0202033;"Pieszyce (3)";145;
0202034;"Pieszyce - miasto (4)";391;
0202035;"Pieszyce - obszar wiejski (5)";50;
0202041;"Piława Górna (1)";301;
0202052;"Dzierżoniów (2)";64;
0202062;"Łagiewniki (2)";59;
0202073;"Niemcza (3)";74;
0202074;"Niemcza - miasto (4)";145;
0202075;"Niemcza - obszar wiejski (5)";48;
0203000;"Powiat głogowski";199;
0203011;"Głogów (1)";1863;
0203022;"Głogów (2)";82;
0203032;"Jerzmanowa (2)";88;
0203042;"Kotla (2)";35;
0203052;"Pęcław (2)";34;
0203062;"Żukowice (2)";51;
0204000;"Powiat górowski";46;
0204013;"Góra (3)";73;
0204014;"Góra - miasto (4)";834;
0204015;"Góra - obszar wiejski (5)";32;
0204022;"Jemielno (2)";24;
0204032;"Niechlów (2)";32;
0204043;"Wąsosz (3)";35;
0204044;"Wąsosz - miasto (4)";807;
0204045;"Wąsosz - obszar wiejski (5)";23;
0205000;"Powiat jaworski";84;
0205011;"Jawor (1)";1178;
0205023;"Bolków (3)";66;
0205024;"Bolków - miasto (4)";625;
0205025;"Bolków - obszar wiejski (5)";37;
0205032;"Męcinka (2)";34;
0205042;"Mściwojów (2)";56;
0205052;"Paszowice (2)";40;
0205062;"Wądroże Wielkie (2)";43;
0206000;"Powiat karkonoski";100;
0206011;"Karpacz (1)";115;
0206021;"Kowary (1)";281;
0206031;"Piechowice (1)";139;
0206041;"Szklarska Poręba (1)";87;
0206052;"Janowice Wielkie (2)";73;
0206062;"Jeżów Sudecki (2)";82;
0206072;"Mysłakowice (2)";114;
0206082;"Podgórzyn (2)";99;
0206092;"Stara Kamienica (2)";48;
0207000;"Powiat kamiennogórski";107;
0207011;"Kamienna Góra (1)";1011;
0207022;"Kamienna Góra (2)";57;
0207033;"Lubawka (3)";77;
0207034;"Lubawka - miasto (4)";261;
0207035;"Lubawka - obszar wiejski (5)";41;
0207042;"Marciszów (2)";55;
0208000;"Powiat kłodzki";94;
0208011;"Duszniki-Zdrój (1)";194;
0208021;"Kłodzko (1)";1046;
0208031;"Kudowa-Zdrój (1)";284;
0208041;"Nowa Ruda (1)";574;
0208051;"Polanica-Zdrój (1)";355;
0208063;"Bystrzyca Kłodzka (3)";54;
0208064;"Bystrzyca Kłodzka - miasto (4)";910;
0208065;"Bystrzyca Kłodzka - obszar wiejski (5)";26;
0208072;"Kłodzko (2)";67;
0208083;"Lądek-Zdrój (3)";68;
0208084;"Lądek-Zdrój - miasto (4)";263;
0208085;"Lądek-Zdrój - obszar wiejski (5)";27;
0208092;"Lewin Kłodzki (2)";37;
0208103;"Międzylesie (3)";37;
0208104;"Międzylesie - miasto (4)";172;
0208105;"Międzylesie - obszar wiejski (5)";26;
0208112;"Nowa Ruda (2)";81;
0208123;"Radków (3)";63;
0208124;"Radków - miasto (4)";159;
0208125;"Radków - obszar wiejski (5)";52;
0208133;"Stronie Śląskie (3)";50;
0208134;"Stronie Śląskie - miasto (4)";2311;
0208135;"Stronie Śląskie - obszar wiejski (5)";13;
0208143;"Szczytna (3)";54;
0208144;"Szczytna - miasto (4)";62;
0208145;"Szczytna - obszar wiejski (5)";41;
0209000;"Powiat legnicki";74;
0209011;"Chojnów (1)";2444;
0209022;"Chojnów (2)";41;
0209032;"Krotoszyce (2)";49;
0209042;"Kunice (2)";79;
0209052;"Legnickie Pole (2)";62;
0209062;"Miłkowice (2)";79;
0209073;"Prochowice (3)";71;
0209074;"Prochowice - miasto (4)";356;
0209075;"Prochowice - obszar wiejski (5)";41;
0209082;"Ruja (2)";35;
0210000;"Powiat lubański";124;
0210011;"Lubań (1)";1273;
0210021;"Świeradów-Zdrój (1)";190;
0210033;"Leśna (3)";93;
0210034;"Leśna - miasto (4)";502;
0210035;"Leśna - obszar wiejski (5)";57;
0210042;"Lubań (2)";46;
0210053;"Olszyna (3)";136;
0210054;"Olszyna - miasto (4)";212;
0210055;"Olszyna - obszar wiejski (5)";78;
0210062;"Platerówka (2)";34;
