"Kod";"Nazwa";"lekarze (personel pracujący ogółem) na 10 tys. ludności;2020;[osoba]";
0000000;"POLSKA";59,7;
0200000;"DOLNOŚLĄSKIE";57,8;
0201000;"Powiat bolesławiecki";30,7;
0202000;"Powiat dzierżoniowski";27,0;
0203000;"Powiat głogowski";35,4;
0204000;"Powiat górowski";11,6;
0205000;"Powiat jaworski";26,1;
0206000;"Powiat karkonoski";32,4;
0207000;"Powiat kamiennogórski";26,9;
0208000;"Powiat kłodzki";43,1;
0209000;"Powiat legnicki";11,3;
0210000;"Powiat lubański";24,9;
0211000;"Powiat lubiński";71,4;
0212000;"Powiat lwówecki";16,2;
0213000;"Powiat milicki";42,9;
0214000;"Powiat oleśnicki";30,2;
0215000;"Powiat oławski";31,0;
0216000;"Powiat polkowicki";15,7;
0217000;"Powiat strzeliński";37,9;
0218000;"Powiat średzki";9,0;
0219000;"Powiat świdnicki";35,6;
0220000;"Powiat trzebnicki";41,3;
0221000;"Powiat wałbrzyski";25,2;
0222000;"Powiat wołowski";44,6;
0223000;"Powiat wrocławski";26,0;
0224000;"Powiat ząbkowicki";20,9;
0225000;"Powiat zgorzelecki";26,4;
0226000;"Powiat złotoryjski";28,3;
0261000;"Powiat m.Jelenia Góra";79,0;
0262000;"Powiat m.Legnica";51,9;
0264000;"Powiat m.Wrocław";136,9;
0265000;"Powiat m.Wałbrzych od 2013";52,7;
0400000;"KUJAWSKO-POMORSKIE";54,7;
0401000;"Powiat aleksandrowski";52,1;
0402000;"Powiat brodnicki";26,1;
0403000;"Powiat bydgoski";24,0;
0404000;"Powiat chełmiński";20,9;
0405000;"Powiat golubsko-dobrzyński";26,8;
0406000;"Powiat grudziądzki";15,9;
0407000;"Powiat inowrocławski";34,9;
0408000;"Powiat lipnowski";22,2;
0409000;"Powiat mogileński";22,2;
0410000;"Powiat nakielski";28,0;
0411000;"Powiat radziejowski";38,0;
0412000;"Powiat rypiński";25,1;
0413000;"Powiat sępoleński";34,5;
0414000;"Powiat świecki";28,3;
0415000;"Powiat toruński";13,5;
0416000;"Powiat tucholski";28,1;
0417000;"Powiat wąbrzeski";31,1;
0418000;"Powiat włocławski";14,2;
0419000;"Powiat żniński";33,8;
0461000;"Powiat m.Bydgoszcz";136,4;
0462000;"Powiat m.Grudziądz";71,2;
0463000;"Powiat m.Toruń";83,5;
0464000;"Powiat m.Włocławek";66,5;
0600000;"LUBELSKIE";66,4;
0601000;"Powiat bialski";28,6;
0602000;"Powiat biłgorajski";24,7;
0603000;"Powiat chełmski";6,3;
0604000;"Powiat hrubieszowski";18,1;
0605000;"Powiat janowski";44,1;
0606000;"Powiat krasnostawski";35,0;
0607000;"Powiat kraśnicki";32,9;
0608000;"Powiat lubartowski";20,4;
0609000;"Powiat lubelski";16,9;
0610000;"Powiat łęczyński";49,6;
0611000;"Powiat łukowski";42,9;
0612000;"Powiat opolski";36,8;
0613000;"Powiat parczewski";45,7;
0614000;"Powiat puławski";73,2;
0615000;"Powiat radzyński";68,4;
0616000;"Powiat rycki";63,0;
0617000;"Powiat świdnicki";42,1;
0618000;"Powiat tomaszowski";32,0;
0619000;"Powiat włodawski";52,9;
0620000;"Powiat zamojski";12,8;
0661000;"Powiat m.Biała Podlaska";107,1;
0662000;"Powiat m.Chełm";64,8;
0663000;"Powiat m.Lublin";195,3;
0664000;"Powiat m.Zamość";130,3;
0800000;"LUBUSKIE";46,0;
0801000;"Powiat gorzowski";26,0;
0802000;"Powiat krośnieński";28,9;
0803000;"Powiat międzyrzecki";46,9;
0804000;"Powiat nowosolski";53,5;
0805000;"Powiat słubicki";24,9;
0806000;"Powiat strzelecko-drezdenecki";20,0;
0807000;"Powiat sulęciński";32,0;
0808000;"Powiat świebodziński";61,1;
0809000;"Powiat zielonogórski";32,6;
0810000;"Powiat żagański";18,4;
0811000;"Powiat żarski";34,4;
0812000;"Powiat wschowski";28,5;
0861000;"Powiat m.Gorzów Wielkopolski";79,5;
0862000;"Powiat m.Zielona Góra";77,6;
1000000;"ŁÓDZKIE";67,1;
1001000;"Powiat bełchatowski";50,1;
1002000;"Powiat kutnowski";35,3;
1003000;"Powiat łaski";50,9;
1004000;"Powiat łęczycki";47,1;
1005000;"Powiat łowicki";63,6;
1006000;"Powiat łódzki wschodni";31,3;
1007000;"Powiat opoczyński";25,7;
1008000;"Powiat pabianicki";42,8;
1009000;"Powiat pajęczański";16,3;
1010000;"Powiat piotrkowski";3,4;
1011000;"Powiat poddębicki";30,3;
1012000;"Powiat radomszczański";42,4;
1013000;"Powiat rawski";44,6;
1014000;"Powiat sieradzki";54,2;
1015000;"Powiat skierniewicki";4,5;
