Poziom wykształcenia;Województwo;Powiat;Nazwa;Rok;Liczba osób
wyższe;2;0;Województwo dolnośląskie;2011;431267
średnie;2;0;Województwo dolnośląskie;2011;841683
zasadnicze zawodowe;2;0;Województwo dolnośląskie;2011;549476
podstawowe;2;0;Województwo dolnośląskie;2011;531339
wyższe;2;1;Powiat bolesławiecki;2011;8686
średnie;2;1;Powiat bolesławiecki;2011;23046
zasadnicze zawodowe;2;1;Powiat bolesławiecki;2011;20754
podstawowe;2;1;Powiat bolesławiecki;2011;18852
wyższe;2;2;Powiat dzierżoniowski;2011;10208
średnie;2;2;Powiat dzierżoniowski;2011;28096
zasadnicze zawodowe;2;2;Powiat dzierżoniowski;2011;20680
podstawowe;2;2;Powiat dzierżoniowski;2011;23181
wyższe;2;3;Powiat głogowski;2011;12219
średnie;2;3;Powiat głogowski;2011;25638
zasadnicze zawodowe;2;3;Powiat głogowski;2011;19395
podstawowe;2;3;Powiat głogowski;2011;14999
wyższe;2;4;Powiat górowski;2011;2851
średnie;2;4;Powiat górowski;2011;8719
zasadnicze zawodowe;2;4;Powiat górowski;2011;8760
podstawowe;2;4;Powiat górowski;2011;9004
wyższe;2;5;Powiat jaworski;2011;5075
średnie;2;5;Powiat jaworski;2011;13949
zasadnicze zawodowe;2;5;Powiat jaworski;2011;11478
podstawowe;2;5;Powiat jaworski;2011;11541
wyższe;2;6;Powiat jeleniogórski;2011;7104
średnie;2;6;Powiat jeleniogórski;2011;18043
zasadnicze zawodowe;2;6;Powiat jeleniogórski;2011;14065
podstawowe;2;6;Powiat jeleniogórski;2011;12397
wyższe;2;7;Powiat kamiennogórski;2011;3866
średnie;2;7;Powiat kamiennogórski;2011;11112
zasadnicze zawodowe;2;7;Powiat kamiennogórski;2011;11575
podstawowe;2;7;Powiat kamiennogórski;2011;9894
wyższe;2;8;Powiat kłodzki;2011;16080
średnie;2;8;Powiat kłodzki;2011;49343
zasadnicze zawodowe;2;8;Powiat kłodzki;2011;32188
podstawowe;2;8;Powiat kłodzki;2011;36295
wyższe;2;9;Powiat legnicki;2011;5337
średnie;2;9;Powiat legnicki;2011;13633
zasadnicze zawodowe;2;9;Powiat legnicki;2011;11762
podstawowe;2;9;Powiat legnicki;2011;12696
wyższe;2;10;Powiat lubański;2011;5407
średnie;2;10;Powiat lubański;2011;15845
zasadnicze zawodowe;2;10;Powiat lubański;2011;12697
podstawowe;2;10;Powiat lubański;2011;11445
wyższe;2;11;Powiat lubiński;2011;15261
średnie;2;11;Powiat lubiński;2011;30433
zasadnicze zawodowe;2;11;Powiat lubiński;2011;22024
podstawowe;2;11;Powiat lubiński;2011;18533
wyższe;2;12;Powiat lwówecki;2011;4237
średnie;2;12;Powiat lwówecki;2011;12641
zasadnicze zawodowe;2;12;Powiat lwówecki;2011;11887
podstawowe;2;12;Powiat lwówecki;2011;10434
wyższe;2;13;Powiat milicki;2011;3152
średnie;2;13;Powiat milicki;2011;9042
zasadnicze zawodowe;2;13;Powiat milicki;2011;9659
podstawowe;2;13;Powiat milicki;2011;7669
wyższe;2;14;Powiat oleśnicki;2011;11297
średnie;2;14;Powiat oleśnicki;2011;30049
zasadnicze zawodowe;2;14;Powiat oleśnicki;2011;21843
podstawowe;2;14;Powiat oleśnicki;2011;21172
wyższe;2;15;Powiat oławski;2011;8997
średnie;2;15;Powiat oławski;2011;21310
zasadnicze zawodowe;2;15;Powiat oławski;2011;15506
podstawowe;2;15;Powiat oławski;2011;13355
wyższe;2;16;Powiat polkowicki;2011;5863
średnie;2;16;Powiat polkowicki;2011;15459
zasadnicze zawodowe;2;16;Powiat polkowicki;2011;15105
podstawowe;2;16;Powiat polkowicki;2011;13642
wyższe;2;17;Powiat strzeliński;2011;4206
średnie;2;17;Powiat strzeliński;2011;12776
zasadnicze zawodowe;2;17;Powiat strzeliński;2011;9431
podstawowe;2;17;Powiat strzeliński;2011;10081
wyższe;2;18;Powiat średzki;2011;5169
średnie;2;18;Powiat średzki;2011;12953
zasadnicze zawodowe;2;18;Powiat średzki;2011;11759
podstawowe;2;18;Powiat średzki;2011;11400
