"Kod";"Nazwa";"ogółem;wartość liczbowa;2020;[tys. osób]";"wyższe;wartość liczbowa;2020;[tys. osób]";"policealne oraz średnie zawodowe;wartość liczbowa;2020;[tys. osób]";"średnie ogólnokształcące;wartość liczbowa;2020;[tys. osób]";
0200000;"DOLNOŚLĄSKIE";937;321;253;75;
0264000;"Powiat m.Wrocław";317;198;62;27;
0400000;"KUJAWSKO-POMORSKIE";602;152;163;50;
0461000;"Powiat m.Bydgoszcz";176;79;44;18;
0463000;"Powiat m.Toruń";92;44;24;0;
0600000;"LUBELSKIE";705;223;209;62;
0663000;"Powiat m.Lublin";155;99;30;13;
0800000;"LUBUSKIE";304;79;84;32;
0861000;"Powiat m.Gorzów Wielkopolski";50;19;13;0;
0862000;"Powiat m.Zielona Góra";70;35;17;0;
1000000;"ŁÓDZKIE";844;240;278;72;
1061000;"Powiat m.Łódź";260;130;52;33;
1200000;"MAŁOPOLSKIE";1080;297;313;100;
1261000;"Powiat m.Kraków";381;243;68;34;
1400000;"MAZOWIECKIE";1611;545;434;150;
1465000;"Powiat m. st. Warszawa";917;658;133;65;
1600000;"OPOLSKIE";336;91;90;30;
1661000;"Powiat m.Opole";53;29;12;0;
1800000;"PODKARPACKIE";741;233;210;60;
1863000;"Powiat m.Rzeszów";95;57;18;10;
2000000;"PODLASKIE";355;95;109;28;
2061000;"Powiat m.Białystok";127;73;30;12;
2200000;"POMORSKIE";840;274;234;86;
2261000;"Powiat m.Gdańsk";184;117;32;15;
2400000;"ŚLĄSKIE";1692;596;492;147;
2469000;"Powiat m.Katowice";154;78;33;17;
2600000;"ŚWIĘTOKRZYSKIE";433;126;128;33;
2661000;"Powiat m.Kielce";91;55;20;0;
2800000;"WARMIŃSKO-MAZURSKIE";481;109;134;47;
2862000;"Powiat m.Olsztyn";84;48;19;0;
3000000;"WIELKOPOLSKIE";1348;368;390;111;
3064000;"Powiat m.Poznań";234;148;43;22;
3200000;"ZACHODNIOPOMORSKIE";504;142;142;56;
3262000;"Powiat m.Szczecin";192;91;48;23;
