"Kod";"Nazwa";"uczestnicy imprez;ogółem;2021;[osoba]";
0000000;"POLSKA";18256595;
0200000;"DOLNOŚLĄSKIE";2049161;
0201000;"Powiat bolesławiecki";75791;
0202000;"Powiat dzierżoniowski";48906;
0203000;"Powiat głogowski";87305;
0204000;"Powiat górowski";9091;
0205000;"Powiat jaworski";19505;
0206000;"Powiat karkonoski";73131;
0207000;"Powiat kamiennogórski";35784;
0208000;"Powiat kłodzki";137805;
0209000;"Powiat legnicki";24180;
0210000;"Powiat lubański";15478;
0211000;"Powiat lubiński";13016;
0212000;"Powiat lwówecki";14475;
0213000;"Powiat milicki";20315;
0214000;"Powiat oleśnicki";55041;
0215000;"Powiat oławski";21160;
0216000;"Powiat polkowicki";46069;
0217000;"Powiat strzeliński";18495;
0218000;"Powiat średzki";12620;
0219000;"Powiat świdnicki";128401;
0220000;"Powiat trzebnicki";77046;
0221000;"Powiat wałbrzyski";28051;
0222000;"Powiat wołowski";13420;
0223000;"Powiat wrocławski";45115;
0224000;"Powiat ząbkowicki";44404;
0225000;"Powiat zgorzelecki";30604;
0226000;"Powiat złotoryjski";9965;
0261000;"Powiat m.Jelenia Góra";37532;
0262000;"Powiat m.Legnica";32913;
0264000;"Powiat m.Wrocław";840094;
0265000;"Powiat m.Wałbrzych od 2013";33449;
0400000;"KUJAWSKO-POMORSKIE";600289;
0401000;"Powiat aleksandrowski";14784;
0402000;"Powiat brodnicki";23171;
0403000;"Powiat bydgoski";27127;
0404000;"Powiat chełmiński";17950;
0405000;"Powiat golubsko-dobrzyński";13015;
0406000;"Powiat grudziądzki";8245;
0407000;"Powiat inowrocławski";32664;
0408000;"Powiat lipnowski";11880;
0409000;"Powiat mogileński";14800;
0410000;"Powiat nakielski";24410;
0411000;"Powiat radziejowski";9068;
0412000;"Powiat rypiński";3945;
0413000;"Powiat sępoleński";16841;
0414000;"Powiat świecki";40335;
0415000;"Powiat toruński";26512;
0416000;"Powiat tucholski";14121;
0417000;"Powiat wąbrzeski";15507;
0418000;"Powiat włocławski";31029;
0419000;"Powiat żniński";26973;
0461000;"Powiat m.Bydgoszcz";65389;
0462000;"Powiat m.Grudziądz";26469;
0463000;"Powiat m.Toruń";100586;
0464000;"Powiat m.Włocławek";35468;
0600000;"LUBELSKIE";1428287;
0601000;"Powiat bialski";52911;
0602000;"Powiat biłgorajski";91123;
0603000;"Powiat chełmski";44291;
0604000;"Powiat hrubieszowski";26036;
0605000;"Powiat janowski";33292;
0606000;"Powiat krasnostawski";33801;
0607000;"Powiat kraśnicki";29928;
0608000;"Powiat lubartowski";16804;
0609000;"Powiat lubelski";37221;
0610000;"Powiat łęczyński";21767;
0611000;"Powiat łukowski";93060;
0612000;"Powiat opolski";30193;
0613000;"Powiat parczewski";47373;
0614000;"Powiat puławski";52256;
0615000;"Powiat radzyński";50665;
0616000;"Powiat rycki";12282;
0617000;"Powiat świdnicki";29474;
0618000;"Powiat tomaszowski";33255;
0619000;"Powiat włodawski";10190;
0620000;"Powiat zamojski";54368;
0661000;"Powiat m.Biała Podlaska";19920;
0662000;"Powiat m.Chełm";32265;
0663000;"Powiat m.Lublin";535517;
0664000;"Powiat m.Zamość";40295;
0800000;"LUBUSKIE";450875;
0801000;"Powiat gorzowski";21351;
0802000;"Powiat krośnieński";7075;
0803000;"Powiat międzyrzecki";22468;
0804000;"Powiat nowosolski";20634;
0805000;"Powiat słubicki";36195;
0806000;"Powiat strzelecko-drezdenecki";10850;
0807000;"Powiat sulęciński";12826;
0808000;"Powiat świebodziński";40323;
0809000;"Powiat zielonogórski";29421;
0810000;"Powiat żagański";76711;
0811000;"Powiat żarski";50294;
0812000;"Powiat wschowski";21748;
0861000;"Powiat m.Gorzów Wielkopolski";49271;
0862000;"Powiat m.Zielona Góra";51708;
1000000;"ŁÓDZKIE";678307;
1001000;"Powiat bełchatowski";57548;
1002000;"Powiat kutnowski";45125;
1003000;"Powiat łaski";8804;
1004000;"Powiat łęczycki";6860;
1005000;"Powiat łowicki";16332;
1006000;"Powiat łódzki wschodni";11123;
1007000;"Powiat opoczyński";14149;
1008000;"Powiat pabianicki";43020;
1009000;"Powiat pajęczański";11981;
1010000;"Powiat piotrkowski";18005;
1011000;"Powiat poddębicki";3520;
1012000;"Powiat radomszczański";26243;
1013000;"Powiat rawski";15863;
1014000;"Powiat sieradzki";38796;
1015000;"Powiat skierniewicki";8106;
1016000;"Powiat tomaszowski";33031;
1017000;"Powiat wieluński";17354;
1018000;"Powiat wieruszowski";14109;
1019000;"Powiat zduńskowolski";30324;
1020000;"Powiat zgierski";51914;
1021000;"Powiat brzeziński";2133;
1061000;"Powiat m.Łódź";108485;
1062000;"Powiat m.Piotrków Trybunalski";66900;
1063000;"Powiat m.Skierniewice";28582;
1200000;"MAŁOPOLSKIE";1715749;
1201000;"Powiat bocheński";30339;
1202000;"Powiat brzeski";59228;
1203000;"Powiat chrzanowski";52251;
1204000;"Powiat dąbrowski";11606;
1205000;"Powiat gorlicki";58791;
1206000;"Powiat krakowski";49189;
1207000;"Powiat limanowski";16551;
1208000;"Powiat miechowski";7050;
1209000;"Powiat myślenicki";49566;
1210000;"Powiat nowosądecki";179578;
1211000;"Powiat nowotarski";63056;
1212000;"Powiat olkuski";83897;
1213000;"Powiat oświęcimski";92827;
1214000;"Powiat proszowicki";5711;
1215000;"Powiat suski";77859;
1216000;"Powiat tarnowski";72412;
1217000;"Powiat tatrzański";22992;
1218000;"Powiat wadowicki";68638;
1219000;"Powiat wielicki";21842;
1261000;"Powiat m.Kraków";489062;
1262000;"Powiat m.Nowy Sącz";154269;
1263000;"Powiat m.Tarnów";49035;
1400000;"MAZOWIECKIE";2672058;
1401000;"Powiat białobrzeski";2250;
1402000;"Powiat ciechanowski";48925;
1403000;"Powiat garwoliński";38732;
1404000;"Powiat gostyniński";19850;
1405000;"Powiat grodziski";61312;
1406000;"Powiat grójecki";22566;
1407000;"Powiat kozienicki";12939;
1408000;"Powiat legionowski";41994;
1409000;"Powiat lipski";5952;
1410000;"Powiat łosicki";16492;
1411000;"Powiat makowski";19715;
1412000;"Powiat miński";53981;
1413000;"Powiat mławski";7127;
1414000;"Powiat nowodworski";10234;
1415000;"Powiat ostrołęcki";39973;
1416000;"Powiat ostrowski";27570;
1417000;"Powiat otwocki";47770;
1418000;"Powiat piaseczyński";107467;
1419000;"Powiat płocki";20601;
1420000;"Powiat płoński";14412;
1421000;"Powiat pruszkowski";27108;
1422000;"Powiat przasnyski";10808;
1423000;"Powiat przysuski";4769;
1424000;"Powiat pułtuski";16474;
1425000;"Powiat radomski";25305;
1426000;"Powiat siedlecki";33131;
1427000;"Powiat sierpecki";18578;
1428000;"Powiat sochaczewski";22955;
1429000;"Powiat sokołowski";16652;
1430000;"Powiat szydłowiecki";6680;
1432000;"Powiat warszawski zachodni";72108;
1433000;"Powiat węgrowski";17284;
1434000;"Powiat wołomiński";76854;
1435000;"Powiat wyszkowski";22220;
1436000;"Powiat zwoleński";9280;
1437000;"Powiat żuromiński";3352;
1438000;"Powiat żyrardowski";11455;
1461000;"Powiat m.Ostrołęka";12508;
1462000;"Powiat m.Płock";26195;
1463000;"Powiat m.Radom";42620;
1464000;"Powiat m.Siedlce";90187;
1465000;"Powiat m. st. Warszawa";1485673;
1600000;"OPOLSKIE";263808;
1601000;"Powiat brzeski";19603;
1602000;"Powiat głubczycki";20074;
1603000;"Powiat kędzierzyńsko-kozielski";15698;
1604000;"Powiat kluczborski";12385;
1605000;"Powiat krapkowicki";16731;
1606000;"Powiat namysłowski";28183;
1607000;"Powiat nyski";22393;
1608000;"Powiat oleski";21030;
1609000;"Powiat opolski";24844;
1610000;"Powiat prudnicki";49544;
1611000;"Powiat strzelecki";27923;
1661000;"Powiat m.Opole";5400;
1800000;"PODKARPACKIE";980927;
1801000;"Powiat bieszczadzki";10680;
1802000;"Powiat brzozowski";8545;
1803000;"Powiat dębicki";45861;
1804000;"Powiat jarosławski";48522;
1805000;"Powiat jasielski";17886;
1806000;"Powiat kolbuszowski";22803;
