"Kod";"Nazwa";"ogółem;2021;[zł]";
0201000;"Powiat bolesławiecki";2660188,54;
0202000;"Powiat dzierżoniowski";2010026,66;
0203000;"Powiat głogowski";2448464,45;
0204000;"Powiat górowski";2546645,66;
0205000;"Powiat jaworski";1781085,00;
0206000;"Powiat karkonoski";3288034,60;
0207000;"Powiat kamiennogórski";1004271,00;
0208000;"Powiat kłodzki";5628608,45;
0209000;"Powiat legnicki";4234332,40;
0210000;"Powiat lubański";3431201,66;
0211000;"Powiat lubiński";1774635,14;
0212000;"Powiat lwówecki";2560199,26;
0213000;"Powiat milicki";815051,60;
0214000;"Powiat oleśnicki";3342587,71;
0215000;"Powiat oławski";2350410,74;
0216000;"Powiat polkowicki";1888868,00;
0217000;"Powiat strzeliński";2191017,56;
0218000;"Powiat średzki";3661144,62;
0219000;"Powiat świdnicki";5506477,75;
0220000;"Powiat trzebnicki";2307579,22;
0221000;"Powiat wałbrzyski";3876638,84;
0222000;"Powiat wołowski";3001525,39;
0223000;"Powiat wrocławski";10441072,60;
0224000;"Powiat ząbkowicki";2004344,87;
0225000;"Powiat zgorzelecki";1922953,73;
0226000;"Powiat złotoryjski";2969126,62;
0401000;"Powiat aleksandrowski";6391637,80;
0402000;"Powiat brodnicki";2217293,56;
0403000;"Powiat bydgoski";29571,80;
0404000;"Powiat chełmiński";2441214,45;
0405000;"Powiat golubsko-dobrzyński";1949644,00;
0406000;"Powiat grudziądzki";36488,20;
0407000;"Powiat inowrocławski";7470109,91;
0408000;"Powiat lipnowski";8340096,14;
0409000;"Powiat mogileński";1609206,46;
0410000;"Powiat nakielski";2971353,69;
0411000;"Powiat radziejowski";3836656,17;
0412000;"Powiat rypiński";1582578,98;
0413000;"Powiat sępoleński";2294596,40;
0414000;"Powiat świecki";2667807,28;
0415000;"Powiat toruński";3215696,47;
0416000;"Powiat tucholski";1744264,71;
0417000;"Powiat wąbrzeski";1550677,55;
0418000;"Powiat włocławski";16452985,49;
0419000;"Powiat żniński";3360571,00;
0601000;"Powiat bialski";7455213,52;
0602000;"Powiat biłgorajski";2498583,96;
0603000;"Powiat chełmski";6018886,67;
0604000;"Powiat hrubieszowski";5549191,58;
0605000;"Powiat janowski";7304320,25;
0606000;"Powiat krasnostawski";6358826,84;
0607000;"Powiat kraśnicki";6635089,68;
0608000;"Powiat lubartowski";3668055,94;
0609000;"Powiat lubelski";5023678,96;
0610000;"Powiat łęczyński";2645306,97;
0611000;"Powiat łukowski";14584831,66;
0612000;"Powiat opolski";4235456,10;
0613000;"Powiat parczewski";1343439,60;
0614000;"Powiat puławski";3107082,40;
0615000;"Powiat radzyński";2330692,64;
0616000;"Powiat rycki";2732905,75;
0617000;"Powiat świdnicki";3421963,82;
0618000;"Powiat tomaszowski";3967687,41;
0619000;"Powiat włodawski";3694893,63;
0620000;"Powiat zamojski";1868347,40;
0801000;"Powiat gorzowski";3393052,41;
0802000;"Powiat krośnieński";2538539,62;
0803000;"Powiat międzyrzecki";3054745,99;
0804000;"Powiat nowosolski";3999241,50;
0805000;"Powiat słubicki";1197793,50;
0806000;"Powiat strzelecko-drezdenecki";2039908,83;
0807000;"Powiat sulęciński";1867879,76;
0808000;"Powiat świebodziński";1792018,72;
0809000;"Powiat zielonogórski";5132560,71;
0810000;"Powiat żagański";3541334,15;
0811000;"Powiat żarski";4672138,71;
0812000;"Powiat wschowski";1671773,62;
1001000;"Powiat bełchatowski";2678162,17;
1002000;"Powiat kutnowski";3078111,67;
1003000;"Powiat łaski";1329792,76;
1004000;"Powiat łęczycki";1276403,74;
1005000;"Powiat łowicki";3040850,13;
1006000;"Powiat łódzki wschodni";1701704,44;
1007000;"Powiat opoczyński";2050887,09;
1008000;"Powiat pabianicki";3028478,41;
1009000;"Powiat pajęczański";1973700,21;
1010000;"Powiat piotrkowski";8690531,78;
1011000;"Powiat poddębicki";1628051,37;
1012000;"Powiat radomszczański";2394431,16;
1013000;"Powiat rawski";4638919,68;
1014000;"Powiat sieradzki";2725401,17;
1015000;"Powiat skierniewicki";34788,15;
1016000;"Powiat tomaszowski";8254196,55;
