"Kod";"Nazwa";"ogółem;2021;[zł]";
0201000;"Powiat bolesławiecki";50536291,37;
0202000;"Powiat dzierżoniowski";43683370,01;
0203000;"Powiat głogowski";75252435,52;
0204000;"Powiat górowski";16408480,30;
0205000;"Powiat jaworski";19217479,19;
0206000;"Powiat karkonoski";12379973,07;
0207000;"Powiat kamiennogórski";18813632,21;
0208000;"Powiat kłodzki";68603568,54;
0209000;"Powiat legnicki";9994393,59;
0210000;"Powiat lubański";26345380,31;
0211000;"Powiat lubiński";57173589,19;
0212000;"Powiat lwówecki";23875953,88;
0213000;"Powiat milicki";15153314,99;
0214000;"Powiat oleśnicki";52454164,73;
0215000;"Powiat oławski";37123690,28;
0216000;"Powiat polkowicki";16083317,90;
0217000;"Powiat strzeliński";24335556,19;
0218000;"Powiat średzki";13992879,43;
0219000;"Powiat świdnicki";83350667,22;
0220000;"Powiat trzebnicki";30590662,20;
0221000;"Powiat wałbrzyski";10191122,95;
0222000;"Powiat wołowski";29300614,75;
0223000;"Powiat wrocławski";20882461,10;
0224000;"Powiat ząbkowicki";26990047,67;
0225000;"Powiat zgorzelecki";36555369,34;
0226000;"Powiat złotoryjski";12612301,73;
0401000;"Powiat aleksandrowski";24533135,22;
0402000;"Powiat brodnicki";35606599,22;
0403000;"Powiat bydgoski";26274309,29;
0404000;"Powiat chełmiński";27320827,75;
0405000;"Powiat golubsko-dobrzyński";23453642,42;
0406000;"Powiat grudziądzki";4122050,17;
0407000;"Powiat inowrocławski";81534389,57;
0408000;"Powiat lipnowski";27338525,78;
0409000;"Powiat mogileński";22245766,67;
0410000;"Powiat nakielski";39609268,73;
0411000;"Powiat radziejowski";24748339,67;
0412000;"Powiat rypiński";34267347,06;
0413000;"Powiat sępoleński";16456880,46;
0414000;"Powiat świecki";47736273,63;
0415000;"Powiat toruński";26836006,37;
0416000;"Powiat tucholski";24418078,05;
0417000;"Powiat wąbrzeski";10768900,83;
0418000;"Powiat włocławski";15933937,70;
0419000;"Powiat żniński";29965017,72;
0601000;"Powiat bialski";31239244,25;
0602000;"Powiat biłgorajski";51304431,83;
0603000;"Powiat chełmski";7024927,94;
0604000;"Powiat hrubieszowski";25315926,18;
0605000;"Powiat janowski";20061627,57;
0606000;"Powiat krasnostawski";26272509,29;
0607000;"Powiat kraśnicki";44308562,21;
0608000;"Powiat lubartowski";26658798,35;
0609000;"Powiat lubelski";41854631,14;
0610000;"Powiat łęczyński";20258075,92;
0611000;"Powiat łukowski";54102400,12;
0612000;"Powiat opolski";17323195,25;
0613000;"Powiat parczewski";9348906,79;
0614000;"Powiat puławski";60757602,04;
0615000;"Powiat radzyński";27160351,36;
0616000;"Powiat rycki";30419776,56;
0617000;"Powiat świdnicki";24995300,05;
0618000;"Powiat tomaszowski";31647065,95;
0619000;"Powiat włodawski";17018588,62;
0620000;"Powiat zamojski";6350138,05;
0801000;"Powiat gorzowski";9990730,73;
0802000;"Powiat krośnieński";20491583,25;
0803000;"Powiat międzyrzecki";21504959,79;
0804000;"Powiat nowosolski";38749016,86;
0805000;"Powiat słubicki";13191414,72;
0806000;"Powiat strzelecko-drezdenecki";18855976,82;
0807000;"Powiat sulęciński";12445968,51;
0808000;"Powiat świebodziński";22455754,36;
0809000;"Powiat zielonogórski";21753750,46;
0810000;"Powiat żagański";32502267,90;
0811000;"Powiat żarski";53687551,98;
0812000;"Powiat wschowski";18984536,56;
1001000;"Powiat bełchatowski";47543767,44;
1002000;"Powiat kutnowski";52807948,65;
1003000;"Powiat łaski";16310400,69;
1004000;"Powiat łęczycki";31586388,77;
1005000;"Powiat łowicki";45908270,14;
1006000;"Powiat łódzki wschodni";13745210,96;
1007000;"Powiat opoczyński";27847974,40;
1008000;"Powiat pabianicki";38981159,13;
1009000;"Powiat pajęczański";14217428,58;
1010000;"Powiat piotrkowski";17175197,18;
1011000;"Powiat poddębicki";13208263,70;
1012000;"Powiat radomszczański";50281004,71;
1013000;"Powiat rawski";33170795,85;
1014000;"Powiat sieradzki";52827436,68;
1015000;"Powiat skierniewicki";4751239,32;
1016000;"Powiat tomaszowski";59696640,09;
1017000;"Powiat wieluński";54657283,56;
1018000;"Powiat wieruszowski";13227048,79;
1019000;"Powiat zduńskowolski";47285412,22;
1020000;"Powiat zgierski";79813007,16;
1021000;"Powiat brzeziński";10018812,60;
1201000;"Powiat bocheński";55910679,99;
1202000;"Powiat brzeski";36542335,84;
1203000;"Powiat chrzanowski";50061131,83;
1204000;"Powiat dąbrowski";20875528,50;
1205000;"Powiat gorlicki";60501389,17;
1206000;"Powiat krakowski";50942570,38;
1207000;"Powiat limanowski";60841293,85;
1208000;"Powiat miechowski";23459080,67;
1209000;"Powiat myślenicki";48840882,48;
1210000;"Powiat nowosądecki";44973300,38;
1211000;"Powiat nowotarski";80790577,53;
