"Kod";"Nazwa";"rok;2021;[%]";
0201000;"Powiat bolesławiecki";47,55;
0202000;"Powiat dzierżoniowski";78,60;
0203000;"Powiat głogowski";74,30;
0204000;"Powiat górowski";40,96;
0205000;"Powiat jaworski";54,86;
0206000;"Powiat karkonoski";43,63;
0207000;"Powiat kamiennogórski";57,02;
0208000;"Powiat kłodzki";63,43;
0209000;"Powiat legnicki";29,95;
0210000;"Powiat lubański";62,05;
0211000;"Powiat lubiński";72,47;
0212000;"Powiat lwówecki";49,69;
0213000;"Powiat milicki";30,32;
0214000;"Powiat oleśnicki";56,52;
0215000;"Powiat oławski";63,22;
0216000;"Powiat polkowicki";57,26;
0217000;"Powiat strzeliński";33,76;
0218000;"Powiat średzki";17,12;
0219000;"Powiat świdnicki";68,01;
0220000;"Powiat trzebnicki";36,32;
0221000;"Powiat wałbrzyski";64,48;
0222000;"Powiat wołowski";53,12;
0223000;"Powiat wrocławski";14,50;
0224000;"Powiat ząbkowicki";51,38;
0225000;"Powiat zgorzelecki";66,99;
0226000;"Powiat złotoryjski";48,83;
0261000;"Powiat m.Jelenia Góra";100,00;
0262000;"Powiat m.Legnica";100,00;
0264000;"Powiat m.Wrocław";100,00;
0265000;"Powiat m.Wałbrzych od 2013";100,00;
0401000;"Powiat aleksandrowski";44,31;
0402000;"Powiat brodnicki";42,67;
0403000;"Powiat bydgoski";21,71;
0404000;"Powiat chełmiński";36,91;
0405000;"Powiat golubsko-dobrzyński";36,55;
0406000;"Powiat grudziądzki";12,23;
0407000;"Powiat inowrocławski";64,40;
0408000;"Powiat lipnowski";30,27;
0409000;"Powiat mogileński";37,61;
0410000;"Powiat nakielski";42,13;
0411000;"Powiat radziejowski";24,71;
0412000;"Powiat rypiński";36,81;
0413000;"Powiat sępoleński";42,21;
0414000;"Powiat świecki";31,48;
0415000;"Powiat toruński";12,81;
0416000;"Powiat tucholski";27,98;
0417000;"Powiat wąbrzeski";39,23;
0418000;"Powiat włocławski";19,97;
0419000;"Powiat żniński";41,59;
0461000;"Powiat m.Bydgoszcz";100,00;
0462000;"Powiat m.Grudziądz";100,00;
0463000;"Powiat m.Toruń";100,00;
0464000;"Powiat m.Włocławek";100,00;
0601000;"Powiat bialski";20,04;
0602000;"Powiat biłgorajski";34,15;
0603000;"Powiat chełmski";9,94;
0604000;"Powiat hrubieszowski";27,69;
0605000;"Powiat janowski";29,03;
0606000;"Powiat krasnostawski";29,50;
0607000;"Powiat kraśnicki";40,08;
0608000;"Powiat lubartowski";32,50;
0609000;"Powiat lubelski";7,03;
0610000;"Powiat łęczyński";32,31;
0611000;"Powiat łukowski";29,96;
0612000;"Powiat opolski";30,98;
0613000;"Powiat parczewski";30,75;
0614000;"Powiat puławski";47,25;
0615000;"Powiat radzyński";26,37;
0616000;"Powiat rycki";45,58;
0617000;"Powiat świdnicki";57,47;
0618000;"Powiat tomaszowski";30,76;
0619000;"Powiat włodawski";33,99;
0620000;"Powiat zamojski";10,57;
0661000;"Powiat m.Biała Podlaska";100,00;
0662000;"Powiat m.Chełm";100,00;
0663000;"Powiat m.Lublin";100,00;
0664000;"Powiat m.Zamość";100,00;
0801000;"Powiat gorzowski";33,39;
0802000;"Powiat krośnieński";50,56;
0803000;"Powiat międzyrzecki";51,48;
0804000;"Powiat nowosolski";65,24;
0805000;"Powiat słubicki";63,33;
0806000;"Powiat strzelecko-drezdenecki";46,86;
0807000;"Powiat sulęciński";41,63;
0808000;"Powiat świebodziński";47,67;
0809000;"Powiat zielonogórski";43,60;
0810000;"Powiat żagański";60,11;
0811000;"Powiat żarski";59,92;
0812000;"Powiat wschowski";49,61;
0861000;"Powiat m.Gorzów Wielkopolski";100,00;
0862000;"Powiat m.Zielona Góra";100,00;
1001000;"Powiat bełchatowski";56,30;
1002000;"Powiat kutnowski";58,05;
1003000;"Powiat łaski";33,69;
1004000;"Powiat łęczycki";31,28;
1005000;"Powiat łowicki";35,71;
1006000;"Powiat łódzki wschodni";31,92;
1007000;"Powiat opoczyński";32,31;
1008000;"Powiat pabianicki";68,76;
1009000;"Powiat pajęczański";24,10;
1010000;"Powiat piotrkowski";9,22;
1011000;"Powiat poddębicki";24,89;
1012000;"Powiat radomszczański";45,92;
1013000;"Powiat rawski";41,84;
1014000;"Powiat sieradzki";42,53;
1016000;"Powiat tomaszowski";52,81;
1017000;"Powiat wieluński";28,77;
1018000;"Powiat wieruszowski";25,56;
1019000;"Powiat zduńskowolski";64,99;
1020000;"Powiat zgierski";68,26;
1021000;"Powiat brzeziński";40,33;
1061000;"Powiat m.Łódź";100,00;
1062000;"Powiat m.Piotrków Trybunalski";100,00;
1063000;"Powiat m.Skierniewice";100,00;
1201000;"Powiat bocheński";30,02;
1202000;"Powiat brzeski";20,44;
1203000;"Powiat chrzanowski";61,09;
1204000;"Powiat dąbrowski";27,15;
1205000;"Powiat gorlicki";31,64;
1206000;"Powiat krakowski";15,76;
1207000;"Powiat limanowski";17,30;
1208000;"Powiat miechowski";23,65;
1209000;"Powiat myślenicki";24,40;
1210000;"Powiat nowosądecki";16,41;
1211000;"Powiat nowotarski";26,80;
1212000;"Powiat olkuski";47,98;
1213000;"Powiat oświęcimski";51,91;
1214000;"Powiat proszowicki";19,42;
1215000;"Powiat suski";23,85;
1216000;"Powiat tarnowski";11,70;
1217000;"Powiat tatrzański";39,19;
1218000;"Powiat wadowicki";26,41;
1219000;"Powiat wielicki";29,55;
1261000;"Powiat m.Kraków";100,00;
1262000;"Powiat m.Nowy Sącz";100,00;
1263000;"Powiat m.Tarnów";100,00;
1401000;"Powiat białobrzeski";23,09;
1402000;"Powiat ciechanowski";52,71;
1403000;"Powiat garwoliński";28,47;
1404000;"Powiat gostyniński";45,42;
1405000;"Powiat grodziski";53,70;
1406000;"Powiat grójecki";35,26;
1407000;"Powiat kozienicki";28,10;
1408000;"Powiat legionowski";47,68;
1409000;"Powiat lipski";19,03;
1410000;"Powiat łosicki";23,07;
1411000;"Powiat makowski";27,69;
1412000;"Powiat miński";45,65;
1413000;"Powiat mławski";43,33;
1414000;"Powiat nowodworski";49,73;
1415000;"Powiat ostrołęcki";3,81;
1416000;"Powiat ostrowski";33,58;
1417000;"Powiat otwocki";60,05;
1418000;"Powiat piaseczyński";42,19;
1419000;"Powiat płocki";8,52;
1420000;"Powiat płoński";33,69;
1421000;"Powiat pruszkowski";58,96;
1422000;"Powiat przasnyski";38,66;
1423000;"Powiat przysuski";13,92;
1424000;"Powiat pułtuski";37,29;
1425000;"Powiat radomski";17,42;
1426000;"Powiat siedlecki";2,08;
1427000;"Powiat sierpecki";34,58;
1428000;"Powiat sochaczewski";41,98;
1429000;"Powiat sokołowski";39,55;
1430000;"Powiat szydłowiecki";29,12;
1432000;"Powiat warszawski zachodni";34,53;
1433000;"Powiat węgrowski";29,52;
1434000;"Powiat wołomiński";70,03;
1435000;"Powiat wyszkowski";36,24;
1436000;"Powiat zwoleński";21,28;
1437000;"Powiat żuromiński";32,08;
1438000;"Powiat żyrardowski";62,38;
1461000;"Powiat m.Ostrołęka";100,00;
1462000;"Powiat m.Płock";100,00;
1463000;"Powiat m.Radom";100,00;
1464000;"Powiat m.Siedlce";100,00;
1465000;"Powiat m. st. Warszawa";100,00;
1601000;"Powiat brzeski";55,12;
1602000;"Powiat głubczycki";46,88;
1603000;"Powiat kędzierzyńsko-kozielski";64,29;
1604000;"Powiat kluczborski";49,99;
1605000;"Powiat krapkowicki";53,65;
1606000;"Powiat namysłowski";39,20;
1607000;"Powiat nyski";53,44;
1608000;"Powiat oleski";35,96;
1609000;"Powiat opolski";17,08;
1610000;"Powiat prudnicki";52,06;
1611000;"Powiat strzelecki";43,50;
1661000;"Powiat m.Opole";100,00;
1801000;"Powiat bieszczadzki";41,04;
1802000;"Powiat brzozowski";11,29;
1803000;"Powiat dębicki";39,01;
1804000;"Powiat jarosławski";38,22;
1805000;"Powiat jasielski";31,67;
1806000;"Powiat kolbuszowski";14,32;
1807000;"Powiat krośnieński";11,72;
1808000;"Powiat leżajski";27,86;
1809000;"Powiat lubaczowski";34,19;
1810000;"Powiat łańcucki";21,72;
1811000;"Powiat mielecki";47,53;
1812000;"Powiat niżański";35,12;
1813000;"Powiat przemyski";1,17;
1814000;"Powiat przeworski";25,99;
1815000;"Powiat ropczycko-sędziszowski";38,01;
1816000;"Powiat rzeszowski";19,15;
1817000;"Powiat sanocki";44,63;
1818000;"Powiat stalowowolski";58,96;
1819000;"Powiat strzyżowski";14,32;
1820000;"Powiat tarnobrzeski";23,54;
1821000;"Powiat leski";20,49;
1861000;"Powiat m.Krosno";100,00;
1862000;"Powiat m.Przemyśl";100,00;
1863000;"Powiat m.Rzeszów";100,00;
1864000;"Powiat m.Tarnobrzeg";100,00;
2001000;"Powiat augustowski";56,02;
2002000;"Powiat białostocki";36,29;
2003000;"Powiat bielski";53,68;
2004000;"Powiat grajewski";56,93;
2005000;"Powiat hajnowski";51,25;
2006000;"Powiat kolneński";32,43;
2007000;"Powiat łomżyński";7,38;
2008000;"Powiat moniecki";36,21;
2009000;"Powiat sejneński";26,15;
2010000;"Powiat siemiatycki";37,10;
2011000;"Powiat sokólski";42,31;
2013000;"Powiat wysokomazowiecki";33,21;
2014000;"Powiat zambrowski";50,69;
2061000;"Powiat m.Białystok";100,00;
2062000;"Powiat m.Łomża";100,00;
2063000;"Powiat m.Suwałki";100,00;
2201000;"Powiat bytowski";34,01;
2202000;"Powiat chojnicki";55,84;
2203000;"Powiat człuchowski";43,48;
2204000;"Powiat gdański";26,10;
2205000;"Powiat kartuski";14,44;
2206000;"Powiat kościerski";32,37;
2207000;"Powiat kwidzyński";56,36;
2208000;"Powiat lęborski";58,20;
2209000;"Powiat malborski";66,81;
2210000;"Powiat nowodworski";31,41;
2211000;"Powiat pucki";30,06;
2212000;"Powiat słupski";18,69;
2213000;"Powiat starogardzki";46,95;
2214000;"Powiat tczewski";63,72;
2215000;"Powiat wejherowski";56,78;
2216000;"Powiat sztumski";36,68;
2261000;"Powiat m.Gdańsk";100,00;
2262000;"Powiat m.Gdynia";100,00;
2263000;"Powiat m.Słupsk";100,00;
2264000;"Powiat m.Sopot";100,00;
2401000;"Powiat będziński";73,41;
2402000;"Powiat bielski";26,72;
2403000;"Powiat cieszyński";44,10;
2404000;"Powiat częstochowski";11,35;
2405000;"Powiat gliwicki";53,27;
2406000;"Powiat kłobucki";20,26;
2407000;"Powiat lubliniecki";36,50;
2408000;"Powiat mikołowski";84,95;
2409000;"Powiat myszkowski";54,04;
2410000;"Powiat pszczyński";22,85;
2411000;"Powiat raciborski";57,19;
2412000;"Powiat rybnicki";35,48;
2413000;"Powiat tarnogórski";67,05;
2414000;"Powiat bieruńsko-lędziński";75,70;
2415000;"Powiat wodzisławski";63,89;
2416000;"Powiat zawierciański";63,03;
2417000;"Powiat żywiecki";20,03;
2461000;"Powiat m.Bielsko-Biała";100,00;
2462000;"Powiat m.Bytom";100,00;
2463000;"Powiat m.Chorzów";100,00;
2464000;"Powiat m.Częstochowa";100,00;
2465000;"Powiat m.Dąbrowa Górnicza";100,00;
2466000;"Powiat m.Gliwice";100,00;
2467000;"Powiat m.Jastrzębie-Zdrój";100,00;
2468000;"Powiat m.Jaworzno";100,00;
2469000;"Powiat m.Katowice";100,00;
2470000;"Powiat m.Mysłowice";100,00;
2471000;"Powiat m.Piekary Śląskie";100,00;
2472000;"Powiat m.Ruda Śląska";100,00;
2473000;"Powiat m.Rybnik";100,00;
2474000;"Powiat m.Siemianowice Śląskie";100,00;
2475000;"Powiat m.Sosnowiec";100,00;
2476000;"Powiat m.Świętochłowice";100,00;
2477000;"Powiat m.Tychy";100,00;
2478000;"Powiat m.Zabrze";100,00;
2479000;"Powiat m.Żory";100,00;
2601000;"Powiat buski";27,40;
2602000;"Powiat jędrzejowski";30,41;
2603000;"Powiat kazimierski";21,02;
2604000;"Powiat kielecki";8,86;
2605000;"Powiat konecki";34,75;
2606000;"Powiat opatowski";20,99;
2607000;"Powiat ostrowiecki";67,85;
2608000;"Powiat pińczowski";29,59;
2609000;"Powiat sandomierski";37,94;
2610000;"Powiat skarżyski";71,62;
2611000;"Powiat starachowicki";56,67;
2612000;"Powiat staszowski";38,21;
2613000;"Powiat włoszczowski";21,86;
2661000;"Powiat m.Kielce";100,00;
2801000;"Powiat bartoszycki";54,74;
2802000;"Powiat braniewski";54,05;
