"Kod";"Nazwa";"w wieku przedprodukcyjnym;2021;[%]";"w wieku produkcyjnym;2021;[%]";"w wieku poprodukcyjnym;2021;[%]";
0000000;"POLSKA";18,2;59,2;22,6;
0200000;"DOLNOŚLĄSKIE";17,4;58,7;23,9;
0201000;"Powiat bolesławiecki";17,6;59,8;22,6;
0201011;"Bolesławiec (1)";15,8;56,3;27,9;
0201022;"Bolesławiec (2)";19,4;63,0;17,5;
0201032;"Gromadka (2)";16,7;61,8;21,5;
0201043;"Nowogrodziec (3)";19,0;62,3;18,7;
0201044;"Nowogrodziec - miasto (4)";17,7;60,3;21,9;
0201045;"Nowogrodziec - obszar wiejski (5)";19,6;63,0;17,4;
0201052;"Osiecznica (2)";19,9;62,4;17,7;
0201062;"Warta Bolesławiecka (2)";18,6;62,0;19,4;
0202000;"Powiat dzierżoniowski";15,5;58,2;26,4;
0202011;"Bielawa (1)";14,6;57,7;27,7;
0202021;"Dzierżoniów (1)";14,7;56,1;29,2;
0202033;"Pieszyce (3)";16,3;60,3;23,4;
0202034;"Pieszyce - miasto (4)";16,8;60,2;23,0;
0202035;"Pieszyce - obszar wiejski (5)";14,7;60,6;24,7;
0202041;"Piława Górna (1)";16,6;60,2;23,2;
0202052;"Dzierżoniów (2)";17,4;60,5;22,2;
0202062;"Łagiewniki (2)";18,0;60,2;21,8;
0202073;"Niemcza (3)";15,0;60,2;24,8;
0202074;"Niemcza - miasto (4)";14,2;58,5;27,3;
0202075;"Niemcza - obszar wiejski (5)";16,0;62,1;21,9;
0203000;"Powiat głogowski";18,1;57,9;24,0;
0203011;"Głogów (1)";17,2;56,5;26,4;
0203022;"Głogów (2)";20,3;61,9;17,8;
0203032;"Jerzmanowa (2)";22,9;63,2;13,9;
0203042;"Kotla (2)";19,9;62,0;18,2;
0203052;"Pęcław (2)";19,6;61,0;19,4;
0203062;"Żukowice (2)";19,4;62,0;18,6;
0204000;"Powiat górowski";17,6;60,2;22,2;
0204013;"Góra (3)";17,0;59,9;23,1;
0204014;"Góra - miasto (4)";15,4;59,3;25,4;
0204015;"Góra - obszar wiejski (5)";19,2;60,9;19,9;
0204022;"Jemielno (2)";18,8;60,9;20,4;
0204032;"Niechlów (2)";17,5;61,6;20,8;
0204043;"Wąsosz (3)";18,8;59,8;21,5;
0204044;"Wąsosz - miasto (4)";19,0;58,5;22,4;
0204045;"Wąsosz - obszar wiejski (5)";18,6;60,5;20,9;
0205000;"Powiat jaworski";16,6;59,2;24,2;
0205011;"Jawor (1)";15,2;58,2;26,6;
0205023;"Bolków (3)";16,7;58,5;24,7;
0205024;"Bolków - miasto (4)";14,4;58,0;27,6;
0205025;"Bolków - obszar wiejski (5)";18,8;59,0;22,1;
0205032;"Męcinka (2)";19,6;60,2;20,2;
0205042;"Mściwojów (2)";18,6;60,1;21,3;
0205052;"Paszowice (2)";17,5;62,1;20,3;
0205062;"Wądroże Wielkie (2)";17,8;61,2;21,0;
0206000;"Powiat karkonoski";15,6;59,7;24,7;
0206011;"Karpacz (1)";13,6;59,4;27,0;
0206021;"Kowary (1)";15,0;57,6;27,4;
0206031;"Piechowice (1)";14,0;58,4;27,6;
0206041;"Szklarska Poręba (1)";13,8;58,9;27,3;
0206052;"Janowice Wielkie (2)";16,7;60,3;23,0;
0206062;"Jeżów Sudecki (2)";18,3;61,4;20,3;
0206072;"Mysłakowice (2)";16,8;60,9;22,3;
0206082;"Podgórzyn (2)";15,6;59,2;25,2;
0206092;"Stara Kamienica (2)";15,6;62,3;22,1;
0207000;"Powiat kamiennogórski";15,6;59,6;24,8;
0207011;"Kamienna Góra (1)";14,6;57,7;27,7;
0207022;"Kamienna Góra (2)";17,9;62,3;19,8;
0207033;"Lubawka (3)";14,9;60,1;25,1;
0207034;"Lubawka - miasto (4)";14,7;59,1;26,3;
0207035;"Lubawka - obszar wiejski (5)";15,1;61,3;23,6;
0207042;"Marciszów (2)";16,8;60,3;22,9;
0208000;"Powiat kłodzki";15,2;58,4;26,4;
0208011;"Duszniki-Zdrój (1)";13,4;56,8;29,8;
0208021;"Kłodzko (1)";14,5;57,3;28,2;
0208031;"Kudowa-Zdrój (1)";14,8;57,8;27,4;
0208041;"Nowa Ruda (1)";14,0;57,3;28,6;
0208051;"Polanica-Zdrój (1)";12,6;55,1;32,3;
0208063;"Bystrzyca Kłodzka (3)";15,3;57,5;27,2;
0208064;"Bystrzyca Kłodzka - miasto (4)";15,3;55,6;29,2;
0208065;"Bystrzyca Kłodzka - obszar wiejski (5)";15,3;59,7;25,0;
0208072;"Kłodzko (2)";17,6;60,3;22,1;
0208083;"Lądek-Zdrój (3)";13,6;58,2;28,2;
0208084;"Lądek-Zdrój - miasto (4)";12,5;57,0;30,4;
0208085;"Lądek-Zdrój - obszar wiejski (5)";15,7;60,6;23,8;
0208092;"Lewin Kłodzki (2)";17,7;60,4;21,9;
0208103;"Międzylesie (3)";17,0;59,5;23,5;
0208104;"Międzylesie - miasto (4)";16,1;58,2;25,7;
0208105;"Międzylesie - obszar wiejski (5)";17,5;60,2;22,3;
0208112;"Nowa Ruda (2)";16,5;60,7;22,9;
0208123;"Radków (3)";16,5;60,5;23,0;
0208124;"Radków - miasto (4)";15,7;60,0;24,3;
0208125;"Radków - obszar wiejski (5)";16,8;60,6;22,5;
0208133;"Stronie Śląskie (3)";13,7;59,5;26,9;
0208134;"Stronie Śląskie - miasto (4)";11,3;58,2;30,5;
0208135;"Stronie Śląskie - obszar wiejski (5)";20,7;63,3;15,9;
0208143;"Szczytna (3)";15,8;59,5;24,7;
0208144;"Szczytna - miasto (4)";15,0;58,2;26,8;
0208145;"Szczytna - obszar wiejski (5)";17,5;62,7;19,8;
