wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt;dawka_1_ogolem;dawka_1_dziennie;dawka_3_ogolem;dawka_3_dziennie;dawka_przypominajaca_ogolem;dawka_przypominajaca_dziennie
inne_puste_woj;14;0;4;0;t0;6;0;0;0;4;0
dolnoœl¹skie;4374377;356;1561512;16;t02;1802433;44;16744;3;993688;293
kujawsko-pomorskie;2951190;179;1054766;7;t04;1221253;13;12011;1;663160;158
lubelskie;2502587;104;917318;6;t06;1056097;23;13581;0;515591;75
lubuskie;1519773;76;540393;3;t08;646147;2;5430;0;327803;71
³ódzkie;3555689;226;1293803;12;t10;1468095;17;18925;1;774866;196
ma³opolskie;4570336;469;1665638;25;t12;1903476;41;14184;1;987038;402
mazowieckie;8689709;927;3115523;59;t14;3567217;104;41178;3;1965791;761
opolskie;1272138;42;465543;4;t16;530941;0;5075;0;270579;38
podkarpackie;2228380;71;835888;8;t18;971257;13;8511;0;412724;50
podlaskie;1523009;59;565732;2;t20;652079;7;6098;2;299100;48
pomorskie;3626452;379;1302216;15;t22;1494106;44;15126;2;815004;318
œl¹skie;6453372;534;2314768;24;t24;2661600;53;20743;0;1456261;457
œwiêtokrzyskie;1543759;47;562089;4;t26;650982;10;6245;0;324443;33
warmiñsko-mazurskie;1894768;80;684961;7;t28;786896;5;10546;0;412365;68
wielkopolskie;5384535;470;1925301;11;t30;2265725;33;20882;4;1172627;422
zachodniopomorskie;2540052;181;900275;7;t32;1061104;17;10555;1;568118;156
ca³y kraj;54630140;4200;19705730;210;t00;22739414;426;225834;18;11959162;3546
