wojewodztwo;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;4538;252;890;94;
dolnośląskie;405030;11513;142225;3828;t02
kujawsko-pomorskie;236287;6798;84098;2331;t04
lubelskie;271297;7903;96850;2254;t06
lubuskie;115690;3251;41361;1113;t08
łódzkie;316998;8822;116814;2900;t10
małopolskie;391742;10665;136416;3132;t12
mazowieckie;741124;19040;259901;6292;t14
opolskie;120099;3450;42862;1038;t16
podkarpackie;239378;6480;84327;2112;t18
podlaskie;155577;4871;53810;1979;t20
pomorskie;318904;8494;111110;2933;t22
śląskie;507172;13373;177696;4328;t24
świętokrzyskie;133959;3512;48017;1090;t26
warmińsko-mazurskie;169697;5082;57258;1882;t28
wielkopolskie;407061;11213;137804;3451;t30
zachodniopomorskie;204349;4680;73085;1727;t32
cały kraj;4738902;129399;1664524;42484;t00
