wojewodztwo;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;11435;620;1325;33;
dolnośląskie;673446;14784;182753;2113;t02
kujawsko-pomorskie;393874;10306;102463;1327;t04
lubelskie;447175;10091;125381;1459;t06
lubuskie;210257;4719;52301;803;t08
łódzkie;522387;11699;144928;1381;t10
małopolskie;640348;14302;170822;1189;t12
mazowieckie;1244484;29127;332104;3921;t14
opolskie;195102;4164;55044;759;t16
podkarpackie;416397;7176;112418;1047;t18
podlaskie;263080;5062;73922;696;t20
pomorskie;515040;10662;145453;1516;t22
śląskie;891908;22288;229099;2868;t24
świętokrzyskie;225028;4864;60291;640;t26
warmińsko-mazurskie;287325;6019;75437;802;t28
wielkopolskie;684283;15102;182857;1535;t30
zachodniopomorskie;348595;7833;90706;697;t32
cały kraj;7970164;178818;2137304;22786;t00
