wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
dolnoœl¹skie;2073432;32297;773124;21983;t02
kujawsko-pomorskie;1331219;22764;485341;13720;t04
lubelskie;1227113;19842;488110;13097;t06
lubuskie;703263;10855;270759;7992;t08
³ódzkie;1688354;28022;644195;19005;t10
ma³opolskie;2097398;33675;769841;20168;t12
mazowieckie;3933374;62462;1451560;39292;t14
opolskie;643380;10825;256697;8322;t16
podkarpackie;1189216;14792;496874;11048;t18
podlaskie;797692;10872;334582;8427;t20
pomorskie;1693251;29175;664224;19747;t22
œl¹skie;3079053;49566;1158462;31875;t24
œwiêtokrzyskie;718971;12478;270481;8254;t26
warmiñsko-mazurskie;845275;14721;321134;8904;t28
wielkopolskie;2263590;40349;825581;23373;t30
zachodniopomorskie;1198404;17141;461115;11750;t32
ca³y kraj;25482985;409836;9672080;266957;t00
