data;liczba_szczepien_dziennie;dawka_2_dziennie
2020-12-27;2175;0
2020-12-28;4386;0
2020-12-29;10018;0
2020-12-30;20345;0
2020-12-31;10597;0
2021-01-01;1355;3
2021-01-02;2240;0
2021-01-03;648;0
2021-01-04;40625;1
2021-01-05;55368;2
2021-01-06;18759;0
2021-01-07;30383;0
2021-01-08;11825;1
2021-01-09;2263;0
2021-01-10;994;2
2021-01-11;47624;3
2021-01-12;63443;0
2021-01-13;55156;1
2021-01-14;46568;1
2021-01-15;26229;0
2021-01-16;20957;17
2021-01-17;12090;433
2021-01-18;28351;2934
2021-01-19;49495;8109
2021-01-20;51132;14446
2021-01-21;53056;14755
2021-01-22;38234;5252
2021-01-23;16841;1361
2021-01-24;5362;556
2021-01-25;73170;29473
2021-01-26;132777;48278
2021-01-27;104588;26547
2021-01-28;89527;29442
2021-01-29;43725;16118
2021-01-30;16279;3118
2021-01-31;8691;1388
2021-02-01;57122;33330
2021-02-02;114719;57399
2021-02-03;121887;55985
2021-02-04;107343;51571
2021-02-05;51987;29576
2021-02-06;24641;15688
2021-02-07;16387;10174
2021-02-08;33119;11744
2021-02-09;89908;20165
2021-02-10;113290;44813
2021-02-11;111683;58778
2021-02-12;75776;43684
2021-02-13;35623;15242
2021-02-14;14707;4863
2021-02-15;36284;11718
2021-02-16;71708;33779
2021-02-17;154500;85225
2021-02-18;174400;94465
2021-02-19;103268;50286
2021-02-20;36038;7707
2021-02-21;16063;3610
2021-02-22;43355;4119
2021-02-23;71883;20453
2021-02-24;160971;77019
2021-02-25;175010;90658
2021-02-26;103729;45660
2021-02-27;44819;11914
2021-02-28;18065;5824
2021-03-01;46189;5412
2021-03-02;82403;21723
2021-03-03;156910;68022
2021-03-04;174055;85904
2021-03-05;108804;44664
2021-03-06;49841;12076
2021-03-07;17996;5389
2021-03-08;34593;3681
2021-03-09;63930;8423
2021-03-10;143489;43028
2021-03-11;162914;68363
2021-03-12;95086;39533
2021-03-13;29994;6736
2021-03-14;11878;3039
2021-03-15;25809;3562
2021-03-16;47922;10725
2021-03-17;134058;43871
2021-03-18;155356;66639
2021-03-19;89401;38907
2021-03-20;29767;10278
2021-03-21;10658;3077
2021-03-22;51951;3973
2021-03-23;117959;19922
2021-03-24;192140;50130
2021-03-25;216484;71721
2021-03-26;162288;40675
2021-03-27;92197;15012
2021-03-28;35748;6928
2021-03-29;80141;9877
2021-03-30;117631;16083
2021-03-31;190988;20704
2021-04-01;205325;19481
2021-04-02;153049;11295
2021-04-03;36379;2755
2021-04-04;3334;351
2021-04-05;3876;527
2021-04-06;126172;8127
2021-04-07;220616;7352
2021-04-08;258598;5842
2021-04-09;220772;4701
2021-04-10;154564;4174
2021-04-11;44770;786
2021-04-12;106445;7021
2021-04-13;186922;23344
2021-04-14;254858;53850
2021-04-15;268100;59295
2021-04-16;201495;28311
2021-04-17;140843;11957
2021-04-18;39801;4024
2021-04-19;109487;13040
2021-04-20;203185;34283
2021-04-21;283139;74504
2021-04-22;306504;79470
2021-04-23;260198;46787
2021-04-24;206153;24507
2021-04-25;56065;9277
2021-04-26;139718;30844
2021-04-27;254043;58747
2021-04-28;345323;99406
2021-04-29;388083;108934
2021-04-30;357990;75014
2021-05-01;121975;15582
2021-05-02;59481;10173
2021-05-03;47166;5541
2021-05-04;234640;63238
2021-05-05;399177;122716
2021-05-06;424318;141852
2021-05-07;379316;124728
2021-05-08;258492;63620
2021-05-09;82428;14836
2021-05-10;188519;52535
2021-05-11;321202;109769
2021-05-12;434439;180987
2021-05-13;441748;193716
2021-05-14;373534;152267
2021-05-15;277827;110553
2021-05-16;90296;29638
2021-05-17;149134;50200
2021-05-18;331287;125816
2021-05-19;446066;185871
2021-05-20;445294;201111
2021-05-21;356823;155194
2021-05-22;241144;111059
2021-05-23;68080;35605
2021-05-24;135513;76864
2021-05-25;306003;158186
2021-05-26;397150;212083
2021-05-27;387004;232151
2021-05-28;349698;202323
2021-05-29;278526;151818
2021-05-30;91867;44165
2021-05-31;167650;98543
2021-06-01;466727;270297
2021-06-02;652173;401218
2021-06-03;140854;64657
2021-06-04;430868;256954
2021-06-05;271894;120469
2021-06-06;99104;40998
2021-06-07;203110;127607
2021-06-08;401068;242934
2021-06-09;507469;303033
2021-06-10;484984;297872
2021-06-11;425506;266463
2021-06-12;318704;182253
2021-06-13;102694;58840
2021-06-14;213954;168381
2021-06-15;375130;264394
2021-06-16;433887;280679
2021-06-17;402662;272504
2021-06-18;326067;220589
2021-06-19;220540;135796
2021-06-20;66475;43769
2021-06-21;168774;137569
2021-06-22;341604;262239
2021-06-23;400509;291564
2021-06-24;381049;283033
2021-06-25;309733;233740
2021-06-26;203117;134363
2021-06-27;61009;42192
2021-06-28;146294;115008
2021-06-29;288447;217677
2021-06-30;357126;254657
2021-07-01;299173;219893
2021-07-02;243446;175239
2021-07-03;172522;119300
2021-07-04;50571;34017
2021-07-05;118485;86459
2021-07-06;250812;207399
2021-07-07;340972;283017
2021-07-08;263598;202947
2021-07-09;255760;197269
2021-07-10;209593;167510
2021-07-11;63021;48719
2021-07-12;115091;82363
2021-07-13;216213;172554
2021-07-14;286231;226995
2021-07-15;257163;195072
2021-07-16;209572;150497
2021-07-17;157489;113817
2021-07-18;41803;25837
2021-07-19;83749;50702
2021-07-20;164192;118204
2021-07-21;209897;156361
2021-07-22;179485;126220
2021-07-23;156049;102195
2021-07-24;97634;61487
2021-07-25;29655;14251
2021-07-26;72048;41748
2021-07-27;114512;71107
2021-07-28;140987;87747
2021-07-29;133662;82465
2021-07-30;119917;69771
2021-07-31;78260;40752
2021-08-01;32026;7806
2021-08-02;52307;25168
2021-08-03;81659;42645
2021-08-04;107647;60563
2021-08-05;108590;60249
2021-08-06;102222;53332
2021-08-07;59905;27636
2021-08-08;18979;5320
2021-08-09;46170;21091
2021-08-10;67200;32671
2021-08-11;79297;39347
2021-08-12;68367;35258
