wojewodztwo;powiat_miasto;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
woj_puste;pow_puste;4;0;0;0;t00
dolnoœl¹skie;boles³awiecki;73792;0;33395;0;t0201
dolnoœl¹skie;dzier¿oniowski;69505;55;32622;41;t0202
dolnoœl¹skie;g³ogowski;65448;0;29876;0;t0203
dolnoœl¹skie;górowski;26929;0;12234;0;t0204
dolnoœl¹skie;jaworski;39508;0;17896;0;t0205
dolnoœl¹skie;jeleniogórski;51688;0;23979;0;t0206
dolnoœl¹skie;kamiennogórski;32071;0;15079;0;t0207
dolnoœl¹skie;k³odzki;129871;20;60956;0;t0208
dolnoœl¹skie;legnicki;44457;36;19850;15;t0209
dolnoœl¹skie;lubañski;30308;0;12821;0;t0210
dolnoœl¹skie;lubiñski;125716;81;60243;50;t0211
dolnoœl¹skie;lwówecki;42332;0;19686;0;t0212
dolnoœl¹skie;milicki;34680;0;16417;0;t0213
dolnoœl¹skie;oleœnicki;99781;113;45757;62;t0214
dolnoœl¹skie;o³awski;45887;0;21639;0;t0215
dolnoœl¹skie;polkowicki;42017;0;18429;0;t0216
dolnoœl¹skie;strzeliñski;37521;0;17540;0;t0217
dolnoœl¹skie;œredzki;22200;0;10506;0;t0218
dolnoœl¹skie;œwidnicki;103298;173;47497;72;t0219
dolnoœl¹skie;trzebnicki;60203;65;29035;22;t0220
dolnoœl¹skie;wa³brzyski;31575;0;15071;0;t0221
dolnoœl¹skie;wo³owski;42870;0;19158;0;t0222
dolnoœl¹skie;wroc³awski;104208;60;49698;28;t0223
dolnoœl¹skie;z¹bkowicki;56088;6;26285;0;t0224
dolnoœl¹skie;zgorzelecki;60434;46;27443;0;t0225
dolnoœl¹skie;z³otoryjski;35345;0;15951;0;t0226
dolnoœl¹skie;Jelenia Góra;90958;40;43859;31;t0261
dolnoœl¹skie;Legnica;90869;33;42845;8;t0262
dolnoœl¹skie;Wroc³aw;1059384;496;498271;151;t0264
dolnoœl¹skie;Wa³brzych;212340;42;99154;17;t0265
kujawsko-pomorskie;aleksandrowski;133208;0;63418;0;t0401
kujawsko-pomorskie;brodnicki;73112;10;34359;2;t0402
kujawsko-pomorskie;bydgoski;77867;148;36921;30;t0403
kujawsko-pomorskie;che³miñski;42364;31;19912;0;t0404
kujawsko-pomorskie;golubsko-dobrzyñski;36227;0;16863;0;t0405
kujawsko-pomorskie;grudzi¹dzki;26709;0;12089;0;t0406
kujawsko-pomorskie;inowroc³awski;105627;23;50261;3;t0407
kujawsko-pomorskie;lipnowski;53991;14;24885;9;t0408
kujawsko-pomorskie;mogileñski;33308;47;15508;26;t0409
kujawsko-pomorskie;nakielski;85931;337;38561;95;t0410
kujawsko-pomorskie;radziejowski;44912;0;21044;0;t0411
kujawsko-pomorskie;rypiñski;36268;0;17080;0;t0412
kujawsko-pomorskie;sêpoleñski;49101;18;22641;0;t0413
kujawsko-pomorskie;œwiecki;79325;29;36479;14;t0414
kujawsko-pomorskie;toruñski;72798;11;31978;0;t0415
kujawsko-pomorskie;tucholski;39784;36;18291;10;t0416
kujawsko-pomorskie;w¹brzeski;28667;0;13006;0;t0417
kujawsko-pomorskie;w³oc³awski;65859;22;31444;13;t0418
kujawsko-pomorskie;¿niñski;53397;129;25400;75;t0419
kujawsko-pomorskie;Bydgoszcz;439169;243;205316;49;t0461
kujawsko-pomorskie;Grudzi¹dz;125275;25;57960;9;t0462
kujawsko-pomorskie;Toruñ;195739;279;90872;104;t0463
kujawsko-pomorskie;W³oc³awek;95633;67;43297;18;t0464
lubelskie;bialski;62435;0;28658;0;t0601
lubelskie;bi³gorajski;54884;0;26135;0;t0602
lubelskie;che³mski;36651;12;17326;7;t0603
lubelskie;hrubieszowski;45566;0;20956;0;t0604
lubelskie;janowski;31498;15;14721;6;t0605
lubelskie;krasnostawski;41756;30;19284;15;t0606
lubelskie;kraœnicki;67624;22;32019;0;t0607
lubelskie;lubartowski;56014;83;26316;51;t0608
lubelskie;lubelski;85430;89;39101;47;t0609
lubelskie;³êczyñski;40636;0;19486;0;t0610
lubelskie;³ukowski;57302;52;26904;27;t0611
lubelskie;opolski;45810;0;21154;0;t0612
lubelskie;parczewski;28500;0;13219;0;t0613
lubelskie;pu³awski;99378;23;47427;0;t0614
lubelskie;radzyñski;31202;5;14831;0;t0615
lubelskie;rycki;54313;36;26055;21;t0616
lubelskie;œwidnicki;46733;15;22403;7;t0617
lubelskie;tomaszowski;56794;67;26332;18;t0618
lubelskie;w³odawski;35425;0;16543;0;t0619
lubelskie;zamojski;49284;9;23907;1;t0620
lubelskie;Bia³a Podlaska;71174;20;33632;8;t0661
lubelskie;Che³m;64308;59;29426;23;t0662
lubelskie;Lublin;449695;228;206545;55;t0663
lubelskie;Zamoœæ;90788;0;42788;0;t0664
lubuskie;gorzowski;29716;0;13853;0;t0801
lubuskie;kroœnieñski;51624;25;24365;9;t0802
lubuskie;miêdzyrzecki;67777;95;31647;30;t0803
lubuskie;nowosolski;93272;170;41855;33;t0804
lubuskie;s³ubicki;39043;123;18634;55;t0805
lubuskie;strzelecko-drezdenecki;51378;49;23086;5;t0806
lubuskie;sulêciñski;31350;0;14295;0;t0807
lubuskie;œwiebodziñski;55751;61;25868;24;t0808
lubuskie;zielonogórski;89934;72;41889;48;t0809
lubuskie;¿agañski;69687;342;31714;12;t0810
lubuskie;¿arski;101025;42;47530;8;t0811
lubuskie;wschowski;27718;55;13309;44;t0812
lubuskie;Gorzów Wielkopolski;154056;191;70734;101;t0861
lubuskie;Zielona Góra;152602;11;72859;0;t0862
³ódzkie;be³chatowski;74985;60;34382;25;t1001
³ódzkie;kutnowski;89879;37;43689;21;t1002
³ódzkie;³aski;36573;11;17536;0;t1003
³ódzkie;³êczycki;52211;0;24091;0;t1004
³ódzkie;³owicki;91163;0;43568;0;t1005
³ódzkie;³ódzki wschodni;37663;8;17022;0;t1006
³ódzkie;opoczyñski;60566;0;27413;0;t1007
