data;liczba_szczepien_dziennie;dawka_2_dziennie;dawka_1_dziennie;dawka_3_dziennie;dawka_przypomianjaca_dziennie
2020-12-27;2165;0;2165;0;0
2020-12-28;4381;0;4381;0;0
2020-12-29;10022;0;10022;0;0
2020-12-30;20306;0;20306;0;0
2020-12-31;10601;0;10600;1;0
2021-01-01;1350;2;1348;0;0
2021-01-02;2259;0;2259;0;0
2021-01-03;640;0;640;0;0
2021-01-04;40586;2;40584;0;0
2021-01-05;55298;1;55297;0;0
2021-01-06;18743;0;18743;0;0
2021-01-07;30346;1;30345;0;0
2021-01-08;11816;0;11816;0;0
2021-01-09;2263;0;2263;0;0
2021-01-10;994;2;991;1;0
2021-01-11;47592;3;47589;0;0
2021-01-12;63370;1;63369;0;0
2021-01-13;55133;1;55132;0;0
2021-01-14;46550;2;46548;0;0
2021-01-15;26247;1;26246;0;0
2021-01-16;20983;17;20966;0;0
2021-01-17;12071;435;11636;0;0
2021-01-18;28310;2951;25357;2;0
2021-01-19;49413;8129;41284;0;0
2021-01-20;51219;14493;36726;0;0
2021-01-21;53014;14802;38212;0;0
2021-01-22;38203;5267;32936;0;0
2021-01-23;16872;1362;15510;0;0
2021-01-24;5367;557;4810;0;0
2021-01-25;73304;29571;43733;0;0
2021-01-26;132976;48421;84554;1;0
2021-01-27;104806;26618;78188;0;0
2021-01-28;89551;29527;60024;0;0
2021-01-29;43744;16141;27603;0;0
2021-01-30;16266;3126;13140;0;0
2021-01-31;8689;1396;7293;0;0
2021-02-01;57152;33389;23763;0;0
2021-02-02;114743;57536;57207;0;0
2021-02-03;121875;56127;65748;0;0
2021-02-04;107347;51700;55647;0;0
2021-02-05;52105;29702;22403;0;0
2021-02-06;24692;15746;8946;0;0
2021-02-07;16397;10192;6205;0;0
2021-02-08;33125;11780;21345;0;0
2021-02-09;89802;20271;69530;1;0
2021-02-10;113433;45131;68302;0;0
2021-02-11;111928;59109;52818;1;0
2021-02-12;75888;43824;32064;0;0
2021-02-13;35672;15305;20367;0;0
2021-02-14;14729;4885;9844;0;0
2021-02-15;36358;11806;24552;0;0
2021-02-16;71875;34031;37844;0;0
2021-02-17;155222;86026;69194;2;0
2021-02-18;174907;95166;79741;0;0
2021-02-19;103332;50477;52855;0;0
2021-02-20;36019;7740;28279;0;0
2021-02-21;16060;3636;12424;0;0
2021-02-22;43433;4163;39270;0;0
2021-02-23;71939;20620;51319;0;0
2021-02-24;161042;77245;83797;0;0
2021-02-25;175126;90902;84224;0;0
2021-02-26;103747;45794;57953;0;0
2021-02-27;44796;11953;32843;0;0
2021-02-28;18064;5850;12214;0;0
2021-03-01;46145;5433;40712;0;0
2021-03-02;82521;21860;60661;0;0
2021-03-03;156912;68202;88707;3;0
2021-03-04;174111;86097;88014;0;0
2021-03-05;108800;44795;64004;1;0
2021-03-06;49841;12105;37736;0;0
2021-03-07;18022;5404;12618;0;0
2021-03-08;34555;3693;30862;0;0
2021-03-09;63893;8447;55446;0;0
2021-03-10;143419;43153;100266;0;0
2021-03-11;162967;68530;94436;1;0
2021-03-12;95155;39682;55473;0;0
2021-03-13;29983;6748;23235;0;0
2021-03-14;11884;3044;8840;0;0
2021-03-15;25800;3561;22239;0;0
2021-03-16;47896;10757;37139;0;0
2021-03-17;134028;44001;90027;0;0
2021-03-18;155390;66830;88560;0;0
2021-03-19;89506;39076;50429;1;0
2021-03-20;29797;10315;19482;0;0
2021-03-21;10656;3084;7572;0;0
2021-03-22;51904;3988;47915;1;0
2021-03-23;117984;20037;97947;0;0
2021-03-24;192069;50289;141780;0;0
2021-03-25;216576;71997;144579;0;0
2021-03-26;162326;40827;121499;0;0
2021-03-27;92120;15056;77064;0;0
2021-03-28;35739;6943;28796;0;0
2021-03-29;80102;9903;70199;0;0
2021-03-30;117585;16146;101439;0;0
2021-03-31;190837;20812;170025;0;0
2021-04-01;205282;19594;185688;0;0
2021-04-02;153085;11339;141746;0;0
2021-04-03;36411;2775;33636;0;0
2021-04-04;3355;365;2990;0;0
2021-04-05;3899;531;3368;0;0
2021-04-06;126167;8175;117992;0;0
2021-04-07;220616;7418;213198;0;0
2021-04-08;258282;5871;252411;0;0
2021-04-09;220643;4724;215919;0;0
2021-04-10;154473;4215;150258;0;0
2021-04-11;44742;792;43950;0;0
2021-04-12;106445;7048;99397;0;0
2021-04-13;186792;23435;163357;0;0
2021-04-14;254827;54015;200812;0;0
2021-04-15;268037;59447;208590;0;0
2021-04-16;201292;28360;172932;0;0
2021-04-17;140695;11995;128700;0;0
2021-04-18;39787;4054;35733;0;0
2021-04-19;109389;13120;96269;0;0
2021-04-20;203073;34381;168692;0;0
2021-04-21;283191;74721;208470;0;0
2021-04-22;306509;79665;226844;0;0
2021-04-23;260078;46959;213119;0;0
2021-04-24;205982;24553;181429;0;0
2021-04-25;56045;9304;46741;0;0
2021-04-26;139754;30965;108789;0;0
2021-04-27;254046;58898;195147;1;0
2021-04-28;345513;99730;245782;1;0
2021-04-29;388286;109270;279016;0;0
2021-04-30;357949;75289;282659;1;0
2021-05-01;121793;15612;106180;1;0
2021-05-02;59400;10222;49178;0;0
2021-05-03;47064;5565;41499;0;0
2021-05-04;234661;63388;171273;0;0
2021-05-05;399427;123060;276367;0;0
2021-05-06;424479;142190;282289;0;0
2021-05-07;379554;125106;254448;0;0
2021-05-08;258630;63769;194861;0;0
2021-05-09;82505;14885;67600;20;0
2021-05-10;188727;52678;136049;0;0
2021-05-11;321378;110041;211336;1;0
2021-05-12;434691;181409;253282;0;0
2021-05-13;441998;194157;247841;0;0
2021-05-14;373921;152695;221226;0;0
2021-05-15;278074;110928;167146;0;0
2021-05-16;90336;29724;60612;0;0
2021-05-17;149223;50348;98875;0;0
2021-05-18;331585;126088;205496;1;0
2021-05-19;446384;186340;260044;0;0
2021-05-20;445791;201575;244216;0;0
2021-05-21;357113;155674;201439;0;0
2021-05-22;241255;111306;129949;0;0
2021-05-23;68135;35695;32440;0;0
2021-05-24;135670;77023;58647;0;0
2021-05-25;306375;158572;147803;0;0
2021-05-26;397694;212659;185034;1;0
2021-05-27;387471;232648;154823;0;0
2021-05-28;349941;202787;147153;1;0
2021-05-29;278523;152125;126398;0;0
2021-05-30;91782;44233;47549;0;0
2021-05-31;167672;98739;68933;0;0
2021-06-01;467424;271026;196396;2;0
2021-06-02;653255;402168;251087;0;0
2021-06-03;141205;64771;76434;0;0
2021-06-04;431641;257593;174048;0;0
2021-06-05;272052;120653;151399;0;0
2021-06-06;99136;41051;58085;0;0
2021-06-07;203529;128001;75528;0;0
2021-06-08;401630;243434;158196;0;0
2021-06-09;508238;303728;204510;0;0
2021-06-10;485788;298620;187167;1;0
2021-06-11;426110;267007;159103;0;0
2021-06-12;319011;182530;136481;0;0
2021-06-13;102769;58919;43850;0;0
2021-06-14;214385;168752;45633;0;0
2021-06-15;375737;264952;110785;0;0
2021-06-16;434474;281191;153283;0;0
2021-06-17;403298;273003;130295;0;0
2021-06-18;326712;221113;105599;0;0
2021-06-19;220810;136007;84803;0;0
2021-06-20;66589;43835;22754;0;0
2021-06-21;169034;137784;31250;0;0
2021-06-22;342258;262804;79454;0;0
2021-06-23;401235;292167;109068;0;0
2021-06-24;381711;283542;98169;0;0
2021-06-25;310309;234181;76128;0;0
2021-06-26;203471;134535;68936;0;0
2021-06-27;61019;42243;18776;0;0
2021-06-28;146585;115278;31307;0;0
2021-06-29;288960;218065;70895;0;0
2021-06-30;357798;255194;102604;0;0
2021-07-01;300101;220508;79593;0;0
2021-07-02;244099;175626;68473;0;0
2021-07-03;172714;119450;53264;0;0
2021-07-04;50609;34051;16558;0;0
2021-07-05;118893;86783;32110;0;0
2021-07-06;251451;207830;43621;0;0
2021-07-07;341921;283641;58280;0;0
2021-07-08;264275;203295;60979;1;0
2021-07-09;256520;197659;58861;0;0
2021-07-10;209982;167734;42248;0;0
2021-07-11;63080;48738;14342;0;0
2021-07-12;115396;82529;32867;0;0
2021-07-13;216863;172907;43956;0;0
2021-07-14;286894;227312;59582;0;0
2021-07-15;257706;195406;62300;0;0
2021-07-16;209968;150728;59239;1;0
2021-07-17;157925;114179;43746;0;0
2021-07-18;41841;25874;15967;0;0
2021-07-19;84080;50950;33130;0;0
2021-07-20;164688;118537;46151;0;0
2021-07-21;210462;156740;53722;0;0
2021-07-22;179986;126491;53494;1;0
2021-07-23;156651;102476;54175;0;0
2021-07-24;97939;61557;36382;0;0
2021-07-25;29687;14240;15447;0;0
2021-07-26;72433;41879;30553;1;0
2021-07-27;115190;71382;43807;1;0
2021-07-28;141790;88038;53751;1;0
2021-07-29;134522;82849;51672;0;1
2021-07-30;120703;70118;50585;0;0
2021-07-31;78721;40895;37826;0;0
2021-08-01;31378;7854;23524;0;0
2021-08-02;52831;25470;27360;1;0
2021-08-03;83049;43349;39700;0;0
2021-08-04;109467;61384;48083;0;0
2021-08-05;110330;60966;49363;0;1
2021-08-06;104170;54074;50096;0;0
2021-08-07;60770;27994;32776;0;0
2021-08-08;19148;5378;13770;0;0
2021-08-09;46986;21386;25600;0;0
2021-08-10;69509;33456;36053;0;0
2021-08-11;82010;40170;41840;0;0
2021-08-12;81106;40347;40759;0;0
2021-08-13;79847;41159;38686;2;0
2021-08-14;44038;17974;26063;0;1
2021-08-15;27879;4172;23707;0;0
2021-08-16;42520;21566;20954;0;0
2021-08-17;59327;30176;29151;0;0
2021-08-18;75441;38243;37197;1;0
2021-08-19;72099;38776;33321;1;1
2021-08-20;74440;39032;35405;3;0
2021-08-21;42873;19422;23451;0;0
2021-08-22;19472;4087;15385;0;0
2021-08-23;37347;18505;18841;0;1
2021-08-24;53493;27397;26095;1;0
2021-08-25;67058;34129;32929;0;0
2021-08-26;68033;35891;32142;0;0
2021-08-27;73006;38112;34894;0;0
2021-08-28;44890;18816;26074;0;0
2021-08-29;22484;4235;18249;0;0
2021-08-30;37935;18512;19422;0;1
2021-08-31;51748;27181;24567;0;0
2021-09-01;49007;26353;22578;68;8
2021-09-02;54019;28935;24669;372;43
2021-09-03;59196;29256;29373;512;55
2021-09-04;32491;13460;18894;129;8
2021-09-05;14346;2758;11516;63;9
2021-09-06;26478;12361;13729;360;28
2021-09-07;36917;17552;18655;645;65
2021-09-08;44647;21988;21937;636;86
2021-09-09;45570;22852;21905;742;71
