wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt;dawka_1_ogolem;dawka_1_dziennie;dawka_3_ogolem;dawka_3_dziennie;dawka_przypominajaca_ogolem;dawka_przypominajaca_dziennie
inne_puste_woj;20;0;6;0;t0;9;0;0;0;5;0
dolnoœl¹skie;4325040;825;1556193;136;t02;1798270;92;16874;3;953703;594
kujawsko-pomorskie;2926028;323;1051911;41;t04;1219194;33;12013;0;642910;249
lubelskie;2485743;246;915072;65;t06;1054084;24;13453;6;503134;151
lubuskie;1506591;156;538621;9;t08;644791;15;5377;1;317802;131
³ódzkie;3523439;347;1290207;54;t10;1465223;29;18692;3;749317;261
ma³opolskie;4513371;973;1659585;110;t12;1898416;90;14086;9;941284;764
mazowieckie;8575752;1513;3102200;185;t14;3553648;181;40507;10;1879397;1137
opolskie;1260774;173;464027;30;t16;529543;18;5023;0;262181;125
podkarpackie;2212234;149;833625;26;t18;968938;19;8384;0;401287;104
podlaskie;1512372;99;564298;12;t20;650531;20;6075;0;291468;67
pomorskie;3587560;698;1298339;104;t22;1490921;84;14827;8;783473;502
œl¹skie;6376913;996;2306859;109;t24;2655490;75;20555;5;1394009;807
œwiêtokrzyskie;1532825;116;560828;22;t26;649772;11;6240;0;315985;83
warmiñsko-mazurskie;1881101;173;683284;22;t28;785683;17;10479;7;401655;127
wielkopolskie;5252483;718;1917606;81;t30;2183969;125;20220;15;1130688;497
zachodniopomorskie;2515421;382;897519;48;t32;1058809;34;10582;2;548511;298
ca³y kraj;53987667;7887;19640180;1054;t00;22607291;867;223387;69;11516809;5897
