wojewodztwo;powiat_miasto;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt;dawka_1_ogolem;dawka_1_dziennie;dawka_3_ogolem;dawka_3_dziennie;dawka_przypominajaca_ogolem;dawka_przypominajaca_dziennie
woj_puste;pow_puste;6;0;1;0;t00;1;0;0;0;4;0
dolnoœl¹skie;boles³awiecki;108567;12;38489;0;t0201;47126;0;145;0;22807;12
dolnoœl¹skie;dzier¿oniowski;106467;16;37493;0;t0202;42365;0;153;0;26456;16
dolnoœl¹skie;g³ogowski;105605;25;35127;2;t0203;42063;0;184;0;28231;23
dolnoœl¹skie;górowski;38352;6;13953;0;t0204;16465;0;75;0;7859;6
dolnoœl¹skie;jaworski;59936;21;20756;0;t0205;25188;4;44;0;13948;17
dolnoœl¹skie;jeleniogórski;72413;17;26283;2;t0206;31441;0;401;0;14288;15
dolnoœl¹skie;kamiennogórski;49333;15;17209;2;t0207;19523;4;107;0;12494;9
dolnoœl¹skie;k³odzki;190378;17;68123;3;t0208;77950;0;1339;0;42966;14
dolnoœl¹skie;legnicki;63660;6;22010;0;t0209;27384;0;268;0;13998;6
dolnoœl¹skie;lubañski;48579;3;14801;1;t0210;20408;0;110;0;13260;2
dolnoœl¹skie;lubiñski;177323;15;66874;1;t0211;73663;1;999;0;35787;13
dolnoœl¹skie;lwówecki;63679;3;22860;1;t0212;26502;0;319;0;13998;2
dolnoœl¹skie;milicki;50025;1;18748;0;t0213;20816;1;120;0;10341;0
dolnoœl¹skie;oleœnicki;168368;27;56254;4;t0214;67328;5;506;0;44280;18
dolnoœl¹skie;o³awski;58256;33;22869;2;t0215;25881;1;99;0;9407;30
dolnoœl¹skie;polkowicki;61849;0;21227;0;t0216;26990;0;52;0;13580;0
dolnoœl¹skie;strzeliñski;55131;0;20095;0;t0217;22654;0;518;0;11864;0
dolnoœl¹skie;œredzki;38329;6;12662;0;t0218;14470;0;484;0;10713;6
dolnoœl¹skie;œwidnicki;164587;46;55542;4;t0219;65036;3;1259;1;42750;38
dolnoœl¹skie;trzebnicki;90692;49;33387;6;t0220;35440;4;453;0;21412;39
dolnoœl¹skie;wa³brzyski;45782;0;17062;0;t0221;18481;0;259;0;9980;0
dolnoœl¹skie;wo³owski;63621;21;22157;1;t0222;27960;1;320;0;13184;19
dolnoœl¹skie;wroc³awski;160917;28;57871;1;t0223;63797;0;1242;0;38007;27
dolnoœl¹skie;z¹bkowicki;81644;15;29390;0;t0224;34454;0;337;0;17463;15
dolnoœl¹skie;zgorzelecki;95819;57;31798;6;t0225;39126;3;231;0;24664;48
dolnoœl¹skie;z³otoryjski;53479;6;18370;1;t0226;22268;1;223;0;12618;4
dolnoœl¹skie;Jelenia Góra;135165;26;49297;3;t0261;53814;1;460;0;31594;22
dolnoœl¹skie;Legnica;136475;40;48699;1;t0262;56000;2;496;0;31280;37
dolnoœl¹skie;Wroc³aw;1522102;490;552552;37;t0264;632529;27;4712;0;332309;426
dolnoœl¹skie;Wa³brzych;276818;20;106583;4;t0265;122634;4;830;0;46771;12
kujawsko-pomorskie;aleksandrowski;160282;32;67066;2;t0401;73174;0;531;0;19511;30
kujawsko-pomorskie;brodnicki;106306;12;39719;0;t0402;44665;2;1506;0;20416;10
kujawsko-pomorskie;bydgoski;115133;10;42422;1;t0403;46584;0;401;0;25726;9
kujawsko-pomorskie;che³miñski;63360;10;23014;0;t0404;25535;0;52;0;14759;10
kujawsko-pomorskie;golubsko-dobrzyñski;49147;2;18744;0;t0405;21285;0;341;0;8777;2
kujawsko-pomorskie;grudzi¹dzki;37695;0;13893;0;t0406;16553;0;25;0;7224;0
kujawsko-pomorskie;inowroc³awski;153728;8;56804;1;t0407;62387;0;524;0;34013;7
kujawsko-pomorskie;lipnowski;77634;11;28801;11;t0408;33268;0;347;0;15218;0
kujawsko-pomorskie;mogileñski;55083;12;19087;1;t0409;21837;0;189;0;13970;11
kujawsko-pomorskie;nakielski;128083;28;44313;3;t0410;55991;1;493;0;27286;24
kujawsko-pomorskie;radziejowski;60181;19;23232;3;t0411;25850;1;649;0;10450;15
kujawsko-pomorskie;rypiñski;53523;7;19611;0;t0412;22133;1;112;0;11667;6
kujawsko-pomorskie;sêpoleñski;66595;4;24914;0;t0413;29783;0;140;0;11758;4
kujawsko-pomorskie;œwiecki;120625;44;42560;6;t0414;50064;0;410;0;27591;38
kujawsko-pomorskie;toruñski;97878;0;35653;0;t0415;44335;0;434;0;17456;0
kujawsko-pomorskie;tucholski;57948;8;21110;1;t0416;24235;0;209;0;12394;7
kujawsko-pomorskie;w¹brzeski;41532;6;14991;0;t0417;17770;2;277;0;8494;4
kujawsko-pomorskie;w³oc³awski;92380;6;35555;0;t0418;38711;0;281;0;17833;6
kujawsko-pomorskie;¿niñski;72919;4;28498;0;t0419;31005;0;543;0;12873;4
kujawsko-pomorskie;Bydgoszcz;663709;223;230354;10;t0461;267678;9;1572;4;164105;200
kujawsko-pomorskie;Grudzi¹dz;178883;30;65303;1;t0462;76601;2;616;0;36363;27
kujawsko-pomorskie;Toruñ;327002;96;107080;6;t0463;126468;5;1193;0;92261;85
kujawsko-pomorskie;W³oc³awek;155823;19;50499;1;t0464;64119;1;1145;0;40060;17
lubelskie;bialski;90745;6;32940;0;t0601;38866;0;644;0;18295;6
lubelskie;bi³gorajski;81522;8;30019;2;t0602;33780;1;83;0;17640;5
lubelskie;che³mski;53473;0;20050;0;t0603;22024;0;371;0;11028;0
lubelskie;hrubieszowski;67814;12;24263;0;t0604;28534;1;1602;0;13415;11
lubelskie;janowski;43794;13;16861;0;t0605;19130;1;545;0;7258;12
lubelskie;krasnostawski;62153;0;22097;0;t0606;25705;0;559;0;13792;0
lubelskie;kraœnicki;99193;9;37180;0;t0607;41497;0;374;0;20142;9
lubelskie;lubartowski;82459;23;31138;1;t0608;34897;2;1318;0;15106;20
lubelskie;lubelski;126575;17;46174;10;t0609;54247;0;775;2;25379;5
lubelskie;³êczyñski;57009;6;22107;0;t0610;23951;0;588;0;10363;6
lubelskie;³ukowski;85749;1;31974;0;t0611;36771;0;255;0;16749;1
lubelskie;opolski;68458;5;25090;0;t0612;29099;2;255;0;14014;3
lubelskie;parczewski;40913;13;15062;1;t0613;17724;0;504;0;7623;12
lubelskie;pu³awski;143627;11;53665;0;t0614;58915;0;463;0;30584;11
lubelskie;radzyñski;46189;0;17215;0;t0615;19549;0;230;0;9195;0
lubelskie;rycki;77101;0;29366;0;t0616;31770;0;433;0;15532;0
lubelskie;œwidnicki;73698;19;26465;0;t0617;28895;0;170;4;18168;15
lubelskie;tomaszowski;82210;6;30003;0;t0618;35220;0;297;0;16690;6
lubelskie;w³odawski;49480;0;18394;0;t0619;21093;0;169;0;9824;0
lubelskie;zamojski;71727;0;27515;0;t0620;28841;0;360;0;15011;0
lubelskie;Bia³a Podlaska;104728;43;39405;5;t0661;45307;4;169;0;19847;34
lubelskie;Che³m;98213;2;34600;0;t0662;41865;0;189;0;21559;2
lubelskie;Lublin;653975;178;235291;18;t0663;281355;31;2894;9;134435;120
