wojewodztwo;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;146;0;1;0;
dolnośląskie;101188;1991;19104;834;t02
kujawsko-pomorskie;59145;690;10723;9;t04
lubelskie;64971;444;9792;13;t06
lubuskie;28144;486;4247;77;t08
łódzkie;82331;1141;15651;305;t10
małopolskie;92780;1222;14248;4;t12
mazowieckie;181466;2354;29697;668;t14
opolskie;32250;222;6317;0;t16
podkarpackie;49845;555;6688;16;t18
podlaskie;35845;96;6097;0;t20
pomorskie;75532;968;15371;341;t22
śląskie;130875;1195;22155;173;t24
świętokrzyskie;32731;264;5188;0;t26
warmińsko-mazurskie;38961;445;6265;162;t28
wielkopolskie;101001;1328;18779;3;t30
zachodniopomorskie;49720;868;8155;1;t32
cały kraj;1156931;14269;198478;2606;t00
