wojewodztwo;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;16512;1059;1628;53;
dolnośląskie;827720;25582;212030;6535;t02
kujawsko-pomorskie;490775;15654;119880;3413;t04
lubelskie;542661;16189;149704;5321;t06
lubuskie;257738;7357;63580;2102;t08
łódzkie;642257;18259;167350;5544;t10
małopolskie;797228;25125;199654;6920;t12
mazowieckie;1525314;41917;386411;10850;t14
opolskie;238206;8083;64585;1903;t16
podkarpackie;505033;14900;133914;4759;t18
podlaskie;321291;9291;87067;3014;t20
pomorskie;629134;19290;168821;5153;t22
śląskie;1102455;34781;267049;8310;t24
świętokrzyskie;276415;9024;70647;2356;t26
warmińsko-mazurskie;347177;10056;87852;2645;t28
wielkopolskie;848077;25980;211274;6334;t30
zachodniopomorskie;438973;14379;104392;2640;t32
cały kraj;9806966;296926;2495838;77852;t00
