data;liczba_szczepien_dziennie;dawka_2_dziennie
2020-12-27;2175;0
2020-12-28;4386;0
2020-12-29;10016;0
2020-12-30;20345;1
2020-12-31;10597;0
2021-01-01;1354;3
2021-01-02;2240;0
2021-01-03;648;0
2021-01-04;40623;1
2021-01-05;55365;2
2021-01-06;18756;0
2021-01-07;30381;0
2021-01-08;11823;1
2021-01-09;2263;0
2021-01-10;994;2
2021-01-11;47620;3
2021-01-12;63421;0
2021-01-13;55147;1
2021-01-14;46561;1
2021-01-15;26225;0
2021-01-16;20956;17
2021-01-17;12090;433
2021-01-18;28351;2934
2021-01-19;49496;8108
2021-01-20;51130;14446
2021-01-21;52989;14750
2021-01-22;38233;5254
2021-01-23;16838;1361
2021-01-24;5362;556
2021-01-25;73161;29469
2021-01-26;132766;48274
2021-01-27;104566;26546
2021-01-28;89512;29438
2021-01-29;43724;16117
2021-01-30;16277;3117
2021-01-31;8690;1388
2021-02-01;57117;33329
2021-02-02;114704;57386
2021-02-03;121883;55984
2021-02-04;107334;51567
2021-02-05;51985;29576
2021-02-06;24641;15688
2021-02-07;16385;10172
2021-02-08;33116;11742
2021-02-09;89901;20165
2021-02-10;113281;44810
2021-02-11;111673;58770
2021-02-12;75771;43679
2021-02-13;35626;15242
2021-02-14;14709;4864
2021-02-15;36283;11717
2021-02-16;71699;33773
2021-02-17;154479;85206
2021-02-18;174381;94449
2021-02-19;103267;50286
2021-02-20;36035;7706
2021-02-21;16063;3610
2021-02-22;43357;4119
2021-02-23;71881;20451
2021-02-24;160961;77009
2021-02-25;174999;90657
2021-02-26;103725;45657
2021-02-27;44813;11910
2021-02-28;18067;5826
2021-03-01;46189;5411
2021-03-02;82400;21722
2021-03-03;156905;68019
2021-03-04;174049;85906
2021-03-05;108803;44662
2021-03-06;49838;12076
2021-03-07;17993;5389
2021-03-08;34593;3681
2021-03-09;63925;8422
2021-03-10;143485;43024
2021-03-11;162906;68357
2021-03-12;95079;39526
2021-03-13;29994;6736
2021-03-14;11879;3039
2021-03-15;25808;3561
2021-03-16;47917;10725
2021-03-17;134056;43869
2021-03-18;155325;66612
2021-03-19;89402;38907
2021-03-20;29768;10278
2021-03-21;10658;3077
2021-03-22;51951;3973
2021-03-23;117953;19918
2021-03-24;192131;50124
2021-03-25;216478;71719
2021-03-26;162274;40673
2021-03-27;92197;15012
2021-03-28;35748;6928
2021-03-29;80143;9877
2021-03-30;117622;16083
2021-03-31;190982;20702
2021-04-01;205298;19476
2021-04-02;153046;11294
2021-04-03;36376;2755
2021-04-04;3334;351
2021-04-05;3876;527
2021-04-06;126158;8127
2021-04-07;220590;7351
2021-04-08;258635;5842
2021-04-09;220648;4701
2021-04-10;154562;4174
2021-04-11;44768;786
2021-04-12;106436;7019
2021-04-13;186914;23344
2021-04-14;254750;53848
2021-04-15;268097;59293
2021-04-16;201486;28309
2021-04-17;140838;11957
2021-04-18;39774;4024
2021-04-19;109486;13038
2021-04-20;203177;34281
2021-04-21;283134;74505
2021-04-22;306485;79452
2021-04-23;260185;46784
2021-04-24;206148;24507
2021-04-25;55993;9278
2021-04-26;139710;30841
2021-04-27;254039;58743
2021-04-28;345309;99406
2021-04-29;388074;108933
2021-04-30;357999;75018
2021-05-01;121974;15582
2021-05-02;59478;10173
2021-05-03;47169;5540
2021-05-04;234628;63232
2021-05-05;399160;122697
2021-05-06;424298;141843
2021-05-07;379302;124722
2021-05-08;258484;63616
2021-05-09;82425;14835
2021-05-10;188430;52529
2021-05-11;321183;109765
2021-05-12;434409;180970
2021-05-13;441736;193703
2021-05-14;373481;152262
2021-05-15;277807;110540
2021-05-16;90292;29636
2021-05-17;149135;50200
2021-05-18;331274;125812
2021-05-19;446042;185855
2021-05-20;445290;201102
2021-05-21;356811;155187
2021-05-22;241126;111051
2021-05-23;68076;35604
2021-05-24;135508;76861
2021-05-25;305990;158182
2021-05-26;397133;212066
2021-05-27;386988;232139
2021-05-28;349672;202312
2021-05-29;278449;151809
2021-05-30;91863;44165
2021-05-31;167642;98540
2021-06-01;466695;270288
2021-06-02;651999;401063
2021-06-03;140852;64652
2021-06-04;430823;256935
2021-06-05;271887;120469
2021-06-06;99083;40994
2021-06-07;203104;127599
2021-06-08;401045;242926
2021-06-09;507429;303017
2021-06-10;484938;297865
2021-06-11;425487;266460
2021-06-12;318592;182196
2021-06-13;102683;58835
2021-06-14;213934;168367
2021-06-15;375079;264367
2021-06-16;433859;280663
2021-06-17;402612;272484
2021-06-18;326012;220589
2021-06-19;220502;135782
2021-06-20;66468;43760
2021-06-21;168712;137545
2021-06-22;341534;262204
2021-06-23;400456;291549
2021-06-24;380999;283019
2021-06-25;309687;233727
2021-06-26;203093;134361
2021-06-27;61011;42193
2021-06-28;146233;114955
2021-06-29;288451;217668
2021-06-30;357116;254680
2021-07-01;298955;219784
2021-07-02;243236;175188
2021-07-03;172418;119283
2021-07-04;50555;34015
2021-07-05;118423;86448
2021-07-06;250643;207355
2021-07-07;340684;282910
2021-07-08;263404;202885
2021-07-09;255558;197231
2021-07-10;209534;167540
2021-07-11;62974;48712
2021-07-12;114903;82313
2021-07-13;216208;172642
2021-07-14;286264;227074
2021-07-15;257088;194983
2021-07-16;209503;150433
2021-07-17;157395;113761
2021-07-18;41768;25833
2021-07-19;83535;50565
2021-07-20;163955;118084
2021-07-21;209826;156278
2021-07-22;179291;126062
2021-07-23;155762;102001
2021-07-24;97397;61320
2021-07-25;29597;14215
2021-07-26;71726;41576
2021-07-27;114153;70818
2021-07-28;140386;87378
2021-07-29;133036;82025
2021-07-30;119243;69346
2021-07-31;77791;40470
2021-08-01;32369;7779
2021-08-02;51841;24957
2021-08-03;80625;42051
2021-08-04;105889;59674
2021-08-05;87980;50869
