wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
dolnoœl¹skie;2907736;1395;1359215;124;t02
kujawsko-pomorskie;1954558;1332;909359;157;t04
lubelskie;1666568;847;777942;96;t06
lubuskie;992262;726;462278;135;t08
³ódzkie;2382349;1492;1120847;204;t10
ma³opolskie;3082803;1992;1441455;296;t12
mazowieckie;5655742;3387;2655165;945;t14
opolskie;855740;190;403698;14;t16
podkarpackie;1552096;569;725381;87;t18
podlaskie;1032985;446;485838;30;t20
pomorskie;2378441;1225;1118433;203;t22
œl¹skie;4331461;2522;2025963;525;t24
œwiêtokrzyskie;1040935;1104;484177;510;t26
warmiñsko-mazurskie;1237449;498;577847;45;t28
wielkopolskie;3452463;2272;1632119;417;t30
zachodniopomorskie;1670817;326;776993;116;t32
ca³y kraj;36194405;20323;16956710;3904;t00
