wojewodztwo;powiat_miasto;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
woj_puste;pow_puste;4;0;0;0;t00
dolnoœl¹skie;boles³awiecki;74099;0;33534;0;t0201
dolnoœl¹skie;dzier¿oniowski;70046;0;32863;0;t0202
dolnoœl¹skie;g³ogowski;65920;0;30073;0;t0203
dolnoœl¹skie;górowski;27050;0;12293;0;t0204
dolnoœl¹skie;jaworski;39634;13;17936;1;t0205
dolnoœl¹skie;jeleniogórski;51862;0;24039;0;t0206
dolnoœl¹skie;kamiennogórski;32274;2;15161;0;t0207
dolnoœl¹skie;k³odzki;130443;0;61174;0;t0208
dolnoœl¹skie;legnicki;44633;19;19926;1;t0209
dolnoœl¹skie;lubañski;30489;0;12884;0;t0210
dolnoœl¹skie;lubiñski;126254;0;60508;0;t0211
dolnoœl¹skie;lwówecki;42572;0;19759;0;t0212
dolnoœl¹skie;milicki;34842;0;16514;0;t0213
dolnoœl¹skie;oleœnicki;100794;34;46160;8;t0214
dolnoœl¹skie;o³awski;45963;0;21676;0;t0215
dolnoœl¹skie;polkowicki;42312;16;18553;1;t0216
dolnoœl¹skie;strzeliñski;37816;0;17664;0;t0217
dolnoœl¹skie;œredzki;22319;0;10538;0;t0218
dolnoœl¹skie;œwidnicki;104243;63;47871;0;t0219
dolnoœl¹skie;trzebnicki;60548;0;29189;0;t0220
dolnoœl¹skie;wa³brzyski;31658;0;15120;0;t0221
dolnoœl¹skie;wo³owski;43074;8;19247;5;t0222
dolnoœl¹skie;wroc³awski;104589;4;49890;0;t0223
dolnoœl¹skie;z¹bkowicki;56423;13;26386;0;t0224
dolnoœl¹skie;zgorzelecki;60894;8;27675;0;t0225
dolnoœl¹skie;z³otoryjski;35460;0;16007;0;t0226
dolnoœl¹skie;Jelenia Góra;91351;0;44023;0;t0261
dolnoœl¹skie;Legnica;91574;15;43126;0;t0262
dolnoœl¹skie;Wroc³aw;1063900;182;499921;72;t0264
dolnoœl¹skie;Wa³brzych;213046;0;99443;0;t0265
kujawsko-pomorskie;aleksandrowski;133005;0;63298;0;t0401
kujawsko-pomorskie;brodnicki;73563;0;34550;0;t0402
kujawsko-pomorskie;bydgoski;78192;0;37086;0;t0403
kujawsko-pomorskie;che³miñski;42323;0;19863;0;t0404
kujawsko-pomorskie;golubsko-dobrzyñski;36493;0;16973;0;t0405
kujawsko-pomorskie;grudzi¹dzki;26919;0;12223;0;t0406
kujawsko-pomorskie;inowroc³awski;106075;21;50432;18;t0407
kujawsko-pomorskie;lipnowski;54376;0;25055;0;t0408
kujawsko-pomorskie;mogileñski;33595;0;15670;0;t0409
kujawsko-pomorskie;nakielski;86644;30;38746;6;t0410
kujawsko-pomorskie;radziejowski;45145;0;21165;0;t0411
