wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt;dawka_1_ogolem;dawka_1_dziennie;dawka_3_ogolem;dawka_3_dziennie;dawka_przypominajaca_ogolem;dawka_przypominajaca_dziennie
inne_puste_woj;288;0;116;0;t0;145;0;0;0;27;0
dolnoœl¹skie;4215941;402;1528115;91;t02;1786630;69;16193;0;885003;242
kujawsko-pomorskie;2858225;219;1032953;63;t04;1212251;21;11647;0;601374;135
lubelskie;2437501;113;902110;42;t06;1048312;19;13039;0;474040;52
lubuskie;1472009;70;528819;7;t08;640851;12;5174;0;297165;51
³ódzkie;3447424;606;1269261;181;t10;1456781;86;18091;1;703291;338
ma³opolskie;4397021;676;1633627;195;t12;1887309;58;13274;0;862811;423
mazowieckie;8366240;1564;3048680;564;t14;3527775;236;38988;2;1750797;762
opolskie;1231511;41;455795;29;t16;526249;1;4809;0;244658;11
podkarpackie;2171997;97;823326;12;t18;963789;9;8026;0;376856;76
podlaskie;1483712;66;556589;7;t20;646527;2;5754;0;274842;57
pomorskie;3493544;595;1274089;228;t22;1480250;86;14367;19;724838;262
œl¹skie;6225428;717;2270681;158;t24;2639712;97;19597;2;1295438;460
œwiêtokrzyskie;1499975;224;551766;86;t26;645965;35;6160;0;296084;103
warmiñsko-mazurskie;1831460;199;669615;36;t28;779863;17;10120;0;371862;146
wielkopolskie;5100814;872;1880764;240;t30;2154353;86;19496;2;1046201;544
zachodniopomorskie;2457925;220;882480;49;t32;1052286;32;10323;0;512836;139
ca³y kraj;52691015;6681;19308786;1988;t00;22449048;866;215058;26;10718123;3801
