wojewodztwo;powiat_miasto;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt;dawka_1_ogolem;dawka_1_dziennie;dawka_3_ogolem;dawka_3_dziennie;dawka_przypominajaca_ogolem;dawka_przypominajaca_dziennie
woj_puste;pow_puste;26;0;7;0;t00;6;0;0;0;13;0
dolnoœl¹skie;boles³awiecki;107247;0;38157;0;t0201;46960;0;143;0;21987;0
dolnoœl¹skie;dzier¿oniowski;104988;0;37124;0;t0202;42233;0;149;0;25482;0
dolnoœl¹skie;g³ogowski;104192;0;34778;0;t0203;41921;0;182;0;27311;0
dolnoœl¹skie;górowski;38099;0;13874;0;t0204;16451;0;62;0;7712;0
dolnoœl¹skie;jaworski;59379;0;20628;0;t0205;25130;0;40;0;13581;0
dolnoœl¹skie;jeleniogórski;71738;0;26185;0;t0206;31368;0;394;0;13791;0
dolnoœl¹skie;kamiennogórski;48711;0;17037;0;t0207;19466;0;107;0;12101;0
dolnoœl¹skie;k³odzki;188371;0;67641;0;t0208;77796;0;1338;0;41596;0
dolnoœl¹skie;legnicki;63326;0;21921;0;t0209;27356;0;265;0;13784;0
dolnoœl¹skie;lubañski;47720;10;14622;4;t0210;20274;0;110;0;12714;6
dolnoœl¹skie;lubiñski;175861;0;66603;0;t0211;73503;0;997;0;34758;0
dolnoœl¹skie;lwówecki;62992;0;22684;0;t0212;26419;0;318;0;13571;0
dolnoœl¹skie;milicki;49528;0;18604;0;t0213;20774;0;117;0;10033;0
dolnoœl¹skie;oleœnicki;165443;24;55603;13;t0214;66987;1;524;0;42329;10
dolnoœl¹skie;o³awski;57939;0;22806;0;t0215;25864;0;99;0;9170;0
dolnoœl¹skie;polkowicki;61339;0;21091;0;t0216;26946;0;50;0;13252;0
dolnoœl¹skie;strzeliñski;54464;0;19927;0;t0217;22588;0;518;0;11431;0
dolnoœl¹skie;œredzki;37706;0;12530;0;t0218;14418;0;485;0;10273;0
dolnoœl¹skie;œwidnicki;162197;8;55022;1;t0219;64834;0;1213;0;41128;7
