wojewodztwo;powiat;liczba_nowych_zakazen;liczba_ponownych_zakazen;liczba_wszystkich_zakazen;liczba_nowych_zakazen_na_10_tys_mieszkancow;liczba_ponownych_zakazen_na_10_tys_mieszkancow;liczba_wszystkich_zakazen_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;Ca³y kraj;283;21;304;0.07;0.01;0.08;0;0;0;29;17;0;6187;357;5813;17;t0000;2022-04-18
dolnoœl¹skie;boles³awiecki;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4;0;t0201;2022-04-18
dolnoœl¹skie;dzier¿oniowski;1;0;1;0.10;0;0.10;0;0;0;0;0;0;8;1;7;0;t0202;2022-04-18
dolnoœl¹skie;g³ogowski;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;t0203;2022-04-18
dolnoœl¹skie;górowski;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;t0204;2022-04-18
dolnoœl¹skie;jaworski;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4;0;t0205;2022-04-18
dolnoœl¹skie;jeleniogórski;1;0;1;0.16;0;0.16;0;0;0;0;0;0;6;1;5;0;t0206;2022-04-18
dolnoœl¹skie;kamiennogórski;4;0;4;0.93;0;0.93;0;0;0;0;0;0;5;4;1;0;t0207;2022-04-18
dolnoœl¹skie;k³odzki;0;0;0;0;0;0;0;0;0;0;0;0;16;0;16;0;t0208;2022-04-18
dolnoœl¹skie;legnicki;1;0;1;0.18;0;0.18;0;0;0;0;0;0;4;1;3;0;t0209;2022-04-18
dolnoœl¹skie;lubañski;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;t0210;2022-04-18
dolnoœl¹skie;lubiñski;1;0;1;0.09;0;0.09;0;0;0;0;0;0;5;1;4;0;t0211;2022-04-18
dolnoœl¹skie;lwówecki;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;t0212;2022-04-18
dolnoœl¹skie;milicki;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;t0213;2022-04-18
dolnoœl¹skie;oleœnicki;1;0;1;0.09;0;0.09;0;0;0;0;0;0;10;1;9;0;t0214;2022-04-18
