data;liczba_szczepien_dziennie;dawka_2_dziennie
2020-12-27;2207;0
2020-12-28;4343;0
2020-12-29;10145;1
2020-12-30;20531;1
2020-12-31;10675;1
2021-01-01;1352;0
2021-01-02;2285;0
2021-01-03;655;1
2021-01-04;40896;12
2021-01-05;55700;7
2021-01-06;18839;1
2021-01-07;30517;3
2021-01-08;11871;0
2021-01-09;2267;1
2021-01-10;999;0
2021-01-11;48042;229
2021-01-12;63672;3
2021-01-13;55345;0
2021-01-14;46718;3
2021-01-15;26200;1
2021-01-16;21091;18
2021-01-17;12095;431
2021-01-18;28341;2934
2021-01-19;49350;8163
2021-01-20;50829;14306
2021-01-21;53275;14916
2021-01-22;38213;5281
2021-01-23;16744;1364
2021-01-24;5329;557
2021-01-25;72544;29596
2021-01-26;131537;48154
2021-01-27;103159;26393
2021-01-28;88012;29348
2021-01-29;42037;15987
2021-01-30;15027;3114
2021-01-31;7414;1388
2021-02-01;55347;33010
2021-02-02;112430;57075
2021-02-03;119098;55354
2021-02-04;105133;51100
2021-02-05;50313;29396
2021-02-06;23306;15696
2021-02-07;15287;10149
2021-02-08;31906;11741
2021-02-09;87574;20234
2021-02-10;112704;44564
2021-02-11;111478;58497
2021-02-12;75549;43136
2021-02-13;35545;15172
2021-02-14;14583;4816
2021-02-15;36244;11695
2021-02-16;71736;33472
2021-02-17;154615;83891
2021-02-18;173848;92903
2021-02-19;102011;49800
2021-02-20;35475;7667
2021-02-21;15911;3610
2021-02-22;43128;4100
2021-02-23;71124;20317
2021-02-24;159734;76389
2021-02-25;173071;89896
2021-02-26;102375;44928
2021-02-27;44859;11676
2021-02-28;17725;5627
2021-03-01;45657;5574
2021-03-02;79551;21042
