wojewodztwo;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;3603;0;715;0;
dolnośląskie;348612;5448;124453;642;t02
kujawsko-pomorskie;204000;3348;73105;286;t04
lubelskie;233743;3205;83897;380;t06
lubuskie;99820;1349;36496;133;t08
łódzkie;275745;3671;101922;471;t10
małopolskie;336212;5254;118740;777;t12
mazowieckie;638348;11645;227925;1647;t14
opolskie;103585;1055;36681;81;t16
podkarpackie;205923;2671;73572;322;t18
podlaskie;132372;1657;45512;220;t20
pomorskie;275971;3407;96073;752;t22
śląskie;437737;7206;153953;1280;t24
świętokrzyskie;115261;1499;41377;175;t26
warmińsko-mazurskie;145239;2262;48709;112;t28
wielkopolskie;353962;4367;119280;386;t30
zachodniopomorskie;176730;2704;62760;375;t32
cały kraj;4086863;60748;1445170;8039;t00
