data;liczba_szczepien_dziennie;dawka_2_dziennie
27.12.2020;2176;0
28.12.2020;4393;0
29.12.2020;10091;0
30.12.2020;20398;1
31.12.2020;10617;0
01.01.2021;1346;1
02.01.2021;2258;0
03.01.2021;653;0
04.01.2021;40671;1
05.01.2021;55472;2
06.01.2021;18794;0
07.01.2021;30430;0
08.01.2021;11848;0
09.01.2021;2255;0
10.01.2021;997;0
11.01.2021;47585;3
12.01.2021;63505;0
13.01.2021;55139;0
14.01.2021;46652;1
15.01.2021;26297;0
16.01.2021;21043;17
17.01.2021;12094;419
18.01.2021;28472;2936
19.01.2021;49468;8163
20.01.2021;51095;14384
21.01.2021;53227;14845
22.01.2021;38167;5259
23.01.2021;16723;1356
24.01.2021;5327;557
25.01.2021;73494;29538
26.01.2021;132692;48300
27.01.2021;104126;26604
28.01.2021;89308;29481
29.01.2021;43775;16150
30.01.2021;16260;3114
31.01.2021;8690;1387
01.02.2021;57164;33220
02.02.2021;115222;57636
03.02.2021;122040;55876
04.02.2021;107409;51571
05.02.2021;52030;29553
06.02.2021;24672;15709
07.02.2021;16470;10151
08.02.2021;33156;11765
09.02.2021;90101;20415
10.02.2021;113480;44737
11.02.2021;112141;58876
12.02.2021;75954;43484
13.02.2021;35604;15150
14.02.2021;14685;4859
15.02.2021;36384;11752
16.02.2021;72025;33639
17.02.2021;155572;84642
18.02.2021;174797;93658
19.02.2021;102671;49936
20.02.2021;35633;7677
21.02.2021;15921;3613
22.02.2021;43217;4098
23.02.2021;71440;20346
24.02.2021;160151;76697
25.02.2021;174398;90371
26.02.2021;103207;45299
27.02.2021;44593;11761
28.02.2021;17774;5629
01.03.2021;46011;5625
02.03.2021;81846;21613
03.03.2021;156019;67653
04.03.2021;173019;85678
05.03.2021;107972;44499
06.03.2021;49087;11981
07.03.2021;17834;5350
08.03.2021;34167;3648
09.03.2021;63405;8365
10.03.2021;141933;42696
11.03.2021;161428;68028
12.03.2021;93789;39183
13.03.2021;28996;6664
14.03.2021;11770;3021
15.03.2021;25047;3572
16.03.2021;47181;10652
17.03.2021;132612;43453
18.03.2021;152668;65775
19.03.2021;85261;37675
