wojewodztwo;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;5470;101;1067;25;
dolnośląskie;478325;17294;164492;5711;t02
kujawsko-pomorskie;279570;10380;95691;3377;t04
lubelskie;321796;12983;112389;4253;t06
lubuskie;137719;4900;47010;1424;t08
łódzkie;372780;13731;134740;4602;t10
małopolskie;461619;15659;158082;5254;t12
mazowieckie;868763;29942;300665;10698;t14
opolskie;141397;5466;49298;1857;t16
podkarpackie;288200;11237;98907;3524;t18
podlaskie;186834;7511;64275;2955;t20
pomorskie;373694;12460;129306;4615;t22
śląskie;598478;23319;206400;7124;t24
świętokrzyskie;159859;6734;54896;1941;t26
warmińsko-mazurskie;202844;7883;67120;2325;t28
wielkopolskie;478215;17715;161284;6900;t30
zachodniopomorskie;239227;8414;83160;2632;t32
cały kraj;5594790;205729;1928782;69217;t00
