wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;4;0;0;0;t0
dolnoœl¹skie;2946968;1577;1376682;672;t02
kujawsko-pomorskie;1982492;1533;922885;569;t04
lubelskie;1693142;514;790827;166;t06
lubuskie;1008484;1184;469111;308;t08
³ódzkie;2417684;1402;1138139;564;t10
ma³opolskie;3126658;2189;1463547;1090;t12
mazowieckie;5743037;3869;2696746;1698;t14
opolskie;866641;621;408316;188;t16
podkarpackie;1577328;930;737575;403;t18
podlaskie;1048813;379;492897;94;t20
pomorskie;2414279;1699;1134859;735;t22
œl¹skie;4388983;2889;2053403;1234;t24
œwiêtokrzyskie;1058543;926;493080;381;t26
warmiñsko-mazurskie;1258955;907;588251;384;t28
wielkopolskie;3508435;2673;1659442;1017;t30
zachodniopomorskie;1696641;1193;788210;437;t32
ca³y kraj;36737087;24485;17213970;9940;t00
