wojewodztwo;powiat_miasto;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
woj_puste;pow_puste;4;0;0;0;t00
dolnoœl¹skie;boles³awiecki;77347;171;34192;43;t0201
dolnoœl¹skie;dzier¿oniowski;73497;97;33603;13;t0202
dolnoœl¹skie;g³ogowski;69581;188;30918;26;t0203
dolnoœl¹skie;górowski;27828;21;12442;1;t0204
dolnoœl¹skie;jaworski;41215;72;18236;21;t0205
dolnoœl¹skie;jeleniogórski;54073;59;24426;5;t0206
dolnoœl¹skie;kamiennogórski;33972;49;15598;7;t0207
dolnoœl¹skie;k³odzki;136900;263;62286;36;t0208
dolnoœl¹skie;legnicki;45889;12;20134;0;t0209
dolnoœl¹skie;lubañski;32037;74;13176;18;t0210
dolnoœl¹skie;lubiñski;131261;288;61362;63;t0211
dolnoœl¹skie;lwówecki;44421;34;20195;3;t0212
dolnoœl¹skie;milicki;36450;23;16823;0;t0213
dolnoœl¹skie;oleœnicki;105979;98;47513;31;t0214
dolnoœl¹skie;o³awski;47244;21;21776;0;t0215
dolnoœl¹skie;polkowicki;43602;36;18880;12;t0216
dolnoœl¹skie;strzeliñski;39452;81;18001;18;t0217
dolnoœl¹skie;œredzki;23604;43;10886;4;t0218
dolnoœl¹skie;œwidnicki;109646;157;49071;31;t0219
dolnoœl¹skie;trzebnicki;63219;37;29835;8;t0220
dolnoœl¹skie;wa³brzyski;33554;28;15585;0;t0221
dolnoœl¹skie;wo³owski;44759;79;19585;10;t0222
dolnoœl¹skie;wroc³awski;108649;96;50720;20;t0223
dolnoœl¹skie;z¹bkowicki;59604;52;26891;10;t0224
dolnoœl¹skie;zgorzelecki;63878;124;28158;12;t0225
dolnoœl¹skie;z³otoryjski;36773;65;16296;2;t0226
dolnoœl¹skie;Jelenia Góra;95908;60;44805;13;t0261
dolnoœl¹skie;Legnica;95999;83;43937;16;t0262
dolnoœl¹skie;Wroc³aw;1112711;1176;507094;132;t0264
dolnoœl¹skie;Wa³brzych;221510;210;100675;37;t0265
kujawsko-pomorskie;aleksandrowski;137156;205;64151;27;t0401
kujawsko-pomorskie;brodnicki;76902;93;35435;9;t0402
kujawsko-pomorskie;bydgoski;81156;131;37851;29;t0403
kujawsko-pomorskie;che³miñski;44491;73;20395;23;t0404
kujawsko-pomorskie;golubsko-dobrzyñski;37936;15;17364;11;t0405
kujawsko-pomorskie;grudzi¹dzki;27896;56;12564;21;t0406
kujawsko-pomorskie;inowroc³awski;110349;105;51326;9;t0407
kujawsko-pomorskie;lipnowski;56657;55;25713;4;t0408
kujawsko-pomorskie;mogileñski;35311;37;16225;8;t0409
kujawsko-pomorskie;nakielski;89970;50;39529;12;t0410
kujawsko-pomorskie;radziejowski;46463;64;21505;3;t0411
kujawsko-pomorskie;rypiñski;38087;24;17639;2;t0412
kujawsko-pomorskie;sêpoleñski;51396;133;23052;11;t0413
kujawsko-pomorskie;œwiecki;83459;105;37697;24;t0414
kujawsko-pomorskie;toruñski;75434;86;32727;14;t0415
kujawsko-pomorskie;tucholski;41450;46;18776;23;t0416
kujawsko-pomorskie;w¹brzeski;30119;23;13425;4;t0417
kujawsko-pomorskie;w³oc³awski;68625;139;32257;8;t0418
kujawsko-pomorskie;¿niñski;55346;17;25952;13;t0419
kujawsko-pomorskie;Bydgoszcz;462020;812;209387;104;t0461
kujawsko-pomorskie;Grudzi¹dz;130362;64;59265;14;t0462
kujawsko-pomorskie;Toruñ;209272;385;93574;45;t0463
kujawsko-pomorskie;W³oc³awek;101278;119;44543;21;t0464
lubelskie;bialski;65581;153;29272;8;t0601
lubelskie;bi³gorajski;58027;127;26868;13;t0602
lubelskie;che³mski;38353;63;17717;16;t0603
lubelskie;hrubieszowski;48264;102;21617;14;t0604
lubelskie;janowski;33549;77;15307;11;t0605
lubelskie;krasnostawski;43989;123;19839;16;t0606
lubelskie;kraœnicki;71318;261;32824;46;t0607
lubelskie;lubartowski;59456;122;27290;22;t0608
lubelskie;lubelski;90541;110;40355;10;t0609
lubelskie;³êczyñski;42633;49;19875;9;t0610
lubelskie;³ukowski;60694;105;27909;25;t0611
lubelskie;opolski;48591;45;21913;22;t0612
lubelskie;parczewski;30174;12;13536;1;t0613
lubelskie;pu³awski;105087;209;48730;27;t0614
lubelskie;radzyñski;32941;64;15218;14;t0615
lubelskie;rycki;56561;110;26658;35;t0616
lubelskie;œwidnicki;50421;134;23244;30;t0617
lubelskie;tomaszowski;59553;128;27107;11;t0618
lubelskie;w³odawski;37085;98;16799;2;t0619
lubelskie;zamojski;51685;84;24613;11;t0620
lubelskie;Bia³a Podlaska;75748;163;34522;32;t0661
lubelskie;Che³m;67826;133;30172;21;t0662
lubelskie;Lublin;481495;831;211679;92;t0663
lubelskie;Zamoœæ;95727;178;43963;27;t0664
lubuskie;gorzowski;31783;52;14415;8;t0801
lubuskie;kroœnieñski;53807;101;24863;24;t0802
lubuskie;miêdzyrzecki;70753;100;32312;18;t0803
lubuskie;nowosolski;98332;109;42822;16;t0804
lubuskie;s³ubicki;41168;41;19195;6;t0805
lubuskie;strzelecko-drezdenecki;54350;102;23584;28;t0806
lubuskie;sulêciñski;33710;60;14812;9;t0807
lubuskie;œwiebodziñski;58015;10;26281;1;t0808
lubuskie;zielonogórski;93307;65;42612;3;t0809
lubuskie;¿agañski;73162;74;32419;9;t0810
lubuskie;¿arski;105570;172;48592;21;t0811
lubuskie;wschowski;29099;0;13726;0;t0812
lubuskie;Gorzów Wielkopolski;164822;460;72925;60;t0861
lubuskie;Zielona Góra;161677;368;74582;102;t0862
³ódzkie;be³chatowski;78275;19;35243;1;t1001
³ódzkie;kutnowski;93918;120;44785;15;t1002
³ódzkie;³aski;38072;35;17864;8;t1003
³ódzkie;³êczycki;54715;124;24782;21;t1004
³ódzkie;³owicki;94563;93;44461;7;t1005
³ódzkie;³ódzki wschodni;39855;91;17652;32;t1006
³ódzkie;opoczyñski;63055;23;28209;1;t1007
³ódzkie;pabianicki;115203;203;53370;40;t1008
³ódzkie;pajêczañski;31021;32;14022;23;t1009
³ódzkie;piotrkowski;52688;24;24292;3;t1010
³ódzkie;poddêbicki;39165;28;18303;11;t1011
³ódzkie;radomszczañski;94050;79;43474;5;t1012
³ódzkie;rawski;30915;32;13967;4;t1013
³ódzkie;sieradzki;105790;190;47627;73;t1014
³ódzkie;skierniewicki;25054;0;11713;0;t1015
³ódzkie;tomaszowski;111469;85;51820;13;t1016
³ódzkie;wieluñski;91615;96;42918;5;t1017
³ódzkie;wieruszowski;34921;6;15567;0;t1018
³ódzkie;zduñskowolski;53034;68;24212;23;t1019
³ódzkie;zgierski;138177;185;63580;22;t1020
³ódzkie;brzeziñski;36515;0;17127;0;t1021
³ódzkie;£ódŸ;959995;1623;440111;155;t1061
³ódzkie;Piotrków Trybunalski;88148;186;39920;46;t1062
³ódzkie;Skierniewice;76736;22;35407;11;t1063
ma³opolskie;bocheñski;82309;83;36534;20;t1201
ma³opolskie;brzeski;70445;147;32253;20;t1202
ma³opolskie;chrzanowski;116634;118;52617;22;t1203
ma³opolskie;d¹browski;44513;17;20621;0;t1204
ma³opolskie;gorlicki;90304;160;41860;19;t1205
ma³opolskie;krakowski;168523;208;77550;24;t1206
ma³opolskie;limanowski;93101;43;42248;0;t1207
ma³opolskie;miechowski;63363;69;29929;6;t1208
ma³opolskie;myœlenicki;108937;108;50528;2;t1209
ma³opolskie;nowos¹decki;136432;174;60475;19;t1210
ma³opolskie;nowotarski;137118;155;61488;21;t1211
ma³opolskie;olkuski;113805;52;52352;0;t1212
ma³opolskie;oœwiêcimski;127158;132;59169;31;t1213
ma³opolskie;proszowicki;45956;0;21659;0;t1214
ma³opolskie;suski;72379;63;33839;17;t1215
ma³opolskie;tarnowski;99549;20;45773;2;t1216
ma³opolskie;tatrzañski;37563;49;17279;9;t1217
ma³opolskie;wadowicki;126108;58;56056;11;t1218
ma³opolskie;wielicki;116317;145;52124;28;t1219
ma³opolskie;Kraków;1245634;1772;576153;220;t1261
ma³opolskie;Nowy S¹cz;67595;58;31335;3;t1262
ma³opolskie;Tarnów;121360;80;54122;9;t1263
mazowieckie;bia³obrzeski;37488;0;17607;0;t1401
mazowieckie;ciechanowski;84253;83;39182;7;t1402
mazowieckie;garwoliñski;86822;70;41058;22;t1403
mazowieckie;gostyniñski;29972;0;14218;0;t1404
mazowieckie;grodziski;100473;63;45551;20;t1405
mazowieckie;grójecki;110607;217;51253;22;t1406
mazowieckie;kozienicki;46502;94;21829;13;t1407
mazowieckie;legionowski;81958;175;35148;28;t1408
mazowieckie;lipski;27862;69;13000;7;t1409
mazowieckie;³osicki;19675;24;9312;8;t1410
mazowieckie;makowski;44227;73;19935;8;t1411
mazowieckie;miñski;135919;270;60361;67;t1412
mazowieckie;m³awski;64382;61;30180;14;t1413
mazowieckie;nowodworski;119485;170;54309;26;t1414
mazowieckie;ostro³êcki;52090;55;24132;0;t1415
mazowieckie;ostrowski;53186;17;25731;0;t1416
mazowieckie;otwocki;98182;204;46036;27;t1417
mazowieckie;piaseczyñski;258135;342;117750;42;t1418
mazowieckie;p³ocki;90346;218;42313;25;t1419
mazowieckie;p³oñski;83721;120;38423;12;t1420
mazowieckie;pruszkowski;143840;244;66475;57;t1421
mazowieckie;przasnyski;52876;12;24870;0;t1422
mazowieckie;przysuski;30390;80;14168;46;t1423
mazowieckie;pu³tuski;48996;53;22997;11;t1424
mazowieckie;radomski;67430;75;31321;11;t1425
mazowieckie;siedlecki;32700;65;15481;9;t1426
mazowieckie;sierpecki;47023;102;22179;21;t1427
mazowieckie;sochaczewski;87350;140;40721;18;t1428
mazowieckie;soko³owski;44633;127;20580;24;t1429
mazowieckie;szyd³owiecki;22278;17;9674;0;t1430
mazowieckie;warszawski zachodni;121073;167;56370;53;t1432
mazowieckie;wêgrowski;49044;101;22999;21;t1433
mazowieckie;wo³omiñski;224579;324;99524;63;t1434
mazowieckie;wyszkowski;66363;98;31094;9;t1435
mazowieckie;zwoleñski;29745;15;14078;6;t1436
mazowieckie;¿uromiñski;30982;51;15106;17;t1437
mazowieckie;¿yrardowski;60884;80;27975;14;t1438
mazowieckie;Ostro³êka;74794;126;34710;19;t1461
mazowieckie;P³ock;137843;166;61841;21;t1462
mazowieckie;Radom;246048;423;111128;50;t1463
mazowieckie;Siedlce;122780;122;56969;38;t1464
mazowieckie;Warszawa;2721106;3468;1237229;485;t1465
opolskie;brzeski;74363;77;34416;2;t1601
opolskie;g³ubczycki;43527;82;20036;19;t1602
opolskie;kêdzierzyñsko-kozielski;84439;264;39117;26;t1603
opolskie;kluczborski;57317;47;26720;2;t1604
opolskie;krapkowicki;100621;95;45760;9;t1605
opolskie;namys³owski;29775;119;13782;8;t1606
opolskie;nyski;98781;169;46189;28;t1607
opolskie;oleski;50959;36;23917;8;t1608
opolskie;opolski;69334;133;31702;18;t1609
opolskie;prudnicki;41861;55;19228;13;t1610
opolskie;strzelecki;59793;73;27271;11;t1611
opolskie;Opole;198658;360;90519;36;t1661
podkarpackie;bieszczadzki;10908;27;5108;8;t1801
podkarpackie;brzozowski;48355;10;22413;0;t1802
podkarpackie;dêbicki;69089;143;29528;24;t1803
podkarpackie;jaros³awski;62277;120;27751;13;t1804
podkarpackie;jasielski;64194;144;28117;8;t1805
podkarpackie;kolbuszowski;23921;38;10992;2;t1806
podkarpackie;kroœnieñski;52125;18;24737;3;t1807
podkarpackie;le¿ajski;43820;119;19570;22;t1808
podkarpackie;lubaczowski;35182;71;16066;19;t1809
podkarpackie;³añcucki;43883;121;20534;14;t1810
podkarpackie;mielecki;91225;98;42866;20;t1811
podkarpackie;ni¿añski;34747;30;16453;0;t1812
podkarpackie;przemyski;20733;0;9962;0;t1813
podkarpackie;przeworski;31971;50;15082;9;t1814
podkarpackie;ropczycko-sêdziszowski;41125;150;18416;34;t1815
podkarpackie;rzeszowski;57950;80;26533;15;t1816
podkarpackie;sanocki;41114;75;18440;10;t1817
podkarpackie;stalowowolski;78554;204;36062;29;t1818
podkarpackie;strzy¿owski;29063;91;13971;17;t1819
podkarpackie;tarnobrzeski;17306;47;7634;5;t1820
podkarpackie;leski;14953;10;7029;2;t1821
podkarpackie;Krosno;47023;86;21771;16;t1861
podkarpackie;Przemyœl;50560;117;21989;11;t1862
podkarpackie;Rzeszów;589887;679;268597;87;t1863
podkarpackie;Tarnobrzeg;65195;95;30013;18;t1864
podlaskie;augustowski;45549;69;20666;20;t2001
podlaskie;bia³ostocki;67178;88;31165;9;t2002
podlaskie;bielski;38928;51;18018;1;t2003
podlaskie;grajewski;30257;51;14267;9;t2004
podlaskie;hajnowski;31324;91;14257;13;t2005
podlaskie;kolneñski;23904;37;10990;23;t2006
podlaskie;³om¿yñski;16826;37;7959;12;t2007
podlaskie;moniecki;24416;38;11369;15;t2008
podlaskie;sejneñski;12780;1;5956;0;t2009
podlaskie;siemiatycki;33215;35;15805;6;t2010
podlaskie;sokólski;45905;97;21670;9;t2011
podlaskie;suwalski;9075;12;4264;3;t2012
podlaskie;wysokomazowiecki;50145;153;23362;30;t2013
podlaskie;zambrowski;29503;139;13264;10;t2014
podlaskie;Bia³ystok;517693;632;233881;87;t2061
podlaskie;£om¿a;72409;117;33598;16;t2062
podlaskie;Suwa³ki;61677;129;27253;16;t2063
pomorskie;bytowski;71485;160;32565;37;t2201
pomorskie;chojnicki;92116;173;42460;31;t2202
pomorskie;cz³uchowski;43814;17;19216;1;t2203
pomorskie;gdañski;63407;59;29565;8;t2204
pomorskie;kartuski;98800;53;45592;18;t2205
pomorskie;koœcierski;67556;141;31340;37;t2206
pomorskie;kwidzyñski;68362;124;31506;28;t2207
pomorskie;lêborski;62034;108;28086;22;t2208
pomorskie;malborski;44532;128;20673;12;t2209
pomorskie;nowodworski;34646;14;15816;1;t2210
pomorskie;pucki;62336;52;28807;6;t2211
pomorskie;s³upski;49414;124;22868;7;t2212
pomorskie;starogardzki;106573;125;49191;30;t2213
pomorskie;tczewski;88851;153;39597;25;t2214
pomorskie;wejherowski;168764;150;77821;19;t2215
pomorskie;sztumski;44845;28;20244;9;t2216
pomorskie;Gdañsk;865053;1015;397352;124;t2261
pomorskie;Gdynia;305632;428;133740;53;t2262
pomorskie;S³upsk;122462;199;56416;26;t2263
