data;liczba_szczepien_dziennie;dawka_2_dziennie;dawka_1_dziennie;dawka_3_dziennie;dawka_przypomianjaca_dziennie
2020-12-27;2161;0;2161;0;0
2020-12-28;4369;0;4369;0;0
2020-12-29;10009;0;10009;0;0
2020-12-30;20278;0;20278;0;0
2020-12-31;10599;0;10598;1;0
2021-01-01;1348;2;1346;0;0
2021-01-02;2258;0;2258;0;0
2021-01-03;640;0;640;0;0
2021-01-04;40521;1;40520;0;0
2021-01-05;55251;1;55250;0;0
2021-01-06;18726;0;18726;0;0
2021-01-07;30297;0;30297;0;0
2021-01-08;11806;0;11806;0;0
2021-01-09;2258;0;2258;0;0
2021-01-10;992;2;990;0;0
2021-01-11;47541;3;47538;0;0
2021-01-12;63294;0;63294;0;0
2021-01-13;55070;1;55069;0;0
2021-01-14;46496;2;46494;0;0
2021-01-15;26219;1;26218;0;0
2021-01-16;20961;17;20944;0;0
2021-01-17;12048;435;11613;0;0
2021-01-18;28289;2945;25342;2;0
2021-01-19;49409;8124;41285;0;0
2021-01-20;51182;14482;36700;0;0
2021-01-21;52965;14799;38166;0;0
2021-01-22;38177;5264;32913;0;0
2021-01-23;16847;1362;15485;0;0
2021-01-24;5355;557;4798;0;0
2021-01-25;73243;29552;43691;0;0
2021-01-26;132808;48404;84403;1;0
2021-01-27;104673;26601;78072;0;0
2021-01-28;89454;29515;59939;0;0
2021-01-29;43725;16137;27588;0;0
2021-01-30;16252;3126;13126;0;0
2021-01-31;8680;1395;7285;0;0
2021-02-01;57126;33377;23749;0;0
2021-02-02;114649;57511;57138;0;0
2021-02-03;121762;56092;65670;0;0
2021-02-04;107270;51676;55594;0;0
2021-02-05;52061;29683;22378;0;0
2021-02-06;24670;15735;8935;0;0
2021-02-07;16390;10188;6202;0;0
2021-02-08;33088;11771;21317;0;0
2021-02-09;89733;20255;69477;1;0
2021-02-10;113345;45104;68241;0;0
2021-02-11;111850;59066;52784;0;0
2021-02-12;75836;43798;32038;0;0
2021-02-13;35654;15300;20354;0;0
2021-02-14;14712;4881;9831;0;0
2021-02-15;36304;11795;24509;0;0
2021-02-16;71792;33987;37805;0;0
2021-02-17;155059;85906;69151;2;0
2021-02-18;174722;95048;79674;0;0
2021-02-19;103272;50437;52835;0;0
2021-02-20;36003;7736;28267;0;0
2021-02-21;16050;3628;12422;0;0
2021-02-22;43401;4152;39249;0;0
2021-02-23;71909;20596;51313;0;0
2021-02-24;160919;77205;83713;0;1
2021-02-25;175002;90861;84141;0;0
2021-02-26;103676;45763;57913;0;0
2021-02-27;44770;11939;32831;0;0
2021-02-28;18060;5843;12217;0;0
2021-03-01;46119;5429;40690;0;0
2021-03-02;82454;21837;60617;0;0
2021-03-03;156802;68157;88643;2;0
2021-03-04;174015;86061;87954;0;0
2021-03-05;108780;44778;64001;1;0
2021-03-06;49841;12098;37743;0;0
2021-03-07;18006;5398;12608;0;0
2021-03-08;34583;3690;30893;0;0
2021-03-09;63867;8445;55422;0;0
2021-03-10;143316;43135;100181;0;0
2021-03-11;162885;68488;94396;1;0
2021-03-12;95098;39662;55436;0;0
2021-03-13;29949;6747;23202;0;0
2021-03-14;11866;3043;8823;0;0
2021-03-15;25797;3559;22238;0;0
2021-03-16;47863;10750;37113;0;0
2021-03-17;133936;43975;89961;0;0
2021-03-18;155299;66795;88504;0;0
2021-03-19;89451;39045;50405;1;0
2021-03-20;29773;10304;19469;0;0
2021-03-21;10649;3082;7567;0;0
2021-03-22;51937;3984;47952;1;0
2021-03-23;117999;20007;97992;0;0
2021-03-24;191995;50255;141740;0;0
2021-03-25;216491;71949;144542;0;0
2021-03-26;162317;40798;121519;0;0
2021-03-27;92172;15051;77121;0;0
2021-03-28;35739;6938;28801;0;0
2021-03-29;80141;9897;70244;0;0
2021-03-30;117625;16137;101488;0;0
2021-03-31;190862;20797;170065;0;0
2021-04-01;205263;19561;185702;0;0
2021-04-02;153105;11327;141778;0;0
2021-04-03;36378;2767;33611;0;0
2021-04-04;3342;354;2988;0;0
2021-04-05;3895;531;3364;0;0
2021-04-06;126181;8162;118019;0;0
2021-04-07;220567;7401;213166;0;0
2021-04-08;258429;5864;252565;0;0
2021-04-09;220717;4715;216002;0;0
2021-04-10;154538;4202;150336;0;0
2021-04-11;44747;789;43958;0;0
2021-04-12;106516;7040;99476;0;0
2021-04-13;186924;23415;163509;0;0
2021-04-14;254872;53977;200895;0;0
2021-04-15;268116;59411;208704;0;1
2021-04-16;201380;28331;173049;0;0
2021-04-17;140756;11988;128768;0;0
2021-04-18;39808;4046;35762;0;0
2021-04-19;109473;13108;96365;0;0
2021-04-20;203194;34348;168846;0;0
2021-04-21;283301;74666;208635;0;0
2021-04-22;306655;79614;227041;0;0
2021-04-23;260289;46916;213373;0;0
2021-04-24;206126;24543;181583;0;0
2021-04-25;56094;9295;46799;0;0
2021-04-26;139821;30933;108888;0;0
2021-04-27;254161;58841;195320;0;0
2021-04-28;345632;99610;246021;1;0
2021-04-29;388486;109150;279336;0;0
2021-04-30;358247;75225;283022;0;0
2021-05-01;121951;15599;106351;1;0
2021-05-02;59475;10200;49275;0;0
2021-05-03;47139;5554;41585;0;0
2021-05-04;234749;63329;171420;0;0
2021-05-05;399538;122929;276609;0;0
2021-05-06;424617;142098;282519;0;0
2021-05-07;379618;124959;254659;0;0
2021-05-08;258782;63722;195060;0;0
2021-05-09;82474;14871;67603;0;0
2021-05-10;188780;52615;136165;0;0
2021-05-11;321395;109887;211508;0;0
2021-05-12;434764;181208;253556;0;0
2021-05-13;442112;193979;248133;0;0
2021-05-14;373998;152511;221487;0;0
2021-05-15;278099;110745;167354;0;0
2021-05-16;90357;29685;60672;0;0
2021-05-17;149262;50286;98976;0;0
2021-05-18;331515;125934;205581;0;0
2021-05-19;446394;186089;260305;0;0
2021-05-20;445740;201311;244429;0;0
2021-05-21;357104;155422;201682;0;0
2021-05-22;241300;111155;130145;0;0
2021-05-23;68122;35643;32479;0;0
2021-05-24;135650;76915;58735;0;0
2021-05-25;306253;158366;147887;0;0
2021-05-26;397536;212381;185155;0;0
2021-05-27;387223;232310;154913;0;0
2021-05-28;349976;202502;147474;0;0
2021-05-29;278734;151969;126765;0;0
2021-05-30;91916;44189;47727;0;0
2021-05-31;167756;98609;69147;0;0
2021-06-01;467064;270541;196523;0;0
2021-06-02;652726;401554;251172;0;0
2021-06-03;141179;64701;76478;0;0
2021-06-04;431329;257200;174129;0;0
2021-06-05;271996;120519;151477;0;0
2021-06-06;99128;41019;58109;0;0
2021-06-07;203372;127788;75584;0;0
2021-06-08;401377;243126;158251;0;0
2021-06-09;507820;303277;204543;0;0
2021-06-10;485345;298129;187216;0;0
2021-06-11;425848;266671;159177;0;0
2021-06-12;318883;182349;136534;0;0
2021-06-13;102756;58877;43879;0;0
2021-06-14;214214;168554;45660;0;0
2021-06-15;375470;264621;110849;0;0
2021-06-16;434224;280898;153326;0;0
2021-06-17;403045;272743;130302;0;0
2021-06-18;326489;220881;105608;0;0
2021-06-19;220717;135884;84833;0;0
2021-06-20;66560;43807;22753;0;0
2021-06-21;168944;137661;31283;0;0
2021-06-22;341944;262485;79459;0;0
2021-06-23;400892;291829;109063;0;0
2021-06-24;381483;283294;98189;0;0
2021-06-25;310104;233960;76144;0;0
2021-06-26;203351;134411;68940;0;0
2021-06-27;61041;42213;18828;0;0
2021-06-28;146508;115171;31337;0;0
2021-06-29;288787;217857;70930;0;0
2021-06-30;357550;254909;102641;0;0
2021-07-01;299917;220308;79609;0;0
2021-07-02;243986;175472;68514;0;0
2021-07-03;172748;119383;53364;1;0
2021-07-04;50618;34029;16589;0;0
2021-07-05;118889;86731;32158;0;0
2021-07-06;251356;207688;43668;0;0
2021-07-07;341718;283410;58308;0;0
2021-07-08;264173;203188;60985;0;0
2021-07-09;256391;197498;58893;0;0
2021-07-10;209903;167632;42271;0;0
2021-07-11;63071;48724;14347;0;0
2021-07-12;115357;82480;32877;0;0
2021-07-13;216769;172803;43966;0;0
2021-07-14;286778;227191;59587;0;0
2021-07-15;257638;195308;62330;0;0
2021-07-16;209939;150655;59283;1;0
2021-07-17;157800;114037;43763;0;0
2021-07-18;41841;25862;15979;0;0
2021-07-19;84028;50894;33134;0;0
2021-07-20;164656;118475;46181;0;0
2021-07-21;210397;156649;53748;0;0
2021-07-22;179936;126422;53514;0;0
2021-07-23;156608;102411;54197;0;0
2021-07-24;97934;61529;36405;0;0
2021-07-25;29685;14232;15453;0;0
2021-07-26;72401;41847;30553;1;0
2021-07-27;115146;71329;43816;1;0
2021-07-28;141728;87965;53763;0;0
2021-07-29;134469;82800;51668;0;1
2021-07-30;120664;70057;50607;0;0
2021-07-31;78708;40865;37843;0;0
2021-08-01;31272;7836;23436;0;0
2021-08-02;52829;25460;27368;1;0
2021-08-03;82923;43311;39612;0;0
2021-08-04;109352;61344;48008;0;0
2021-08-05;110272;60928;49343;1;0
2021-08-06;104037;54020;50017;0;0
2021-08-07;60624;27963;32661;0;0
2021-08-08;19010;5368;13642;0;0
2021-08-09;46874;21367;25507;0;0
2021-08-10;69510;33445;36065;0;0
2021-08-11;82000;40152;41848;0;0
2021-08-12;81098;40327;40771;0;0
2021-08-13;79858;41142;38714;2;0
2021-08-14;44025;17957;26067;0;1
2021-08-15;27884;4171;23713;0;0
2021-08-16;42510;21550;20960;0;0
2021-08-17;59338;30172;29166;0;0
2021-08-18;75421;38220;37200;1;0
2021-08-19;72081;38747;33333;0;1
2021-08-20;74429;39025;35403;1;0
2021-08-21;42844;19395;23449;0;0
2021-08-22;19476;4086;15390;0;0
2021-08-23;37333;18489;18843;0;1
2021-08-24;53488;27390;26097;1;0
2021-08-25;67075;34104;32971;0;0
2021-08-26;68016;35871;32145;0;0
2021-08-27;72994;38098;34896;0;0
2021-08-28;44892;18805;26087;0;0
2021-08-29;22485;4233;18252;0;0
2021-08-30;37927;18502;19425;0;0
2021-08-31;51731;27161;24570;0;0
2021-09-01;48987;26346;22570;66;5
2021-09-02;54048;28918;24716;396;18
2021-09-03;59171;29242;29361;552;16
2021-09-04;32489;13454;18898;135;2
2021-09-05;14344;2757;11515;69;3
2021-09-06;26465;12348;13731;376;10
2021-09-07;36904;17539;18658;674;33
2021-09-08;44649;21979;21947;684;39
2021-09-09;45571;22842;21907;785;37
2021-09-10;50627;24242;25561;804;20
2021-09-11;27236;10609;16356;267;4
2021-09-12;11653;2209;9404;38;2
2021-09-13;23373;10142;12106;1104;21
2021-09-14;32915;14710;16924;1248;33
2021-09-15;41178;19186;20845;1098;49
2021-09-16;43239;19837;22164;1183;55
2021-09-17;51410;22809;27479;1072;50
2021-09-18;26238;9593;16298;332;15
2021-09-19;10055;2282;7702;68;3
2021-09-20;23891;10453;12521;884;33
2021-09-21;34817;15062;18457;1218;80
2021-09-22;40049;16437;21646;1812;154
2021-09-23;42747;16870;21359;2395;2123
2021-09-24;64544;20584;25254;4642;14064
2021-09-25;33588;8974;14846;2096;7672
2021-09-26;12394;1858;7857;436;2243
2021-09-27;47493;9188;12649;5001;20655
2021-09-28;62300;12548;14657;5833;29262
2021-09-29;78099;15819;19027;7286;35967
2021-09-30;82845;17686;18599;8245;38315
2021-10-01;85323;17801;20977;6806;39739
2021-10-02;32661;7205;10568;1979;12909
2021-10-03;6933;1307;2972;294;2360
2021-10-04;43975;7366;10387;3267;22955
2021-10-05;62573;11017;13318;5167;33071
2021-10-06;76762;13358;15444;6867;41093
2021-10-07;82397;16014;16508;7361;42514
2021-10-08;86645;19439;21054;6205;39947
