wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt;dawka_1_ogolem;dawka_1_dziennie;dawka_3_ogolem;dawka_3_dziennie;dawka_przypominajaca_ogolem;dawka_przypominajaca_dziennie
inne_puste_woj;6;0;1;0;t0;5;0;0;0;0;0
dolnoœl¹skie;3690406;200;1456412;1;t02;1714261;16;15669;0;504064;183
kujawsko-pomorskie;2489395;0;979398;0;t04;1160545;0;10405;0;339047;0
lubelskie;2163890;0;861780;0;t06;1011181;0;12438;0;278491;0
lubuskie;1292187;0;500811;0;t08;613248;0;4828;0;173300;0
³ódzkie;3026882;0;1209025;0;t10;1399133;0;17128;0;401596;0
ma³opolskie;3853144;82;1553749;2;t12;1815404;2;11659;0;472332;78
mazowieckie;7312691;285;2887741;12;t14;3378224;13;37025;0;1009701;260
opolskie;1080561;0;432670;0;t16;504756;0;3684;0;139451;0
podkarpackie;1954195;10;787201;1;t18;930542;0;7312;0;229140;9
podlaskie;1327751;0;531757;0;t20;622985;0;5132;0;167877;0
pomorskie;3046100;41;1206213;0;t22;1410242;6;12789;1;416856;34
œl¹skie;5457037;45;2167353;0;t24;2536759;16;17233;0;735692;29
œwiêtokrzyskie;1316958;36;526852;6;t26;620960;4;5790;0;163356;26
warmiñsko-mazurskie;1588023;0;633610;0;t28;742379;0;9588;0;202446;0
wielkopolskie;4396427;78;1770735;1;t30;2051134;28;18696;2;555862;47
zachodniopomorskie;2162359;5;840721;4;t32;1009858;1;9941;0;301839;0
ca³y kraj;46158012;782;18346029;27;t00;21521616;86;199317;3;6091050;666
