wojewodztwo;powiat_miasto;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt;dawka_1_ogolem;dawka_1_dziennie;dawka_3_ogolem;dawka_3_dziennie;dawka_przypominajaca_ogolem;dawka_przypominajaca_dziennie
woj_puste;pow_puste;7;0;1;0;t00;1;0;0;0;5;0
dolnoœl¹skie;boles³awiecki;108628;0;38499;0;t0201;47132;0;145;0;22852;0
dolnoœl¹skie;dzier¿oniowski;106552;0;37503;0;t0202;42371;0;153;0;26525;0
dolnoœl¹skie;g³ogowski;105664;0;35128;0;t0203;42067;0;184;0;28285;0
dolnoœl¹skie;górowski;38352;0;13953;0;t0204;16465;0;74;0;7860;0
dolnoœl¹skie;jaworski;59962;0;20758;0;t0205;25188;0;44;0;13972;0
dolnoœl¹skie;jeleniogórski;72438;0;26287;0;t0206;31442;0;401;0;14308;0
dolnoœl¹skie;kamiennogórski;49342;0;17210;0;t0207;19524;0;107;0;12501;0
dolnoœl¹skie;k³odzki;190499;0;68126;0;t0208;77958;0;1318;0;43097;0
dolnoœl¹skie;legnicki;63681;0;22011;0;t0209;27385;0;268;0;14017;0
dolnoœl¹skie;lubañski;48611;0;14802;0;t0210;20409;0;110;0;13290;0
dolnoœl¹skie;lubiñski;177378;0;66883;0;t0211;73667;0;1008;0;35820;0
dolnoœl¹skie;lwówecki;63687;0;22864;0;t0212;26502;0;319;0;14002;0
dolnoœl¹skie;milicki;50038;0;18750;0;t0213;20816;0;120;0;10352;0
dolnoœl¹skie;oleœnicki;168513;0;56269;0;t0214;67334;0;507;0;44403;0
dolnoœl¹skie;o³awski;58260;0;22870;0;t0215;25881;0;99;0;9410;0
dolnoœl¹skie;polkowicki;61878;0;21231;0;t0216;26998;0;52;0;13597;0
dolnoœl¹skie;strzeliñski;55153;0;20096;0;t0217;22655;0;518;0;11884;0
dolnoœl¹skie;œredzki;38368;0;12663;0;t0218;14479;0;484;0;10742;0
dolnoœl¹skie;œwidnicki;164696;0;55550;0;t0219;65040;0;1261;0;42845;0
dolnoœl¹skie;trzebnicki;90743;0;33394;0;t0220;35443;0;453;0;21453;0
dolnoœl¹skie;wa³brzyski;45825;0;17069;0;t0221;18483;0;259;0;10014;0
dolnoœl¹skie;wo³owski;63645;0;22163;0;t0222;27960;0;320;0;13202;0
dolnoœl¹skie;wroc³awski;161132;0;57897;0;t0223;63831;0;1245;0;38159;0
dolnoœl¹skie;z¹bkowicki;81668;0;29391;0;t0224;34454;0;339;0;17484;0
dolnoœl¹skie;zgorzelecki;95840;0;31801;0;t0225;39128;0;231;0;24680;0
dolnoœl¹skie;z³otoryjski;53500;0;18372;0;t0226;22270;0;223;0;12635;0
dolnoœl¹skie;Jelenia Góra;135299;0;49308;0;t0261;53828;0;460;0;31703;0
dolnoœl¹skie;Legnica;136560;0;48708;0;t0262;56009;0;496;0;31347;0
dolnoœl¹skie;Wroc³aw;1523507;0;552649;0;t0264;632614;0;4735;0;333509;0
dolnoœl¹skie;Wa³brzych;276994;0;106598;0;t0265;122642;0;830;0;46924;0
kujawsko-pomorskie;aleksandrowski;160300;0;67066;0;t0401;73176;0;531;0;19527;0
kujawsko-pomorskie;brodnicki;106342;0;39720;0;t0402;44667;0;1506;0;20449;0
kujawsko-pomorskie;bydgoski;115203;0;42428;0;t0403;46588;0;401;0;25786;0
kujawsko-pomorskie;che³miñski;63374;0;23017;0;t0404;25535;0;52;0;14770;0
kujawsko-pomorskie;golubsko-dobrzyñski;49156;0;18744;0;t0405;21285;0;341;0;8786;0
kujawsko-pomorskie;grudzi¹dzki;37703;0;13893;0;t0406;16555;0;25;0;7230;0
kujawsko-pomorskie;inowroc³awski;153821;0;56816;0;t0407;62390;0;526;0;34089;0
kujawsko-pomorskie;lipnowski;77689;0;28805;0;t0408;33270;0;347;0;15267;0
kujawsko-pomorskie;mogileñski;55103;0;19088;0;t0409;21837;0;189;0;13989;0
kujawsko-pomorskie;nakielski;128150;0;44323;0;t0410;55999;0;493;0;27335;0
kujawsko-pomorskie;radziejowski;60186;0;23232;0;t0411;25851;0;653;0;10450;0
kujawsko-pomorskie;rypiñski;53532;0;19612;0;t0412;22133;0;112;0;11675;0
kujawsko-pomorskie;sêpoleñski;66602;0;24914;0;t0413;29785;0;140;0;11763;0
kujawsko-pomorskie;œwiecki;120670;0;42567;0;t0414;50067;0;412;0;27624;0
kujawsko-pomorskie;toruñski;97927;0;35653;0;t0415;44338;0;435;0;17501;0
kujawsko-pomorskie;tucholski;57964;0;21112;0;t0416;24235;0;209;0;12408;0
kujawsko-pomorskie;w¹brzeski;41547;0;14994;0;t0417;17771;0;278;0;8504;0
kujawsko-pomorskie;w³oc³awski;92390;0;35555;0;t0418;38712;0;281;0;17842;0
kujawsko-pomorskie;¿niñski;72939;0;28504;0;t0419;31006;0;543;0;12886;0
kujawsko-pomorskie;Bydgoszcz;664167;0;230396;0;t0461;267701;0;1576;0;164494;0
kujawsko-pomorskie;Grudzi¹dz;178945;0;65311;0;t0462;76606;0;616;0;36412;0
kujawsko-pomorskie;Toruñ;327325;0;107122;0;t0463;126486;0;1196;0;92521;0
kujawsko-pomorskie;W³oc³awek;155933;0;50521;0;t0464;64131;0;1131;0;40150;0
lubelskie;bialski;90770;0;32941;0;t0601;38870;0;644;0;18315;0
lubelskie;bi³gorajski;81552;0;30022;0;t0602;33780;0;83;0;17667;0
lubelskie;che³mski;53488;0;20055;0;t0603;22024;0;373;0;11036;0
lubelskie;hrubieszowski;67834;0;24266;0;t0604;28534;0;1602;0;13432;0
lubelskie;janowski;43806;0;16864;0;t0605;19131;0;545;0;7266;0
lubelskie;krasnostawski;62182;0;22100;0;t0606;25709;0;559;0;13814;0
lubelskie;kraœnicki;99219;0;37183;0;t0607;41499;0;374;0;20163;0
lubelskie;lubartowski;82480;0;31142;0;t0608;34897;0;1318;0;15123;0
lubelskie;lubelski;126616;0;46189;0;t0609;54254;0;775;0;25398;0
lubelskie;³êczyñski;57019;0;22107;0;t0610;23953;0;588;0;10371;0
lubelskie;³ukowski;85773;0;31977;0;t0611;36772;0;255;0;16769;0
lubelskie;opolski;68472;0;25094;0;t0612;29100;0;255;0;14023;0
lubelskie;parczewski;40924;0;15066;0;t0613;17725;0;504;0;7629;0
lubelskie;pu³awski;143735;0;53676;0;t0614;58919;0;463;0;30677;0
lubelskie;radzyñski;46203;0;17218;0;t0615;19549;0;230;0;9206;0
